@rowCount	1660
w	d	t	q
selfa'i	se+facki:  discovery:   x1 = facki2 (discovery), x2 = facki1 (discover), x3 = facki3 (subject discovered)	jbo	MNOPRKSOOPPJONMQLOQMROQNQNNORLPRQQPPONQQPLRPPONNNRMKIRUPKMONPNMOTNNNPUPRNNRPNPQNNKMQNMNMLQQMSMOSRMSPMRPPLLLNQMNLQNNSRRRMQQOLONMOSQMPNNMLJQLONMMQPMOLRQQMOOPMPQPOMRNQQNOQQNOMRJNSWSNLSOPQLQOPROPPPSNNQQNPNNQLLNNOMONOJOOONMKMONMOLMPROLPMPQNOLJQQLNKRKOKPPRRPNPMNMNIOQNNNQRNSTOMTQNOPLKPTLPOQNMPTTMMSKNORKISOITNSPRQRMPQWMKNPPQPOPPOOQTIQLOIPONQMNPJJPPPQPQONPPLNNNMNQNNPOONPNOQLOMPKNMPQMONMRPQQ
terfa'i	te+facki:  subject discovered:   x1 = facki3 (subject discovered), x2 = facki2 (discovery), x3 = facki1 (discover)	jbo	MPNQSLTPPQRJOPNOJOPNROPMQNNORNPSOQMPMOPQOLRPRPNONONJISVPMMNOOONMTOMNPVPSONSPQOPPMIKONMMMMQQNPNNQQNQOMPPQMLMMONNLPMKSOORMQRNMOMNOQSKPONNLLRLOMNMQOMNMQTPLOPPLPQPNLSNQONRQROQNTJNRVRNLROORMRONRNQQPRMNTPMPPORLONONLPOQKPNNPOLNNNMOMPPQNLOLRPONKJROKNKQKOKPOQQPPPMLNPKNTNOOSPORRPOQRMRPKJPTNNPQOMRQROKTMNOTJHROHROQOQPQMPQVMINSPOPOOONMPSJQMMIPPNQNMNJKOPNNNROOPQLOMONOQLNOOPMQPNQLONOMMLOPMONMPQRP
selfadni	se+fadni:  ordinariness:   x1 = fadni2 (ordinariness), x2 = fadni1 (ordinary), x3 = fadni3 (set with typical)	jbo	POPLNNPNMOPIPMNNJPPPQNPPQQNPRONPRQNOQPLSOKPPPSLONRNOJQUSLMPOMNONUOLOLTMOONMSNMPOMQRTQMOKLTNPTMSSSMTONTNQJLMNMLOJNKNPPOWLNNNRONPOPRMOKRKPKQNNNQONTLLMSRONROMMONRMNNOOQPMRQPQQRMNTQONOQMMNNPKOPOQPORKKSRMPOOONLLMMKQOONLRMPMMKPLMONOOONOPQQTPOQJQPLRMQPOORSQRNKLKMOPNNNLJONQQTQPMQPOMONNQPKONNSMQSTNLPKPNMMLLLMSQTQPQTLPTWOPNQOPROMLMROPLLMMLQNJSMQRLOLPLOOPNNRRQMSLKPOPOLOKNPPMONPMPMOLMOMPMNOQQO
terfadni	te+fadni:  set with typical:   x1 = fadni3 (set with typical), x2 = fadni2 (ordinariness), x3 = fadni1 (ordinary)	jbo	QPNMOMRPMOQIQNOLJOPQQMOPRPNPTPMRQPKONQKROMROQTMPOOQOJRURMMPOLOOLURKNMTLQQMPSQMOQLOPRRMPMNUNRSNQRTLRNOQOQKLOMLLOIOLMPMPTJOOMQOMQONSJQMRLONQNONQOORLMLSUOMQOMLNNRONOPOPPRQRPRQSLNSPNMONNMOORMNPORSMRKJTRNPPPPNPMMMKROPMMPMQNKKPLMOORQONNNNSRPNOJQNMOMOONMRQQOOMKIJPQNLRMKPPPQTPQONQNONMNQPNOPOTKSRQOKPMPOPMJLKLRRRQQQRMQTTPOOSPOROMKMQONLMMLLPOJTOPQKOLOLNMQNMQSQMTMMPOPNKOMMPPNOMPNPOPLMNMOMNNRQO
selfagri	se+fagri:  fuel for fire:   x1 = fagri2 (fuel for fire), x2 = fagri1 (fire), x3 = fagri3 (air for fire)	jbo	NPKOSLROQLQIONONIONNTNPPQOLTQNRSPQMOOPMQNKPMMNMNQSNOIRVMLNPLNNNRQMMLMSMQPKNSQNRMPONPNQMMPQNQVRPSUMPOOQNPMJKQMMPKOLNRNMSMMNMQQJLOLTLPNNLNJSKTKPPMPNNLRPPMQPOOOOQOMMOPONLRMQOMRLMRRPMPTQOPNPOONMPQPQOLRSMOPPSLJLKPKPOPNMONNNJKUMNOMQQOMPQIPSPPQMPPOOLONOMPNRTNLOLONQMMRNNLRQTRLPOQQOLNHNQPOPLNPKRRQOMOPQRQLMNNMRQQQPPSLNRWNNPSSPOONOONMPMLMMOQRMQNMQMLMQLRRPMNTQOOPNOOQPNNRKNMNQOLNNQLPNOMJQSPPQPO
terfagri	te+fagri:  air for fire:   x1 = fagri3 (air for fire), x2 = fagri2 (fuel for fire), x3 = fagri1 (fire)	jbo	MQJPSLRPQMRJOONMHOMOTNOOROKTROQSNPLNOQMPNKQMOOMPQQPOJSVOMNPMOPNQRNMLMSNQQKPRRNQNQNMONPNNPQORTQORTMONOOMQMKLPLNPJOKMRLLRMNOLQPIMOLVKQPNLMLTKTKOPMPOMMQSNLRPNOOPQNKNOPOMNRMQPORKMQQOMPSQOQOQOONMQROPNLTRMOROTMMLKOKPPQMLNMOOJLTMOOORRMLPPIQRPPOMPPOMMOMNMPMRSMNOLMORMMSNNMTPTQKQQOQNONIOQPQONOQJSPNPLPRPRSMLNNMPQONOPQLNQVOMQUSNOONNOMLOMLOLORSLROLOMLMPLQPRMNRQNPNOPOQONNRLNNOQOMNMPNPMOMJQROPRPO
selfalnu	se+falnu:  fill sail:   x1 = falnu2 (fill sail), x2 = falnu1 (sail), x3 = falnu3 (sailing craft)	jbo	MNMOMKQPMMRJNNPPIONORNNNSQMPSNORQPNPONMPMMPROONPRUMMHQRPLQOPPPNQQKLNJUOPOKOPQMPQLNLRONOMNPNNRNOTPNPPNRPPLMLSOLOLPMKRONTPQOOPNJQONQNOONKRISKOOPOLRKNLTPQMPPQONQQMMOPRPNMQLOOPPJQRSRLPROMMNQLNOMPQOSQMQPKNNRQLMLNNIPNOOMOOPLKNTKMOKPNNOOULORLOPMORPQMPPPNQQPUMMRMMORJPSQMNSOSVNPKTONMPMMQQLNMOPKRPUONPIOPPLMMLMTPSTORSMOQWOONUQPQOPMOONPLNLLNQNKQNPRMKOONQOOLORNOPPOJMOPNPOOOOPQQLMKRLQOPQNOPQNRQN
terfalnu	te+falnu:  sailing craft:   x1 = falnu3 (sailing craft), x2 = falnu2 (fill sail), x3 = falnu1 (sail)	jbo	MOKOMKQQMMSJNOOOHONORNNMSQLPSONTMPKPNOMOMNQQQPNRQSOMISSPLQOPPQNPRLKMKUOPQKQPRMPRLMKQPNPOQPNNPNNRPMOONOPQLNLRNNOMOLKQKMTPQOOPNJROLRMOQNLQLSKPMOOKRLMLSSOLPQQPMRPLLOQRPMOQMOPQPHPSQQLPPPMMOSLMNNPQNQPMRQKNPRSNPLNNGQOQNLNNPMKOSMNOLRQLNOSKOQMONMOQQPMOPPMQOPTMOPMLQSKPUPMNVORULQNRPNOOMLPQNMOPQJTORONQKOQRMLMLLRQPSNQSLOQVPMOVROPOPLNNLOMNKKOQOLRNOPLKOOOOMPLORNOQNPLNOPNQOPNQPQRLMJQNPMOPMNOPNSQN
selfamti	se+famti:  niece:   x1 = famti2 (niece), x2 = famti1 (aunt or uncle), x3 = famti3 (avuncular bond)	jbo	KONMMLROPMTJPMNRKPLOTNQOQRNOTOQRQQQRNNQMNLRMQOPQNQOMHSTSIMMQOPOOONQKOROQMONTRNPMJOSQOOMMLQOPTORQSKOQOTMRJMOMJNNLQNJORPVMOOJQNKLOOTOOMPMOJPKMQMMQMOPOPRNNNOPOQPSNOMLQQMNRLQPNQLTPPPMMQPLQNQLPRLQQORMNQRKOONQNLLNPKPSNKKONOPOKRMNOMMPLMLOMQPQONKOQOPPPOROPQPQOOPLJPOONOJMKSRTURPNQPNKNNMRPOOOOPLNQQOLPNSPPKLONKPOOOOPRNKTYPOOQRPQOQMLLNQMONNNQOKRNNPMMOPQPOOPOOOMOPOLOPOQPQKMNSPRKOKNNLMLNLQRPQRRM
terfamti	te+famti:  avuncular bond:   x1 = famti3 (avuncular bond), x2 = famti2 (niece), x3 = famti1 (aunt or uncle)	jbo	JOLMNLSPQMTJOOMPJONQSNQNQSNNTOPROQPRMOPLOMSMRNPQMOOMITUTJNLRPPONOPQLPRORNOPSSNONJMRQOONMMQORROQPRJNQOQNSKNONJONLQNIONOVLOPIQNJLONUNOOOMNLOLMPMMQLPQONUNMPOOOQPSNMMLQOLPSNQPOQKSPPOMLOPKQORLNQKRRMOMNQRLORMROOMNQLPTMKMOMPROLQONONMRLMLNKSOROMKOOOOQOOQOPOPQNOPMIQPNORJMLSQTSPPOPOMNONMSPPNPPQLPPPQLRORPSKLOOJNPLMNORMLTXPMORRNQOQLLJMOMPOMNQPLSNMNMLNPQNNPPONOMONOMQQNPPRLMORPSLOKNPLMKMMQROQQRN
selfancu	se+fancu:  function domain:   x1 = fancu2 (function domain), x2 = fancu1 (function), x3 = fancu3 (function range), x4 = fancu4 (function definition)	jbo	PLNMNJMNPMRIRLTQNPOLRNLPOKORQORPNNOPMNMQOMSNMROPSPQPJPRQNMQORMQLRLMRMTMPNPQTNKPLPPPRNQOMNOQNRMMPQMROJQPLKPMRPKMOOLPPPNSNPPNQRJMOPQQPNRPMFTLQPOQMRKPPQQOTPOLNPNMPMRUPQONOPPMQONMRSQNQRMNMNOONMQMPOPOLQNNSLOONIJOLJQMNSKOPMLJNTMMOKPOSNPQLOQPNNMQQLMKPMPONOQRNPOKQOQNMRNQLPRRSMQMTNPKKLNOOOPQONKQRRONPMORPMLLLORQTPQSOOOOVQNOPUNPOMKMNNPNLPOQPNJRORSNNKQMORMLISOSMPKNNQRRMONKNRNRKOPLPMPMQMOONLSPO
terfancu	te+fancu:  function range:   x1 = fancu3 (function range), x2 = fancu2 (function domain), x3 = fancu1 (function), x4 = fancu4 (function definition)	jbo	PNMNOKNOPNRJRNSNMPOLPNLPOJOQQPRPLMMOKPMQOOSNORNQRNQQKPSPOLROSOQKSNLQNTMRPPSSPJONONNQNPPOOOQQPMKMQLQMJMOLKQNPPMMONLOPMLROQQMRQJNOOROSQRPKITKROOQKQKOPPSNSOOKNONLPKRTOONPPQPPQPNMRRPNQPMMNPOQMNQNPNPOMRONRNNPNLJOJJQONRJNPONJOSMMOMRQQMPOLQPQMMMPPLMLNLONMLPRNSOKOQRPLUMRMSQTRKSPPOPOKLNNOPOSOOJSOPPMPOORSNKKLNPRQNPSOPNOUSLPQWLPOMKMNNOOLQMRPOISQOOOOKPLNPPJJRNSNOLOPPRQNNOJOQNQKMQKQNONPMONNLTQO
velfancu	ve+fancu:  function definition:   x1 = fancu4 (function definition), x2 = fancu2 (function domain), x3 = fancu3 (function range), x4 = fancu1 (function)	jbo	QMMLPKMOQNQLRLQQMQOLQMMOQMPQQOROMMLOLQKPONTNOTNRSNQPJQRPMLRNSMQLSLLRNUNQNOQTOLPMONOQNQONNNPPOMLNSMROLNPLLRMPNLLOOMOOPMQNQPOQQINONOOSPRPNHUJQOPPNSKOORQOSNOOMPNMOLRSQPNNNRNMOPOMQQROQOONMOPOLMRMONOONRONTLOPNJJOLJRNOQKNNMNKOTOLOJRQTOPOLPOOLNNRQKMKOKPQMLQTNPNLQPROLTNQMQRRRKSOPPOOJLOPPNQSPMIRPQQNQNPTTMMKLOOPQNPSOOMOUQNQSVMROLJLMNONLOLROMIRPPRONLQMOPNLJUNSNPMNOORRNOPKOPNQJLOLQPOMOLOONKSPO
selfange	se+fange:  alienness property:   x1 = fange2 (alienness property), x2 = fange1 (alien), x3 = fange3 (perceive as alien)	jbo	MMOSOKRMQLRGPOQQNPMNQOLPPROQTLRSQPMLPKOPOMPLKLMPPONKIRTPPONNSPQSQOOOJQOOMNOTRPOJKPNPMQLOLTMPSMPRRNPPMTKROKMNNMPJMPNPRSRNRNLLQJKOQQOLMMKSKQKRNOPQNMMOQNLOLOMKQONROOONQNNRPPNMOORMQRLMTNOONSLMMMTMPRNMOQLPLPRJLMRNGNOKNOQNOPLMQLKOINNPNNNPNPPSQKONQMNTQOLNQRPLOONOOOOQQLMNKRRWRNNRNROQLQLOPMOPNNMSONMRNNPMJLPLOOOQMSPQONNVROLSOPPONLPPRRLMNQOPMNSOPONPNPNNRPLJPRQRQPNNPRSNQOLPQQRKOMQMMOMNPSPNQPSO
terfange	te+fange:  perceive as alien:   x1 = fange3 (perceive as alien), x2 = fange2 (alienness property), x3 = fange1 (alien)	jbo	LMNRPLRNRLRFPPPPMQNNROLOPROPSLQTNPLNMLNNPNPMMNLRPNNKJSUPPNMNSQRRPPNNKQNPNMPSSPNJLPMPOQKPLULPRNOORNQOMRLROLNOMMQJMPMPQRRNQOLLRILOPRNLOMMRLRKRMOOPMOKPPRKOLQLKPONRNPOMRMPQPPNMPNPNPQNMTOOPNTMLNMSNOQNLPRLPOOSLNMQNFNPLNQOMPQLOPLKOKQPNMNLOONPROLOMQMNRPOJNNSQMQNMNQQPQRLNNMPQUPOPPNRORLPKNRLROPMOQMNLTPOPOJKQLLNPPMSQPOOOUQMNUPOOONLONPQLNNPPNONTRNMMPMQMMPQLKPRPTOPNNPPSNQOKQQPSJOOPOMNLNPRONQSTO
selfa'o	se+fanmo:  ended:   x1 = fanmo2 (ended), x2 = fanmo1 (end)	jbo	ROPPPMOONPUKQKRQLQNMRPMRQPMRQMQPNRPPMMMNPNQOLPNNSRNMMPTPOMONPNLKUKMPMTLONOMQMLRONMOQPNPQQOLPUNOPSQQPPQMPONMOOKOLRMQRSTQQSPOPPJOOMNNTOTMOHNLNNPPLQLNNROMQNNNMPPMPNUQNSNQMNQLONINRSONPQMMNNPMPLSPOPROMQPLOMQMKIKMNNRMLPKOMMLKLTNNOMOPPLLRJPRNNPNQRPNMOMNOMPQRQQONLPPOPPNQNQPTRRONQNJNNLOMMMQOLOMPPRLMMMNTSLNOQLQQQLPSONKPYOOROWPQOMJONQRNKSPPRPMPNRPONLMKOOQLLPOQLPLMPRSRMQNLQSMRJNLRMPOKOOSNQMSOO
selfanri	se+fanri:  factory product:   x1 = fanri2 (factory product), x2 = fanri1 (factory), x3 = fanri3 (raw material for factory)	jbo	NLNMQLROMNVHRKQQPPNMRNMPOQQRRLQQQPRONMMOOMONQQQOTPMNKOQPNMOORLNNSLLPLQKOOPKTRKPLMPNQNRRNOONORMNQPORQMQOOFMJPPOLNJMMRQPQOQNPQNKLOLQORLRNOJOLNLQPLOLPMPQOSPNPLOOQPPRONLMNSOTPONKNPUOLQUJMMMNQOKSOPOTQNPONPNQNNJNKKHQMMOLPOOMNNQMMOLMPPONOMNSQONJNRPNMOORPNNQRRPPMLORNMRMQLOPQUKMNMQMPMNMNQQQLOQLPPRNQMLNQQMMPLMTQPNPRQRKPVQNOOTQOONHQPPPMLQOQPONRNOVMMNQPPSQMMRQPMQLMLPSOKQMKPTPNJLOQMQQLNNPTOOQRP
terfanri	te+fanri:  raw material for factory:   x1 = fanri3 (raw material for factory), x2 = fanri2 (factory product), x3 = fanri1 (factory)	jbo	MMMNQKRPLOVHRNPNNPONROMOQQPRSNPRMOONMNMNOMQNRRPQSNPNLRSQPMOPSMOLTNLPMQKPQPNSTKNMMNMPORSOPOPRPMLOOOQOMOOPGNKONPMMKMKQNOQQQNOROIMOKSMTMROLMOMOJPOKNMOONUNRPOOKNOPONSPOLMPQQSSPNKNOSNNRSJMNPOQNKRPQNSPMQONOPPOOMNLIHQNNNLOOQNMNQLNONPQPNNMKPQQNMJNPPMMLNPOMLQPRROLJPSNMUNPMROPSIOPLRNSOOMOQQPMPRKRONNPNNORSNLQMMQRMMOQRSLQTQMPQUOOONHPMNOMLQNQPPLSQNRLMMQONPRNMQQPMONONPQOLPMKRUPNKMOPOQOKMMPRNORRP
selfanta	se+fanta:  circumvented:   x1 = fanta2 (circumvented), x2 = fanta1 (prevent)	jbo	OPOOMMRNNOWITLQQOOLLQOJSNNNPRMONMQNMMNNONLPMNONPRQLOLOUONNPLQOONQMLPPWOOLOORLJPNNOORPPPOQNOQWNPQOLQQMRKSKLOLONQNPOMVSSRPQNPQPINOLONPOPMNIONMOOPMPJNMTNNPMOKNRQOPMSQPONOPNONOQKMSRNOQSLMMNNNRLQOQORNKPNLOKPMJJMNMKNNNQLPPLOPPUMNOJPOQNMQINPOONMQOQQJPONOPPPRPQPKPNNPONMONOQPUQPORNMPNNPQROQOPOLPRTMNQOPUTKJNNLRQRMPSOQMNUQPNPSNQOLHMPQPMJPMORQLOPRRLMMNLOPNNNROOJPMKOSQQKQNNPRPPKOMPNQQLOPROQPSQO
selfanva	se+fanva:  source text:   x1 = fanva2 (source text), x2 = fanva1 (translator), x3 = fanva3 (target language), x4 = fanva4 (source language), x5 = fanva5 (translation)	jbo	QOONPOQMQNTIQLQQNQNJRONQSQMQSNORPPNPKNNSLLQOOONPRRJMKNRNPOPMROOORNPRJRJOQPLPOKTMONOSNPRNPPNNVMNSNOSPNRNQJMPPOKOMMLNQROROOOOPMKNOPQQSMONNFNLNNPNMQNNOSQOPNQOKPOLNNPSMROPPPPONPNLPSNLPQNOOMQOQLQPPSRPKRMKPNSOKIKMMHNNNPMPMPMLKSKMOJNNQMNSNORONOKQOROKRPOOPSQVPONMNMRKNPONOPQPRNQLROLQLLMONNOQMOMPPSNOPLLSOMOOMMRPQNPRQQNOXROOPSQPOLLMPORKIPOOPNKPPQSPLMPMOQPKLSKQPOKMOQRROQMLOROPHPKPLNQNONOQPNUQM
terfanva	te+fanva:  target language:   x1 = fanva3 (target language), x2 = fanva2 (source text), x3 = fanva1 (translator), x4 = fanva4 (source language), x5 = fanva5 (translation)	jbo	POMMPOQMPNSIRNQOLROKSNNPSPNQSOOSMOMPINMSMNQNQOMRQPMLLORMQNPMQPPMSOORKRKPSQNPQJRNNLMRNOQPRQNNTNMPNOQNMPOQJNPNNKOLNMNPONQNOPOQNKOONSNTOOOLHMKOMPNMQPNQSUMONQNJOOKMNQSMROQPRPQPOMLORNNPOMNOORQPKQPQRQPJUMKOORQMMKMKHONPOMNKPMLKRKNOLQQPKNQMQPONMLQNROLPNNMOPQTPQMMLORLMSOOPSQPQLSOPOLSMLMNNONSNPLSMPONQNLSPNOONKPQOLPRQROPVSNPRTOPOLLLOLQKJSNPPOLOQPQONNQLNNPKLRKQQNNNPQPRPROIPRNOHPMOOMPMNMNPPNURN
velfanva	ve+fanva:  source language:   x1 = fanva4 (source language), x2 = fanva2 (source text), x3 = fanva3 (target language), x4 = fanva1 (translator), x5 = fanva5 (translation)	jbo	POMLPPPNPORJRMPPMRPLSNOPUQNPSOOSNPMQJPLRMMQNQQMSSPLLKOQMPNPNRPOMRNOTJRLPQPLPQLSMOMNSNPQNRPNMSNOQNORONPPPKOPONKNMNNNQQNOMNOPPNJOONPNTNPONHMKNMPMOROOOTSNPMQQJPOKMOQQNQNPOROONPOKPQONPNNONOROOJROQSPOKTMKPNSQLLJMMHQNPONOKOLLKSNMOJPPRMNRNPPNLNMSMQNLQMOPOQQVQONOMNRLMRONPQROPLRNOPJSLLNPNOPSNOKRNQPOQMMUPMQPNMPPOLORQQNPVSQQSSPQOLKKNMOKKPMOOMKOQQSOMNQMNNOLLTJRQPNMOQQSPROJOQNOHPLOOPPMOMMQPMTPO
