@rowCount	6194
gnoma	gnome, aphorism	en
gnomic	gnomic, aphoristic	en
gnomo	gnome, goblin	en
gnomologia	gnomology	en
gnomologic	gnomologic	en
gnomologista	gnomologist	en
gnomone	gnomon	en
gnomonic	gnomonic	en
gnomonica	gnomonics, the art of constructing sundials	en
gnosis	gnosis	en
gnostic	Gnostic	en
gnosticismo	Gnosticism	en
gnostico	Gnostic	en
gnu	gnu	en
goal	goal	en
goal-keeper	goalkeeper	en
golf	golf	en
golfo	gulf, bay	en
Golfo de Guinea	Gulf of Guinea	en
Gomorrha	Gomorrah	en
gondola	gondola	en
gondolero	gondolier	en
gong	gong	en
goniometria	goniometry	en
goniometric	goniometric	en
goniometro	goniometer	en
gonna	skirt	en
gonnella	skirt	en
gonorrhea	gonorrhea	en
gorga	throat, gullet, gorge	en
gorilla	gorilla	en
gothic	Gothic	en
gothico	Gothic	en
gotho	Goth	en
gourmand	gourmand, epicure	en
gourmet	gourmet, connoisseur (in food and drink)	en
governabile	governable	en
governaculo	rudder	en
governamental	governmental	en
governamento	government, rule, direction, control	en
governamento absolutista	absolutist government	en
governamento absolutistic	absolutist government	en
governante	governess	en
governar	to steer, govern, rule, direct, control	en
governator	governor	en
Graccho	Gracchus	en
gracile	slender, slim	en
gracilitate	slenderness, slimness	en
gradation	gradation, gradual change, climax	en
gradiente	gradient	en
grado	step, stair, rung, degree, stage, level, grade, rank	en
grado academic	academic level	en
grado de comparation	degree of comparison	en
grado kelvin	degree kelvin	en
grado positive	positive degree, positive	en
grados de comparation	degrees of comparison	en
gradual	gradual	en
gradualitate	gradualness	en
graduar	to graduate, grade, arrange in gradations	en
graduate	graduate	en
graduation	graduation	en
graduato	graduate, graduated measuring cup, tube	en
graduator	graduator, grader	en
graffar	to graft	en
graffator	grafter	en
graffiti	graffiti	en
graffo	graft, shoot used in grafting	en
gral	Grail	en
gramma	gram	en
grammatic	grammatical	en
grammatica	grammar	en
grammatical	grammatical	en
grammatico	grammarian	en
grammophono	gramophone	en
grana	seed (of plants)	en
granamita	great-aunt	en
granar	to seed, grow to seed	en
granario	granary, barn	en
granata	pomegranate, fruit of the pomegranate, grenade, shell	en
granatero	grenadier	en
granatifere	garnetiferous	en
granato	garnet	en
grande	great, big, large; grandee	en
Grande Britannia	Great Britain	en
grande expectationes	great or high expectations	en
grandiloquente	grandiloquent	en
grandiloquentia	grandiloquence	en
grandinar	to hail	en
grandine	hail	en
grandiose	grand, imposing, grandiose	en
grandiositate	grandeur	en
grandisone	grandisonous, grandisonant	en
grandor	greatness (size, grandeur)	en
grandparentes	grandparents	en
granfilia	granddaughter	en
granfilia secunde	great-granddaughter	en
granfilia tertie	great-great-granddaughter	en
granfilio	grandson	en
granfilio secunde	great-grandson	en
granfilio tertie	great-great-grandson	en
graniforme	graniform	en
granitic	granitic	en
granito	granite	en
granitoide	granitoid, granitoidal	en
granivore	granivorous	en
granivoro	granivore	en
granmatre	grandmother	en
granmatre secunde	great-grandmother	en
granmatre tertie	great-great-grandmother	en
grannepta	great-niece	en
grannepto	great-nephew	en
grano	grain, corn	en
grano saracen	buckwheat, sarrazin	en
granoncle	great-uncle	en
granose	grainy, granular	en
granpatre	grandfather	en
granpatre secunde	great-grandfather	en
granpatre tertie	great-great-grandfather	en
granular	granular; to granulate	en
granulation	granulation	en
granulator	granulater, granulator	en
granulifere	granuliferous	en
granuliforme	granular, granuliform	en
granulite	granulite	en
granulo	granule	en
granulose	granular, granulose	en
graphia	(system of) writing, script	en
graphic	graphic	en
graphica	graphic arts	en
graphico	graph	en
graphite	graphite	en
graphitic	graphitic	en
graphologia	graphology, study of handwriting	en
graphologic	graphological	en
graphologo	graphologist	en
grasse	fat, consisting of fat, fatty, containing fat	en
grassia	grease, fat	en
grate	grateful, thankful	en
grate a	grateful to	en
Gratia	Grace	en
gratia	grace, gracefulness, graciousness, mercy, clemency	en
gratiabile	pardonable	en
gratiar	to pardon (a criminal), grace	en
gratias a	thanks to, due or owing to	en
Gratias a Deo	Thank God	en
Gratias pro toto	Thank you for everything	en
Gratias, nonobstante	Thanks, all the same	en
Gratias!	Thank you! Thanks!	en
gratificar	to give a gratuity to, gratify	en
gratification	gratuity, gratification	en
gratin	gratin	en
gratiose	graceful, gracious	en
gratiositate	graciousness	en
gratis	free, gratis	en
gratitude	gratitude	en
grattacelo	skyscraper	en
grattamento	scratching, scraping	en
grattar	to scratch, scrape	en
grattator	scratcher, scraper, one who scratches, scrapes	en
gratuite	gratuitous, gratis, free, uncalled for, unwarranted	en
gratular	to express joy at (someone’s good fortune), congratulate	en
gratulation	good wishes, congratulation	en
gratulatori	congratulatory	en
gravamine	grievance	en
gravar	to burden, encumber; to engrave	en
gravator	engraver	en
grave	heavy, grave, solemn, important, low-pitched, deep, serious	en
gravide	pregnant, with child	en
graviditate	pregnancy, gravidity	en
graviditate indesirate	unwanted pregnancy, unplanned pregnancy	en
gravitar	to gravitate	en
gravitate	gravity, seriousness, importance, lowness of pitch	en
gravitate specific	specific gravity	en
gravitation	gravitation	en
gravure	engraving, gravure	en
grec	Greek, Grecian	en
Grecia	Greece	en
grecisar	to Hellenize	en
grecismo	Hellenism	en
greco	Greek	en
grecoroman	Greco-Roman	en
gregar	to (collect into a) flock or herd	en
gregari	gregarious, tending to flock or herd together, belonging to the common herd	en
grege	flock, herd, drove, troop, band, crowd	en
gremial	gremial	en
gremio	lap, bosom	en
grenadier	grenadier	en
grenadina	grenadine, syrup of pomegranates	en
grillia	grate, grating, frame of iron bars holding a fire, grill, gridiron, grid	en
grilliada	grilling, grilled food	en
grilliage	grating, lattice work, wire netting	en
grilliar	to grill	en
grillo	cricket	en
grimassar	to grimace, make (wry) faces	en
grimasse	(pulled) face, grimace, (wry) face	en
grippe	grippe	en
gris	gray, grey	en
gris clar	light grey	en
grisalia	grisaille	en
grisette	grisette, French girl of the working class	en
grizzly	grizzly, grizzly bear	en
groenlandese	Greenland, Greenlandic, of Greenland (adj.); Greenlander (n.)	en
Groenlandia	Greenland	en
grog	grog	en
groom	groom, manservant, stable man, stable boy	en
grossa	gross, unit consisting of twelve dozen	en
grosse	big, bulky	en
grosseria	coarseness, rudeness	en
grossier	coarse, not fine, rude, not refined	en
grosso	bulk, main mass	en
grossula	gooseberry	en
grossular	gooseberry, grossular	en
grotta	grotto	en
grottesc	grotesque	en
grottesco	grotesque	en
grottescos	grotesques	en
grue	crane	en
grumo	clot, lump	en
grumose	clotted, lumpy	en
grunnimento	grunting, grunt	en
grunnir	to grunt	en
grunnitor	grunter, one who or that which grunts	en
gruppamento	grouping, group	en
gruppar	to group	en
gruppo	group	en
grypho	griffin, griffon vulture	en
guai	woe	en
guano	guano	en
guantar	to glove	en
guantar se	to put on one’s gloves	en
guanteria	glove shop	en
guantero	glovemaker, glover	en
guanto	glove	en
guarda	guard	en
guarda campestre	rural policeman or constable	en
guardacostas	coast guard(sman), revenue cutter	en
guardafango	fender, mudguard	en
guardafoco	fender, fireguard	en
guardar	to guard, defend, protect, keep, not to let go of	en
guardar le lecto	to be confined to bed	en
guardar le oculos ben aperte	to keep one’s eyes open	en
guardar se de un cosa	to beware of something	en
guardar un prisionero	to guard a prisoner	en
guardaroba	wardrobe, room, closet or cupboard for holding clothes	en
guardator	guardian, guard	en
guardiano	guardian, guard	en
guarita	watchtower, sentry box	en
guarnimento	trimming, decorating, garnishing	en
guarnir	to trim, decorate, garnish	en
guarnir de	to provide, supply, with	en
guarnition	trimming, garniture, garrison	en
guarnitura	trimming, garniture	en
guastafesta	party-pooper, spoil-sport, kill-joy	en
guastar	to spoil, damage, waste, squander	en
guastar tempore	to waste time	en
guastator	spoiler (of material), waster, squanderer	en
guasto de tempore	waste of time	en
guelfe	Guelph	en
guelfo	Guelph	en
guerra	war, warfare	en
guerra a ultrantia	life-and-death struggle	en
guerra aeree	air war	en
guerra atomic	nuclear war	en
guerra atomic, chimic e bacteriologic	ABC war	en
guerra chimic	chemical war	en
guerra civil	civil war	en
guerra civil de Espania	Spanish Civil War	en
guerra civil in Espania	Spanish Civil War	en
guerra de aggression	offensive war, war of aggression	en
guerra de cento annos	hundred-year’s war	en
guerra de conquesta	war of conquest	en
guerra de defensa	defensive war	en
guerra de extenuation	war of attrition	en
guerra de extermination	war of extermination	en
guerra de guerrillas	guerrilla war	en
guerra de independentia	war of independence	en
guerra de liberation	war of liberation	en
guerra de movimento	dynamic war	en
guerra de nervos	war of nerves	en
guerra de penna	polemic war	en
guerra de positiones	static war	en
guerra de precios	price war	en
guerra de religion	religious war, holy war	en
guerra de secession	war of secession	en
guerra de submarinos	submarine war	en
guerra de tarifas	tariff war	en
guerra de trencheas	trench war(fare)	en
guerra de Trenta Annos	Thirty Year’s War	en
Guerra de Trenta Annos	Thirty Year’s War	en
guerra defensive	defensive war	en
guerra disastrose	disastrous war	en
guerra exterminatori	war of extermination	en
guerra frigide	cold war	en
guerra fulmine	blitz, blitzkrieg	en
guerra global	world war, global war	en
guerra ideologic	ideological war	en
guerra maritime	sea war, naval war	en
guerra mundial	world war, global war	en
guerra naval	sea war, naval war	en
guerra nuclear	nuclear war	en
guerra psychologic	psychological war	en
guerra racial	race war	en
guerra religiose	religious war, holy war	en
guerra sancte	holy war	en
guerra terrestre	land war, ground war	en
guerra total	total war	en
guerras punic	Punic wars	en
guerrear	to war, make or wage war	en
guerreator	warrior	en
guerrero	warrior	en
guerrier	warlike, martial	en
guerrilla	guerrilla warfare, band or troop of guerrillas	en
guerrillero	guerrilla, partisan	en
guida	guide	en
guidar	to guide, drive (horses, a car)	en
guidar un automobile	to drive a car	en
guillotina	guillotine	en
guillotinada	mass guillotining	en
guillotinamento	guillotining	en
guillotinar	to guillotine	en
guinea	guinea	en
guirlanda	garland	en
guirlandar	to festoon, garland	en
guisa	way, manner, wise	en
guitarra	guitar	en
guitarrista	guitarist	en
gulash	goulash	en
gulf stream	Gulf Stream	en
gumma	gum	en
gumma ammoniac	gum ammoniac	en
gumma arabic	gum arabic	en
gumma elastic	(India) rubber, caoutchouc, eraser	en
gumma resina	gum resin	en
gummar	to gum, treat or smear with gum	en
gummiero	rubber tree	en
gummifere	gummiferous	en
gummose	gummous	en
gummositate	gummosity	en
gurgite	abyss, whirlpool, gulf, gullet, throat	en
gurguliar	to gurgle	en
gustabile	tasty, having a pleasant taste	en
gustar	to taste, enjoy, relish	en
gustation	tasting	en
gustative	gustative	en
gusto	taste	en
gustose	tasty, savory	en
gutta	drop; gout	en
gutta a gutta	drop by drop	en
gutta de de ros	dew drop	en
gutta de pluvia	raindrop	en
gutta de rore	dew drop	en
gutta de sanguine	drop of blood	en
gutta de sudor	drop of sweat	en
gutta digital	gout in the fingers	en
gutta in le manos	gout in the hand	en
gutta saturnin	saturnine gout	en
gutta seren	amaurosis, gutta serena	en
guttapercha	gutta-percha, palaquium	en
guttar	to drop, drip	en
guttas contra le tusse	cough drops	en
guttas ferruginose	ferrous chloride	en
guttas pro le naso	nose drops	en
guttas pro le oculos	eye drops	en
guttiera	gutter	en
guttiferas	Guttiferae	en
guttifere	guttiferous	en
guttose	gouty	en
guttural	guttural	en
gutturalisar	to gutturalize	en
gutturalisation	gutturalization	en
gutture	throat, gullet	en
gymnasiarcha	gymnasiarch	en
gymnasio	gymnasium	en
gymnasta	gymnast	en
gymnastic	gymnastic	en
gymnastica	gymnastics	en
gymnic	gymnastic	en
gymnoblaste	gymnoblastic	en
gymnosophista	gymnosophist	en
gymnospermas	gymospermae, gymnosperms	en
gymnosperme	gymnospermous	en
gymnospore	gymnosporous	en
gymnoto	gymnotus, electric eel	en
gynandre	gynandrous	en
gynandro	gynander	en
gyneceo	gynaeceum	en
gynecocratia	gynecocracy	en
gynecocratic	gynecocratic, gynecocratical	en
gynecologia	gynecology	en
gynecologic	gynecologic	en
gynecologista	gynecologist	en
gynecologo	gynecologist	en
gynobase	gynobase	en
gynophoro	gynophore	en
gypsero	gypsum worker, plasterer	en
gypsiera	gypsum deposit or pit	en
gypsifere	gypsiferous	en
gypso	gypsum, plaster (of Paris)	en
gypsose	gypsum, gypseous	en
gyro	circle, turn, circular course	en
gyrometro	gyrometer	en
gyroscopic	gyroscopic	en
gyroscopio	gyroscope	en
gyrostatic	gyrostatic	en
gyrostato	gyrostat	en
ha	have, has	en
habeas corpus	habeas corpus	en
haber	possessions, belongings, holdings (n.); to have (v.)	en
haber a	to have to, be obliged to	en
haber a su disposition	to have at one’s disposal	en
haber accesso	to have access	en
haber bon gusto	to have good taste	en
haber bon naso	to have a good nose	en
haber bon opinion de un persona	to have a good opinion of someone	en
haber bon sanitate	to be in good health	en
haber curso	to be in circulation, in current use	en
haber duo annos de minus	to be two years younger / newer	en
haber fame	to be hungry	en
haber fide in	to have faith, believe, in	en
haber frigido	to be, feel cold	en
haber gusto pro	to have a taste for	en
haber in su possession	to have in one’s possession	en
haber intelligentia con le inimico	to have an understanding with the enemy	en
haber intelligentia de	to understand, have knowledge of	en
haber le aer de facer un cosa	to appear to be doing something	en
haber le aer triste	to look sad	en
haber le avantage super un persona	to have an advantage over someone	en
haber le bonitate de	to have the kindness, be good enough, to	en
haber le costume de facer un cosa	to be in the habit of doing something	en
haber le facultate de facer un cosa	to be entitled to do something	en
haber le mania de	to have a mania for	en
haber le manica large	to be lenient (in judging moral matters)	en
haber le oculo sur	to have one’s eye on	en
haber le parola	to have the floor	en
haber le phantasia de facer un cosa	to have a fancy to do something	en
haber le sanguine calde	to be hot-blooded	en
haber le vista curte	to be near-sighted or short-sighted	en
haber loco	to take place	en
haber lunas	to have moods	en
haber mal de stomacho	to have a stomach-ache	en
haber mal opinion de un persona	to have a bad opinion of someone	en
haber moneta in abundantia	to have lots of money, have money in abudance	en
haber multe importantia	to be of great importance	en
haber nihil a adder	to have nothing to add	en
haber nihil a facer con	to have nothing to do with	en
haber nulle ration por	to have no reason to	en
haber origines nobile	to be of noble origins	en
haber parte in	to have a part in	en
haber pavor	to be afraid	en
haber pavor pro	to be afraid of	en
haber pietate de	to pity, have pity on	en
haber precedentia	to take precedence	en
haber ration	to be right	en
haber responsabilitate verso	to have a responsibility towards	en
haber satis	to have enough	en
haber sete	to be thirsty	en
haber somno	to be sleepy	en
haber stilo	to have style	en
haber sub le mano	to have at hand	en
haber tempore in abundantia	to have plenty of time	en
haber un accento	to speak with an accent, have an accent	en
haber un aversion a un persona	to have an aversion to someone	en
haber un mal fin	to come to a bad end	en
haber un stomacho de avestruthio	to have the digestion of an ostrich	en
haber un stomacho de struthio	to have the digestion of an ostrich	en
haber validitate general	to be generally valid	en
haber vergonia	to be ashamed	en
haber vergonia pro	to be ashamed of	en
habile	skilful, able	en
habilitar	to enable, entitle	en
habilitar se	to qualify oneself (for an office, position)	en
habilitate	skill, ability	en
habilitation	habilitation, qualifying, qualification	en
habitabile	habitable	en
habitante	inhabitant	en
habitar	to live in, inhabit	en
habitar in un loco	to live, dwell in a place	en
habitar un loco	to inhabit, live in a place	en
habitat	habitat	en
habitation	habitation, action of inhabiting, abode, residence	en
habito	(suit of) clothes, dress, habit (religious)	en
habito de ceremonia	formal dress	en
habito de gala	gala dress	en
habitual	habitual	en
habituar	to habituate, accustom	en
habitude	habit, habitude	en
habitué	habitué	en
hac	here, this way, on this side	en
hacha	ax, axe	en
hachamento	chopping, hacking	en
hachar	to chop (up), hack, hash	en
hachatoria	chopping knife, chopper, meat grinder, chopping board, butcher’s block	en
hachetta	hatchet	en
hachich	hashish	en
haga	hedge	en
hairon	heron	en
halito	breath, halitus	en
hall	hall	en
hallelujah	hallelujah, alleluia	en
hallo	hello, hallo	en
hallucinar	to hallucinate	en
hallucination	hallucination	en
hallucinatori	hallucinatory	en
halo	halo	en
halto	halt, stop	en
halto!	halt!	en
hamaca	hammock	en
hamacar se	to swing in a hammock	en
hamate	hooked, hamate	en
hamirostre	hamirostrate	en
hamo	hook, fishhook	en
hamster	hamster	en
hamulo	hamulus	en
hanca	haunch, hip, hindquarter	en
handicap	handicap	en
hangar	hangar	en
harakiri	hara-kiri	en
hardimento	boldness, hardihood	en
hardir	to be bold	en
hardite	bold, daring, hardy	en
harditessa	boldness, daring, hardihood	en
harem	harem, seraglio	en
haringo	herring	en
haringo fumate	kipper	en
harmonia	harmony	en
harmonic	harmonic, harmonious	en
harmonica	harmonics, harmonica	en
harmoniose	harmonious	en
harmonisar	to harmonize	en
harmonista	harmonist	en
harmonium	reed organ, harmonium	en
harnesar	to harness, put a harness on (a horse)	en
harnese	harness	en
harpa	harp	en
harpa eolie	aeolian harp	en
harpista	harpist	en
harpon	harpoon	en
harponage	harpooning	en
harponar	to harpoon	en
harponero	harpooner	en
harpyia	Harpy	en
hasardar	to hazard, risk	en
hasardate	hazardous, risky	en
hasardo	hazard, risk, peril, chance	en
hasardose	hazardous, risky	en
hastar	to hasten, hurry	en
haste	haste, hurry	en
hastive	hasty	en
haurir	to draw (out) (water)	en
haustorio	haustorium	en
Havana	Havana	en
havana	Havana (cigar)	en
havanese	Havana, from Havana	en
Hawai	Hawaii	en
hawaian	Hawaiian	en
he!	Hey!	en
hebraic	Hebraic	en
hebraisar	to Hebraize	en
hebraismo	Hebraism	en
hebraista	Hebraist	en
hebree	Hebrew	en
hebreo	Hebrew, Israelite, Jew; Hebrew (language)	en
hectar	hectare	en
hectogramma	hectogram	en
hectographar	to hectograph	en
hectographic	hectographic	en
hectographo	hectograph	en
hectolitro	hectoliter	en
hedera	ivy	en
Helena	Helen	en
heliac	heliac, heliacal	en
helianthemo	helianthemum	en
heliantho	helianthus, sunflower	en
helice	helix, spiral line, helix genus, propeller	en
helicoidal	helicoidal	en
helicoide	helicoid, spiral	en
helicon	helicon, large circular tuba	en
helicoptero	helicopter	en
heliocentric	heliocentric	en
heliogravure	heliogravure	en
Helios	Helios, god of the sun	en
heliostatic	heliostatic	en
heliostato	heliostat	en
heliotrope	heliotropic, turning toward the sun	en
heliotropio	heliotrope	en
heliotropismo	heliotropism	en
heliotypia	heliotypy	en
heliotypo	heliotype	en
helium	helium	en
Hellade	Hellas	en
Hellen	Hellen	en
hellen	Hellene, Greek	en
hellenic	Hellenic	en
hellenisar	to Hellenize	en
hellenisation	Hellenization	en
hellenismo	Hellenism	en
hellenista	Hellenist	en
hellenistic	Hellenistic	en
helminthe	intestinal worm, helminth	en
helminthiasis	helminthiasis	en
helminthic	helminthic, pertaining to worms, anthelminthic, vermifuge	en
helminthico	helminthic, anthelminthic, vermifuge	en
helminthologia	helminthology	en
helminthologic	helminthologic, helminthological	en
helminthologo	helminthologist	en
Helvetia	Helvetia	en
helvetic	Helvetic	en
helvetie	Helvetian	en
helvetio	Helvetian	en
hematic	hematic	en
hematite	hematite	en
hematosis	hematosis	en
hemerocallide	Hemerocallis, day lily	en
hemicyclo	hemicycle	en
hemiplegia	hemiplegia	en
hemiplegic	hemiplegic	en
hemiprisma	hemiprism	en
hemiprismatic	hemiprismatic	en
hemiptere	hemipterous	en
hemiptero	hemipteron	en
hemipteros	Hemiptera	en
hemispheric	hemispherical, hemispheric	en
hemispherio	hemisphere	en
hemistichio	hemistich	en
hemitrope	hemitrope, hemitropic	en
hemitropia	hemitropy	en
hemoglobina	hemoglobin	en
hemophile	hemophile, hemophilic	en
hemophilia	hemophilia	en
hemophilo	hemophile, hemophiliac, bleeder	en
hemorrhagia	hemorrhage	en
hemorrhoide	hemorrhoid	en
hemostase	hemostasis, hemostasia, arrest of a hemorrhage	en
hemostatic	hemostatic, serving to arrest a hemorrhage	en
hemostato	hemostat	en
Henrico	Henry	en
hepatalgia	hepatalgia	en
hepatalgic	hepatalgic	en
hepate	liver	en
hepatic	hepatic	en
hepatica	hepatica	en
hepatisar	to hepatize	en
hepatisation	hepatization	en
hepatitis	hepatitis	en
hepatologia	hepatology	en
heptagon	heptagonal	en
heptagonal	heptagonal	en
heptagono	heptagon	en
heptahedre	heptahedral	en
heptahedro	heptahedron	en
heptametro	heptameter	en
heptarchia	heptarchy	en
heraldic	heraldic	en
heraldica	heraldry, science treating of blazoning, genealogies	en
heraldo	herald	en
herba	herb, grass	en
herbacee	herbaceous, pertaining to herbs	en
herbage	herbage, herbs, green food, feed	en
herbal	herbal	en
herbario	herbarium, herbary	en
herbivore	herbivorous	en
herborisar	to gather herbs	en
herborisation	herborization	en
herborisator	herborist, collector of herbs	en
herborista	herborist, herbalist	en
herbose	grassy	en
herculee	Herculean	en
Hercules	Hercules	en
herede	heir	en
hereditage	heritage, inheritance	en
hereditar	to inherit	en
hereditari	hereditary	en
hereditario	heir	en
hereditate	inheritance, heredity	en
heresia	heresy	en
heresiarcha	heresiarch	en
heretic	heretical, heretic	en
heretico	heretic	en
heri	yesterday	en
heri vespere	last night	en
hermaphrodite	hermaphrodite, hermaphroditic	en
hermaphroditismo	hermaphroditism	en
hermaphrodito	hermaphrodite	en
Hermes	Hermes	en
Hermes Trismegisto	Hermes Trismegistus	en
hermetic	hermetic	en
hermeticamente claudite	hermetically sealed	en
hernia strangulate	strangulated hernia	en
Herode	Herod	en
Herodiade	Herodias	en
herodian	Herodian	en
heroe	hero	en
heroic	heroic(al)	en
heroicitate	heroicness, heroism	en
heroificar	to raise to the rank of hero	en
heroina	heroine	en
heroismo	heroism	en
herpete	herpes	en
herpetic	herpetic	en
herpetiforme	herpetiform	en
herpetismo	herpetism	en
herpetologia	herpetology	en
hesitante	hesitant, hesitating	en
hesitar	to hesitate	en
hesitation	hesitation	en
heteratomic	heteratomic	en
heteroclite	heteroclite, irregular, anomalous	en
heteroclito	heteroclite, irregular, anomalous thing or person	en
heterodoxe	heterodox	en
heterodoxia	heterodoxy	en
heterodyne	heterodyne	en
heterogame	heterogamous	en
heterogamia	heterogamy	en
heterogene	heterogeneous, heterogene	en
heterogenee	heterogeneous	en
heterogeneitate	heterogeneity	en
heteroptere	heteropterous	en
heteropteros	Heteroptera	en
heterosexual	heterosexual	en
hexachordio	hexachord	en
hexachordo	hexachord	en
hexagon	hexagonal	en
hexagonal	hexagonal	en
hexagono	hexagon	en
hexahedre	hexahedral	en
hexahedro	hexahedron	en
hexametre	hexameter, hexametric	en
hexametro	hexameter	en
hexapode	hexapod	en
hexapodo	hexapod	en
hiar	to stand open, gape, yawn, leave a hiatus	en
hiato	hiatus (lacuna )	en
hibernal	hibernal, winter	en
hibernar	to winter, pass the winter, hibernate	en
hibernation	hibernation	en
hiberno	winter	en
hic	here	en
hic apud	here beside	en
hic circa	around here	en
hic e ibi	here and there, in places, around	en
hic juncte	herewith, hereto (attached)	en
hic juxta	here beside	en
hic presso	here beside	en
hidalgo	hidalgo	en
hierarcha	hierarch	en
hierarchia	hierarchy	en
hierarchic	hierarchic	en
hieratic	hieratic	en
hierodulo	hierodule	en
hieroglyphic	hieroglyphic	en
hieroglyphico	hieroglyphic, hieroglyph	en
hierologia	hierology	en
hieromantia	hieromancy	en
hierophanta	hierophant	en
hilare	of good cheer, cheerful	en
hilaritate	(good) cheer, cheerfulness, hilarity	en
hinc	hence, henceforth, from this place, from this time, from this reason	en
hindu	Hindu	en
hinduismo	Hinduism	en
Hindustan	Hindustan	en
hindustani	Hindustani	en
hinnimento	neighing, whinnying	en
hinnir	to neigh, whinny	en
hinterland	hinterland	en
hippiatria	hippiatry, study, work of a horse doctor	en
hippiatric	hippiatric	en
hippiatro	hippiatrist, horse doctor	en
hippic	hippic, of horses, horsemanship	en
hippocampo	hippocampus, sea horse	en
hippocentauro	hippocentaur	en
Hippocrate	Hippocrates	en
hippocratic	Hippocratic, of Hippocrates	en
hippocratismo	Hippocratism	en
hippodromo	hippodrome, course for horse races	en
hippogrypho	hippogriff	en
hippolitho	hippolith	en
hippologia	hippology	en
hippologo	hippologist	en
hippophage	hippophageous, eating horse meat	en
hippophagia	hippophagy	en
hippophago	hippophagist	en
hippopotamo	hippopotamus	en
hirpicar	to harrow	en
hirpice	harrow	en
hirsute	hirsute	en
hirundine	swallow	en
hispan	Spanish	en
Hispania	Spain	en
