@rowCount	3392
w	d	n	t	s	q	g	r	v	b
ei'e	{ei'e} - irrealis attitudinal: competence (ja'ai)\n{ei'enai} - incompetence (nai)	Meaning identical to the old meaning of {e'e}	experimental cmavo	UI1	LNNPPNPOQLTOUONNONLOOTNQOPOLQPOPPORRNQPOOMNKRPLNOOGOQOOONOMORRRRRPOJOQNONROLSQOONSNNMNOLPPNPQPQMNNLNNRLRKNMKNPOJPMNVKQONQONNPLMOPQJPLMMPMPNRJPRTQMORQTPMOQSQJPRPLPNMNPPPLPMPQLPLNQNPTLOJNSNQOMLTOONLROOPPQNIMKQOLRONQNSRSORONPMOTNLRONSQMNLLNROOOMLPTONLKQSMILPNJQONMMJNMOJONOLMQLSMRNPPRLOOSMQRNRSSSRQNOLMOKQPMOLMPOROSSLRNJOOOOMLMONMPQPOONNRQQVPQTRKMNNKSJNQORLNNRNNJOROPPNNPNLNQLPQNQLLOUQQM
ei'i	{ei'i} - irrealis attitudinal: constraint (ja'ai)\n{ei'icu'i} - independence (cu'i)\n{ei'inai} - resistance against constraint (nai)	Meaning identical to the old meaning of {e'i}	experimental cmavo	UI1	JOOPROQNRNUKWNNLNMJQMPNQOOROROMPNRQPKMNNNOSMQPLOLPLPOQQOMNNORQOQQPONOSOOLPPMVPOOMSSOPJPLTQPPRRSMNNLORQNULLMILORMQLJRMPRKONLNNLLONPLKMLJQKPMSKPRQROPOPPPNNPPLJOQPOPMNNPOQKPQORMONMOJPRMQHMQMTNLPTNQKLSPMPOQPNPLRPGQNPLNROSLQNMOQOQOLMOKQORQOMLRROLPLQQPOJOPRNKONNIQMPNNKOOPNPOQMLPKROTNOMPNOMSMPQMQRQRONQPNLNOORKONOQNPQSTPONKPOONKJLROOLPQRRQNMSPQPOQSMNNOMSMMQNOMMRQONJLOOQPQMPOLLQNOPOONOOUOPK
ekra	$x_1$ is the informational viewing area of output device $x_2$		fu'ivla		PMNLPLSPTMVOSOLNQKONTPNLOQORQMLSQRNNPKNNLLROLPLNMNNPNPOPOPOQOSQPOPNKNNLNNLMKRNONNTMRPRLNOOKMLQKLRJMPQPRQMIOQPNONJLQNKOONOOIOSLOONNNLMTMPPQPQMPRNMTJNMNONRSPQLPOPPKKKONORLPONMOOKMKNMUKQLNPOQMQQNLORNONKPUPNPNQNQLLNKQQPKMOKONOMOOPLKMKVQNOMQLMPRQNLRQNPPPPROPOPLNQOLRMOPRQOTOPONNMROQMORNRONRLNNLSQRQOQPMONRMNOSOOQNRMOSQLLQKPMONKRKMMOOSKQLLPSPPPPNROPMOONRMJROOOTPQNSROIMTQQTNNMOONOPMRONQSUQO	screen
ekse	$x_{1}$ is related to/associated with/akin to the exterior of $x_2$ by relationship $x_{3}$.		fu'ivla		MNRRPNQLTLWMTPSQMMKQMOOPPPQOSRORKPORPPQMKNSOPRNPKOKPKQQTNOLPQSQOLNMPMOROKPKPTPMMMWNNOROJMQPLPRPORMNPPRKROMMLQJOKLNJNMMPOOQLPPJLOQQNLNMMQLPNSIPNPJSKNKRKOMPQPLOPQPNKOPLNPOONMOPPJMKONRPOKMSMQPLQQNMNNOQNROPNMMNQTIPOOKQTNROLNMNMONPOKOKSNNPJMOOQOPQNTQNONPQQQOOMOMLNPMLNIPOPSQNNLOMQNQPQRPNMOSOOQLPPMQLNPLONNNMQQKPMNLMOTQNLMKPNONLPLMPRPPQROMOMNONOQQPPPNOOSOMOMOMPOQKQQRLLTSOQPMMOPLKMQPTPMRRSO
eksklave	$x_1$ is an exclave of $x_2$	See {enklave}, {jecta} {tutra}	fu'ivla		OPROMJRLQMWISNPMOPNRNNOPNPMORNJPNRRSPORPMLRPOQNQKMMNLRQPPLNNPTNPKNSONPQMNOJPRMNPMOOONNKJOORRPRONPQLQOQLPLKOOOLKIMJLRONJPOQNMSMPOONPNNROQIMQNIPPQMPPOOQPPNQRNMRPNNOKQNOOPPONQRPNLPLRPOQRJNUMPOMPTPLMQRNMQRQKMMKNPIPMPPRTNRNJLNMLONNNOOLPTMPJOPQQQTPMQOMPQMRPPOMNOKSMNPMOOMMMVNOPOONOMQLROMONOSQNPNQQTONPQGONQOMPNLMMPOITRONMNNMSOPNROMKOQTOTOMPOMONNMNQOJKRLOKNQLPPOQPNQMQKNTONOQRNPOQLMRQTPPRPQO
ekskludi	$x_1$ (set, list) excludes/does not contain $x_2$.	"Agentively exclude"/"reject" = .{ekskludi'ygau}; "to be mutually contradictory with" is a distinct sense. See also: {skudi}.	fu'ivla		PQTOSNSNTNVNUMQOPLOLNROQQQNNPRLOLOQPRNOPJOQMOTKNLJNQKOSQJNMJNQOQMMLQQROPNROQXOPOJNRQOOMMLOLJSRRQRQLNPRONMMPKPKOLOKMNRNNRONQOOMOONLOHMQMPKPOLJRPOQNMNMPMQLSPOMPNQORNRNLOMPNNORNNKONQRQQOHMPLQMLQQMNMPNOPPSRNLOPPONNMQPRTNQMJMNNJOPUOJMLSMTPOLNJNQOLMPNMNRNQOONMPPNNMLLQMLQNNSPPNOOPQMOPRQOPPNPNQONPMTRLNQLJLOMLSRLOOMPNMQMOQOQQPOONNJMNPOQNSMMOOLRRNQPOMOPPMPLPQOQMPQRONQOJNTOKNNPOOROLQPRRMMSPPT	exclude
ekso	$x_{1}$ is related to/associated with/akin to the exterior of $x_2$ by relationship $x_{3}$.		fu'ivla		MNRRPNQLTLWMTPSQMMKQMOOPPPQOSRORKPORPPQMKNSOPRNPKOKPKQQTNOLPQSQOLNMPMOROKPKPTPMMMWNNOROJMQPLPRPORMNPPRKROMMLQJOKLNJNMMPOOQLPPJLOQQNLNMMQLPNSIPNPJSKNKRKOMPQPLOPQPNKOPLNPOONMOPPJMKONRPOKMSMQPLQQNMNNOQNROPNMMNQTIPOOKQTNROLNMNMONPOKOKSNNPJMOOQOPQNTQNONPQQQOOMOMLNPMLNIPOPSQNNLOMQNQPQRPNMOSOOQLPPMQLNPLONNNMQQKPMNLMOTQNLMKPNONLPLMPRPPQROMOMNONOQQPPPNOOSOMOMOMPOQKQQRLLTSOQPMMOPLKMQPTPMRRSO
ekspekte	$x_1$ expects $x_2$ (property of $x_3$) from $x_3$	See also {djuno}, {jinvi}. Desire isn't implied.	fu'ivla		NQUROLSLRNSITPTPPKNSQPQPNLNPQRPOQQQOMHOOJLRQNPQLMLLQNNQSNNRKLSQPPNOPOOPNMRPNRPNNKPOQLRMNMONIIUOONKJQPRONKMOMNOMHNMMRNPNOOPONNJSOPKPNNORQMNPNJQNROOQSQQNMKNPPNPLONMLONPMMRONQNORKNLQPSRPKQQNLMKOPOOQMNONNKMNKONVMQNNQOQSIPOOLNQNOPQPPQMUKPRLKOROORPQOPSKNNQRRLNKOJTQNPSMOONNROOTKQPQPNOONKMPMQQMRLNTNSLQLMNOQNNQOPMPNPLPPNQPNOQQOMOQLONPJOKONPQMOQONPNOOKNRMQMPSMPKMPQNQMQMOPMMOONMTMMMPPQUPMUPPM	expect
eksplicite	$x_1$ is explicit, directly expressed, apparent, readily observable, leaving nothing implied		fu'ivla		OOSTQOPLTNUKRPSNPLLORQLRTPPOTQKQPQPSONOPKMPORPPMKMLQKPOMJNNKOQRQQPOMPUNPKPMLSPQQMNNPNPMLMOOKORPLQLLRPSLONLOJOOPINLKQONLLOOOSOMNONPNOMPNLOSQSLTPRNTNPQRKMMPQMKNMMQOMNOMQNOOLLQPMMMLOQQQRMKSLQNNQRLMKORPNRQPRLPMRQLOQQMPRONNKOMOLOMULMKOSOTNKMKOORPPMSPOLPQSRRNNMPMNMNQRNPPMKRQLPLOPOMPRMRMMPNPONQNOOORJOOIMQROLRMPQQKOMNNMPMOLPLOONPKQOPNQJTMLNOOLNMRPSKLOQMUNRRRPQNPSNNONOLRROOKOOPQNMOQOSLPTSRL
eksporte	$x_1$ (entity) exports $x_2$ (entity) to $x_3$ (entity)	See also {importe}	fu'ivla		PKPRRPQLTPSJQPTRNPLPPQONPKONONLQLRUVPMRNNJQLNQNOOOMTLOQTLPMOMQPPMLKQNOKNHNOOROMNMTOMNTONNSMLVTLORNONNTNMKKONOOORNKNQJMNNONNRPOQONPQLKQOPOQLOIPPNMQRTNOLPORQOKPONQOKNOOKPMQNRNQPIPJPPROQKPNMMMPOPPNPMNLPPPNRMNNQQNOLJPQPLRQMMONLOOPNMNJSQLRJKNMQMSPLSNOOSRRQRMMPPMQKLLPPNOMMTNNOMRPQPMKRPPLMLPQSOLPSRMONQNPMNMNRPLORNQHSPOPNMNOPOKMPMKNPNSMMOLQOMRPOLMPOMRONOSKNPLRPNTNOPPNJSQLMNRNRNPLQONROPOQTO	export
elci	$x_1$ is a unit of $x_2$	ismu of {selci}. differs from zo selci in that it doesn't necessarily imply an indivisible, most basic subunit, but just a unit being treated as basic and indivisible. It also doesn't imply or have connotations of units building something larger.	fu'ivla		NKNROIPORMTMSQPMRNIPSQPSQPLNTQLOUORPUKNQMOPOORNMLOOQKQPQMOMMMSTPPNLPLQSLQUMOUNPQLPPOORPNONOQPOUNNNKOQQQLMNROROPGLJNOPNLPONLRPNOONSNNLPPRKQNTMSSMNQOLOTMOQNMMHOPOKOMMLONLNOONQPOLMGOPPOOLOTNPLMNSMOIPROONOQOMRNNRLMPNLPUQNPOMQNMONRONMMPOMOLNPMOQNOQRQMPNOSMLQPMNLNLMMKLMNNQQQLRNKORLPPQOPOKLSMORLQSRMMLNOMJOMLPPLMONPLSVQPKLMPNOLMOMNLPLQUQOLNPOKOQOQQONMQJSONSPPONNPNNNRKORPQNPONNNMLOMMOMLQPRM
eldicka'u	$x_1$ is measures equal to/is an elementary negative electric charge [-e; negative of the charge of the proton, id est the charge of the electron] in electric charge, under signum convention $x_2$ (default: proton charge is -1 times this unit).	The number is negative. Approximately equal to: $-1.602176565(35)*10^{-19}$ coulombs. Attention: the standard English unit is positive (opposite of this Lojbanic version). See also ".{ocnerta}", "{dikca}", "{ku'arkydicka'u}".	fu'ivla		LPMROLQQTMXJRTLIPLMSOQRNQOPNQOONSQQQPKSPONPPMPMNOPTSMNNQNNNONQQMNMMNNRMNNNJPQNOONLMQRROMROQOPPNQQQMPQSKPOLQPRMPGMJPRPQNMPPJMQQPOPPQJKPJSKRPQONNRLLOPNPOQPOOQMOMQOPLPMPPNNONJOOSJPKNPQQPLNTOPQNNMMNKOPOOOQPMPNNRTKNPMPNPOOJPONNMOMRIPJOROOQMPLLRQMPORNPQOQPRKPNMNPOLJNNPMMOUSPNMNMOLNPQPPOQPOMMQQHRQQNNOSLLJJOPRPOSKLOIOULPJOMNOOMNOKSOLNQPTNMNNROQORQOMONROSKJNOROOOPNQQLJMPOQPPNPPPMNLRMMLOUPNN	1.602176565(35)×10^(−19) coulombs;elementary negative electric charge;elementary positive electric charge
elfe	$x_1$ is an elf of type $x_2$		fu'ivla		POQQOMTLQORKOMRPLONNMRQQNOMKPOORPRMRPOOQJKRMLRKPNONNMNRQNMOQMTSRKPQILKMLLOLQTNQQHOPQPQNJJOROQTOPTNHTMOPPMKPMNNQGNNROLOMPOQMPPNQOPQPKMPNUMMQNHQNROMNQOOQQMOQLNQNJMNKLONJSOOMNMRSMLLOPPNRMPSMQPPSMLLONQLRPSRMNPMQNMRPONJQMONLOPKLONPLLPQQSOOKNQKVMRTNTQNOOPRPSLMPNLPNMLNMOOJPRQMNRTNNNQMNPPNPPLNRRLMMKONROJNLNPLRNLPPPPLSROQORNNTOONQMQNNLPNPQOQTMQNNQRKOMKNONNSPPMNQPPLPPOLOQPNPONRPOOPPNPPNOTNTN	elf
eljbi	$x_1$ reflects LGBT+/non-normative sexuality/gender expression/identity in aspect $x_2$.		fu'ivla		ONNTNNTJRLRMOPRQQNNQTOQONLPOPQKROSMROKSMKKOMPQONLNOPLOMQMLPPQPOTOOLPOOMNPTOLQONMOPSPPNMOJTLRTMPJQOMOOUNRNILLPNLIOMPONNRONOMQPPKOORONKNNLNORPKQNOKQLPOVLOLLOPOQOQPMQORONNQNLNMSPMPPNOLQPMLQMOOMQMMNNPQQMNSPPNKOQRLROJOMWJPNLOMLLOOMNRNLUNQPOJOOQMNQMTOPOSNRRLQNPQNNNLMPMKRLMSPMOPNNNJQMPNPMKQQROOOLRNPRMMKOMJLPLPINNQONLTORMPIMOOMNQOOTOKRQNPMONKORSONONMNSNONPRPONNOQLTRUPORNQPQMQQOKPPONTNPUQPK	gay;LGBT
elkoptero	$x_1$ is a helicopter		fu'ivla		MQOQMNRLTOXNSMPPOMKNMSORNQMPSPNSMPQSQLNNPMULPRNOPNKNONQOQNNONSPOPMNJMPPMPRIMUPOQQLPQPQLNNPNMQQKOPNIRPSOOLPQPQLMLMNMLNNIPPNPQULLOQPQNOOOOOOONINSPKLNLNNMNPPRNMRPQKNMMNNLSOLGONMPKPLOOPMRNQRMQNKORPNPOSPOMWOMKLNQROQQOROQJONHNRNMOLSMPNLRSKPLMNPVPRONQQNPPNQPPRNKMQPMNMLOOPLPRNLQPPLQKOQRQONOOOOMRLNSQPPOONNJNMORNLMNPNNRRNOOOQPOONPOOQNOLRORNMQNNNNPRNONOKRJPORKOONLNSKPMSQNRPSQJLOQMRONSPMPPTRPM
elniniio	$x_1$ relates to an El Niño state/event or ENSO.		fu'ivla		NOSQQMOLSNTKPNRRJLONSQIRMPNOPSKSQPMSPMMRMLSMPNLPLPPNKOOPNLNRPTOPSPOPLNNPPRLKTONNMRPJORLMPRMJRSNSRMNNQPMPNLMLNNLLSKKRLPPNNOKOONPOTMMPNPOLJLPQLPOPMPMQLNMNLQPNLQQPNPOMSPNPPPLPPMQMPLMNOKRPQQJNOMSKQLQMPJNNUPPNROPRIOOQNORQNNNQQMNOPPMPMKQSPOKLPMPQQSKRNMMPNPROHNLMLQIQPILNOOTQOQPPPPRLMQPPLOJNOLNPMQPNTNPQJNPMLMMOJOOPOMOPNPMPHPQORMMKNPONUPORONQLSSNOQQNPPNMTPMONPLOPOMPOTPJSOOOOONOMPMOSOOROPRNM	El Nino;El Niño
elpensi	$x_1$ is a thunk for computing expression $x_2$		fu'ivla		NOQPNMSORQRMSNROMNNJNRLOQPLMURKQMQNSPNPNMHQJPSMPMNNPPOQMPNOOMPNPQNNLNUNOMSOOTOSPQROPNQMMPMMQPQMOPOLPPROLMNQOQKOLQMNQLMNMONLPPINOPSNKQMMOKWROINRMOOLPQNLSMRQOOPOPLLOHOPLPNNMKOOPLOKSPSRTMPPQRMKPPKKNPPRRPONOMPOPNNNNOSNPLNLHOPLKOLTMQMNUORPNMKOTPPMLSOKNQNRQQOPLOKRMIPPMMSLPSOPLMQPRNPPNRPMMOMKQPLONRQNQSLLKQQLRRPPNJNNPULQMQNPOOKOOJOOONPKRMOPPPNMMPOROOLQNONNOUNNPOQMRKOQJSLOQNNPOQMMQPNPMPTRTM	thunk
elsa	$x_1$ is a song.		fu'ivla		NNROLQULUMUNVKPPMMMMNSMQPROPPSOSPOMQOLNQNMPLNRJMNQPPMOPQQQQTPQROPLKOMQPQPRKMTMNQOMOLORMLKOMNNSMNSNMPSSOQMLQRPINKNNMOMMNOPNJONMPOPNRMPMNPKOQKJORMLPNONQQNPORNNPNOOOINOPMONOLMMPOMPKPOOQSKQSONNNQNNQPOTNNNSONMOOQRMMPQQNSKLLHPNNJOPTPPPNSSNPIMLNROQPMSKNPNMOUPPNNLJMLMNLMPNKPUPOOTOPRKRPORLMMOONMNLQPNOONRMPKMKMOMOLONQOSSMPOPLPPONOPKOSRHTOQNMOILQPOPOPNKOQNRMNPNQPSNRKPKRSNSNNQOOQPMNLOROSOMQRSM	song
elsa'a	$x_1$ is a song with music/melody $x_2$ and lyrics $x_3$	See {selsa'a}, {sanga}, {sagzgi}, {sagypemci}	fu'ivla		NNSOOPSLTLUMVJQRNOOMNSNRPQOQQRNQQPNRMLORNMPKOQJLMQOQNPQPPQPSPQSMNMKOOPOPORJMTNMPNNNMLPKONONPMQOOSLNOSSOPMMQQPLQJNMLPNPKQOPLNMKOOOOQONMPQJOSKJSPLMNORMOQONNPOKOOPMOINMQNPNNLMLQLNQLPOLRRKPPMMOLQMNPOOROMMSPMLOORRMNOORORNMKFNOOMOPSOOPNRQNQGMLNPQQPMRLLOPMNSPPOOKLNMNNLMOOKOTPQNSNOSKTOOQNOOOOONPJPQNOONSMRKPLLONRLNONNSSLPORKNNOOOPLNRRKULRNLQKMNPROPONJNQNRJMPNPPRPQHNJQROQMMSPNPOMNMOTNSNLQTRK	song
