@rowCount	3257
w	d	cache	s	q
mi bai .ei sipna	I have to go to sleep.	mi,bai,.ei,sipna,ei,i,'ave,to,go,sleep	👎👎	ONNPSOPNSNJKMRPRPMLPMOQSOSNKMKMNNNPOPLSNQPONRQLMVRMQNOQRMMVPNOPPQQLQKTMNNNOORMWOPOQPNPQSNPQMNRPOPOMTPPRMOQPQMLRQOPLPPSOMPOONNLKOSNMROPORKONMKMOOPSLNQMPTMPMLNQNMNPMNOQQPOMOQPLPRORLOMLLJNPPSOPNNRRMNQKNMPPOORLHPROSKRLLOOMLLROLONIMPNLOMLQSNRQVNRRNRKOOLMRQQNNRJJKNRRPONONNTOQMMNQTNNMMMJOOQMQNNTOONNQMNNSPMSPOLQOPMOKSRQPNOMOQOPMOOOLPLNNRLPORMOQPNMKOQTNQQRRQRKMKLSLRKNQORKNQPNPOLSOMNNNOOUNLK
ko sisti lo ka pante	Quit complaining.	ko,sisti,lo,ka,pante,quit,complaining	GN	RQPPPMTQPPNIQPMRPOLKPOOSMPQPRMNPOOPONONMQMNMSROPQPNONLRQQPNQSQLOPONPLUNPPRSRLOPPMLNQOKQQONPUPOLNOQLZPRQMPKNPKLNPMRSPNSONOQKSNNQOPORUNSMOQNPNNMTPNNNPQMPPNNQKMPNOQRMLPOLKMQKOQORMMOQRRPPMONMNNNLQNSROMLPLQNNNMNPLQNLLRLQNOQJSRTOOJRPOJNNOORQKMORKQPNNNROIKNSMQMROMQQKOTMSPNMQOMTHRQLNPPMMMQOLONNMPKPOPOJOKJPRHOONLNQPOLSPORRQROQOLPPORQQSPRPMPNPNOQPPMPLMKMSRNNQQQKJMQQPIMSPPOMRRNQLNPPPMQNKPRONP
.i mi ca tatpi .i .ei mi ca cliva	I'm tired. I've got to go now.	.i,mi,ca,tatpi,.ei,cliva,i,ei,i'm,tired,i've,got,to,go,now	👍,👍👍	NLNRTPRNNMLLLQQQQMPQORQROSLONMLPMMPMQKSRQPQRPQLKTRRONNTSPMPOLNOQNSMPLRMNMMNQLNSMKOPOKLQRLORONQRQMPLROSRMQMOTQMNOMOLSOOQQPMPNNILOOTQRPROQLNNMMMOPOMOMSOSSPOLONPMLKPMLMSMOKMKPPOOQPTMRNNNNLSLPPVOOQQKOPNSLMSKONNNPONNMSQNINNLOSOKOPLLRPLOPLQNQNMQMROLQMRMNOSUPONPLKLPRPQPMPNOSPSPONRTPMPNMJLOOKNLORMNOPPNMMSQQSQNLNPQNSOSQOOONQSQOPNNLQMKOMNRNPOOSNMONJKMPQSMPQOORKQKIQNQLMTORMNQOKONNQNKPMPMRTOQN
.a'i cu'i	Ah, this is easy.	.a'i,cu'i,a'i,a',t'is,is,easy	G−	NPMRQNPPMNMKNPNNMMKKRNJMPPKUQMNPRQQMKSOPNLPPPSKOKRQNINROQMSONLLUQQONKLOONLQPOPORMMPNMQOOQOMOQTPNQQKSNQNMLKOPOMKNQRLQNOQMQOOOKQNORPNPPOKNMMRNPMRQPTNOLQOMRLRMRROPMNOQRNOONONONSMMPRKOKOMPQQRULQRRKNNLNOMLTLONROMPJNONNMPKNMKPPNNOLMLPPPTRPVNTMMRQKPNQONOSNPRMLOOJKMMMNNOKNNQUPOPOMQPMPNMQQNSNPMLPQMNOMPPQPOQKPNNJNLNMMOOLOPMRXNMORLNSTTRQOOTOOMTQNQNOKNTLOPNQSOMRNQLSMPQLMONSPQMINJONQPLNPOORRTQN
mi gasnu .a'i da'i lo nu do cikna	It'll be hard for me to wake you up.	mi,gasnu,.a'i,da'i,lo,nu,do,cikna,a'i,it'll,be,'ard,for,me,to,wake,you,up	👎👎	LNOPTQPOPNIMPRMPRQNSORPMOORNNONKNKSORLOQQJPNPONOQOMMLLQTQPTQJLRNTQNONNMQLNPNRMTPOJLMKNRQOONMMPPNMNJRPOQOONOPLMQMQQOPQONPQNOMMLLORRMSOLMQKRLSNNQOPOKMLPRMMLOMNOQNOPNQOPLNNTQNOQPPQLNPKLMNPPQQKORQNPQNOOPLMMSQULKNUQPNUPMNIPKNTONOONNNPMRQOMONRPTKPQNTJNLPOQOOQNOJGPNONOLMOOMMQMRRNROQNQONOMRMLROMTOOPNPRONRPMSQPJQOPOPNVSSONQPPQONJKMPPOMLOOPUPLVNMNNMPRMOOMPMQNOMQLLPOJKPQNRJLTPMPNOROQTNPNPUQNK
.a'i mi ca ro cerni co'a cikna	I'll make an effort to get up early every morning.	.a'i,mi,ca,ro,cerni,co'a,cikna,a'i,i'll,make,an,effort,to,get,up,early,every,morning	👎👎👎	KNQNRONPQNJOMRRRQONQNOSRPPSPPLKKPOPOROOPPNNRMPPNSPPQMMSVMOUPLPMQTQPPLPKQORNOONVPKMLRLOQSOLOMNNMOMMHSPRQPQOMSKMOPPPNSPRMPPPRLLNLOQPOROLMPOQNPMONPPPIOPJQOLMOLOPRNMPMORMNMOQPOQORMPROPNKINOMPSNPLONPPPNPTMPMORRIPQRQRLTPMONMKNQRKOQJPOPKNMQRMORLSJSRLTHPKMPQRRONOKLOORPSMOPOONNRORJRPOORRNONPQLRMMSNMQONRNNPPNSPOLNOPMKNQQQPLRQQROSMOOOMOOMMTOTMOMQOMNMOSKPMKQOSOSJNNLRLKONLNQONNPLQOLSONPNOPNUPOL
.a'i mi troci lo ka ru'i jgari ti	I'm trying to hold it!	.a'i,mi,troci,lo,ka,ru'i,jgari,ti,a'i,i'm,trying,to,'old,it	👎👎👎	NPPMOLONOPLOMMKPMPOVNROOMTKOOKMKKQMOLMTPNMQNRSQQSQMOSPPQVONORPNRMMOPISROKUPLOLTSNIOSKQPONNNQMQKMONETQUSMNMNONMOOOSOONQQPPOMOONLOMOOTLQMPIPQOMOONNOOQPOPOMTOPQPOPPNMJPOONNQPRNORNIPQPNRNMPMMNPPOMQRNPPNNJPMKNPOONQNQNNKLNOPJMNONOPLMORNOOKLNPPOPPPROMJPNUMQPIOMLILPSOPOMMORRTPPQPMRNIRPSRNOOMLQNRPNQNMPQRQRRPRNPQMPONRQQSLPMRQPSOPQRLPQNLNMORMSMOMONNNNRLNLPPONPQMPKLLRSLQNORQSRRPQOLQSNQQQNORMLQ
.a'i nai cikre ta	Nah, why bother fixing it.	.a'i,nai,cikre,ta,a'i,na',w'y,bot'er,fixing,it	👎👎👎	OOSOPLPOPOONISLOKMOOHRNMMONPMKMSLOPNQPOMQPOPPPQNROTOTLSSMRRRSRLQSNQIOQRPOQOQOOOQMMOSTROMNNQOUOLNOQISMPRPLNOTLKLPONQMMOPMNOKRKMPOPPMMRPQNONSRNMRORPILQMOLMRROQQNNNNMNROLKJROQQQRMMPQQOQNQPPNMPLOPTSPRQKNKQPLNMOKOQNPPNKOPPOKNNQKONJPNNQPNPPROLPUOJPKKQORPOOQLOPUKKPPMONSPNPKSOKTOQTQKRNQPOSMMQSPIPOQOOJQPMLOROQPPNMOOSKRROHOQORMONPNPOQNPOQOLOPNLLSJMOQMJLNPQPLNOSNNNPOOMPPSSNOQOLMNPONPOQMOMNMPO
.uo ru'e .a'i sai ro'o bu'o nai .a'i ru'e sai ro'e bu'o nai	I did it, through much hard work, though it took but little thought.	.uo,ru'e,.a'i,sai,ro'o,bu'o,nai,ro'e,uo,a'i,i,did,it,t'roug',muc','ard,work,t'oug',took,but,little,t'oug't	👎👎👎	NQPOOJOPLQPQPPOQNPKNMMOKRRMQQNNQPOOROQPLPMQPPNRNOKNKMKLQPQPMOQORTOPKSMOPMOONRMNOMROUOOPPONTMMMOONQOQPMOIKLPQMMLOQPOQMMNPQRNPIOROQTQSQONQMRUOPQMNKMNPNOQMMSMLSPOPMPMRSKQPPPQPPRPPPSNONNMQRMQRNPPTNOMOSMKOMIPOOOMKQOKORLPLNOMOPKLOJMQNOMNMOUPNOKMMNQOMLROOPQUOONOMKMLSOQPIMNJOMLPMNQPPLLONTOPOKOQJRKPQMOMPRTRJPPLMMLRMRPMNPOLVWOQOOQQSNQNPLKONOURKTQNMNRNOPMOQMLOPKSNLQOMLNSRRPPJMPOSRQOPOROKPRPLO
.a'o .a'u cu'i ro da ba se jalge lo zabna	Hopefully everything turns out all right.	.a'o,.a'u,cu'i,ro,da,ba,se,jalge,lo,zabna,a'o,a'u,hopefully,everyt'ing,turns,out,all,rig't	B−	OOQOMLJLQNQOMQPQONLQHOMLLRPNOLONONSNOKRLOLOTPRRLPMNLPONVOPSNJOOPQLOMPNNPQOPQQNRMQPQMOQMOOPLLOQORNLMSNPSKPPQROMQQSUORLQMPNNRQNSPOPNOTOPOQNNRPLQMQOSMSOLOLPTPMLNKSPNONMOLMLPKNMPOPPOKQPQLPOLQOROKJMQPKOPMQORNTNMPPRQQOQNQNJRNOPOMOMQOOONNROTUQMNPNSNSQPONRNQSNKOQLJSOMOLSKPMJROOSPMOUPRPOOPKMQJQOJOOPKQPOOLLTNOJQPNOQOULQLRNMPOPQONNMPOQRKMNKMPOSONOKOKMNOOOLRJRMMLPMPNPTNMMMRHLSMOKRNOOVNNOOQPLOO
.a'o da ba zgana ti	I hope someone sees this.	.a'o,da,ba,zgana,ti,a'o,i,'ope,someone,sees,t'is	G−	HMQKPNQRSOMMPPNQQQOMPQMNNQPQKPQLQRPOPRMONLNTRNSMPMMLONMMQLTSPRSKRNOQOMPPNPPNQPPPPPPLLQPLPNINOMPMOPNUMUVMPQPSOOPQOPOQMQPNQNOKQQLOQOPKQMMPOKQLMQOMPNLRNOLNPTSLTPLTMMOMMNPNOQKSOPOPOLPPROLQSOOORNKOLQPNMONOOLNNNQQPNJSMRNKLJRNQMOOOPPPLPLQQOTSORQTOTPQRNPMVOOUNJLPJMMOLOOKPNNOKLPQPPQMNJPMMMLSNMOLPPLJNNQQMKMPPSQPPSONRRMQRPQLNMMPOOPNQRTULONQRPLUOOOLPLNQMNOHRJRKPOLRMONRMMNPRPNSLNNNMQTQPNRPMQMMM
.a'o do ba zi co'a kanro	I hope that you will get well soon.	.a'o,do,ba,zi,co'a,kanro,a'o,i,'ope,t'at,you,will,get,well,soon	G−	KLTONNPQMKNQOPRQQOLOJSNNIQKLSONKMPMPPLPOMRPRRNNMRMJPOPPPPNQNLOONQPOMONJMPPKPRNSNPRNOKLQONQRONPPONKMSOMRNRPORMMQQQQLTNORRPQQOMOROQNSQNNPONKNMOOJNLMJUQJOOPQONNQJQOLLKNPLNRQPOQLKQPJMNPMPNNQPRQQKMLMNLOLPQOQMTOJPPRQORVPLLLNQNQOMORRQPPLMUNQSPQOQNPOORMRNSOPQOLNPJIPPNOKKMQNMPQLUOMSOQLPQLPHOMIQLSVLNMPOOMOMONRRPOQQPOQLSNSPKQOOPOQMOPMNNNMPQQQJQQSRNLLMPPOOONKOOOONQNPMRLLOPRNLOPPLQONQNSNNQNSQMM
.a'o do kanryze'a ca lo bavlamdei	I hope you feel better tomorrow.	.a'o,do,kanryze'a,ca,lo,bavlamdei,a'o,kanro,zenba,balvi,lamji,djedi,i,'ope,you,feel,better,tomorrow	👍👍	NKTORLOSNLKQPRNPOOIRKPLQLSLLPOKLMNOOOJOPORPOSQNMSNLQNMQTSOQNOORNQQMNKQLMOMLRRNRRPQRMIOQPPQOMMRONLPLUOPPNQOOQNJORNNNSQSQOOOQPQPPOROTPTNNOOJPLNNMPJONSPLNMMRPOMOKQROOLOQMKUQPMQMLQSNNPQMOMLSPQOMNKMNNLNMPRQNOROJNPQNPOVSOOONLNQOLOVOMQOKNSNQQNPPQMPMMOLQQTQPTQNMSKMROPOLLNOPPQQPQMNUQPMQTLMIJNHMNPRMNOQMOQKKPQPRQOLRRLOMTRPPKSPROOPOLNMPNLNSQNPMQQOPONNMKPSPNQIPNQMPQLQLQOLNOORLPOMLPOPROOMOOOQNNN
.a'o ra ba zi kanro	Hopefully he will be healthy soon.	.a'o,ra,ba,zi,kanro,a'o,hopefully,'e,will,be,'ealt'y,soon	👍👍	ONOQJPNRLMOPOQQNPQLLISROLNQMPNOJPMMNPPMNPLLQOMNNRQKMTNQQNMOMOPNNPLPOOPQOPNONONRNQNPPLRNOJQOPMPNQNJJRNNVMOOQROOQQPQMRMMLNPOORPPROQMRSPQQMNJOJPOJQKOMSPKRPPRNJLPITMNJMLQLNSPPONLPQRISNOKNOPOOTSPNNKNLMJNRNNMNNLONSQPQQPPMQNQOMMPNOOSRSQMNWOLTPOMPTOSORROORMPLRKPPMNOQONNMSUNQQROQONSRQKQOOIMONIMOOOPOLNMNMLMLQNQOPOLNMOLPMSOLNLQQORMMPNSNNQUOSSMPPNRMNMMRRPJLQMPQPMQPMQOPNNOJPNIPRQNMQROQQLLNONNRM
.a'o ra ba zi zenba lo ka kanro	I hope he'll get better soon.	.a'o,ra,ba,zi,zenba,lo,ka,kanro,a'o,i,'ope,'e'll,get,better,soon	G−	MLPOKPOTLKOSNTRPPQMMJSPOKPNMRNQJONMNNQOPOPNQPMPLSNLQUMQQRPQMNONLPNOONRNONOMOQOTOTNPOLNOLKQPQONORPMHSNNSLPPRTMMQQMPOSMMONRPOSNQPORNPPQPPMQKMKOOKQLMJQPMQOQSQLMPJTNQKLLRLNQRPPNKNQTJTPQJPQNPRSTPOOMLMNIKOPMMLNMNMRNNQPQPLOMQPMNQOOPQSROMNVQNOQPONNNRORQPPQNPOQLPPIMPPPMKKQSMRRTNQONQPPKQMNLKNNINNQRPMNONONKMLSMRPPNOOOOLSNSLOONQPOOMMNOUNOMTOROKTQORONKNSPPKKPKMNQMQRMRMQLMQNOOLNRRLNPPNQQKLMMPQQM
.a'o la .tam. cu gleki	I hope Tom is in a good mood.	.a'o,la,.tam.,cu,gleki,a'o,tam,i,'ope,tom,is,in,a,good,mood	G*	KORLLNPNOMNOOQOPOPNUMSOOMTTLPQMQNPMNONRONNOOLKRIQNPNQNLNRMNOKQONTNJQKQLMWNMNQQUNPJMOOPOONUJQKPMQLQJSQUPMPNOPNMKNOLNSOQOLQSPSQPLOQQPRPRMKPKKNLLLPNNLPOMMQJQRMLOKRPTONKPQPQQQOLJQQSPSNROMRPOQQOQPJNQMNIPNPPJMPPKMOPLPNOLQOMSSMPMQOQPLNLLNQPOMPOPQOQPSPQSLPMLQPLNNJLRQOONLORLNTNNQQNUOQNPKOKLNPJNMONNMPNSONNNUPQONLOONNOMPROMQPONNOJNMMPQOOQSQQOLOQPPOPNOPRRPOPLSPQKLMMPSSOPPKPPPTQSNMQRNROORPQNPNN
.a'o la .alis. cu gleki	I hope Alice is in a good mood.	.a'o,la,.alis.,cu,gleki,a'o,tam,i,'ope,alice,is,in,a,good,mood,alis	G*	OPNPLQRMPNLMQNPRRJMSKPRNOQPKOPJQPROPNOTONLNLNNRNQMOOONOPQOQNLQPOPKMPNQLNOLONTMQSOLRNKOPMNMIQOPPPNOLURUOMONQQNKNKRMQSRROMTMQSTPOOPPPQRQPMONMPLNNQMQLUPNOSLRVMONNSOPLOKRNNROTNMMQPPNPQSTNQNOSONNPJPQQMLQOPPLLSMLRLQMPNNGKMMONQPOPOSOIPNMNOPQQLNQQJQQQQMRMPQQSKMOKKIPQNMMKNRNPSSMOQRSMMOPPONNSMHNPMLMOMNPQOKNSQPMNKNONPPMQPMPNOQKOOMOLKPRQLLQRQQOQQSKNOPMQOOPMPLSPRMONMNOQOKONNOJSLQONNNPQRPMPTOLNK
.a'o la .maris. cu gleki	I hope Mary is in a good mood.	.a'o,la,.maris.,cu,gleki,a'o,tam,i,'ope,mary,is,in,a,good,mood,maris	G*	MLSPLPPOPLLNPNMPPOPTMRRQNQPNPOJQNRNNPNRNNLPNONOOPKNOOMNPPMQNKSSOQKNQLPLMTOLPTNQQOJOQMMPMPOJNKPNPJNNSNVPMOPSPNLONPLMSOLMKPPNPQPNOOPRRTRQNPLKOLLNPOOMUNONRNQTPNONPOOPOLQPOPQUQKLPPPMRNNQMUOOUQNONJPRONIPMOPNNTMISKRLNNOJMMJQRPUMLOSPLPMLMPPOQLOSNNSRQRMTNROPOPJOMKJOOPQMPORNOTPPQRQRLNNPNOKKPOKOKMMMNNOQLPKORONKQLPNKMPLQPNOMOQLQOOONLSNMMQQQROMQQQKNPSONOQOOPJUSRJPNLOQSMOPJNPLSPQPPMPQRNPNORQMQM
.a'o lo gusni be bu'u lo jipno be lo kevlu'a na se cupra su'o trene poi ca'o muvdu mi	I hope the light at the end of the tunnel is not from the train coming on me.	.a'o,lo,gusni,be,bu'u,jipno,kevlu'a,na,se,cupra,su'o,trene,poi,ca'o,muvdu,mi,a'o,kevna,pluta,i,'ope,t'e,lig't,at,end,of,tunnel,is,not,from,train,coming,on,me	AE	NNRRROQMSMONNNOSQLLLPLMOIRNMMOLLIPQPOMTQOLPTRTRKPKONQQOOPPSQKRMMPMLQPPPPOONNPOMOPNNPPPUQPPJKJSROLMKQQONOQPNTPNTLSPLPNQOSOPPQMKRONPNNRNLOMQKNKNMMOOKRPNOLPRMMNPKTRPNOQOLKPMNQQMSPOOMOLMPPPPQOOOQOSMMLOOMNQOPPKPQNPNMOWRMMIQOQSMNORNPMPOQQMYQOQQMKSRORLPKPNQTOIMMMJMORRMLNPOPNMNNQLPOPMOOPMMQOOOPPQLLSRQSOMOQNQSONTLQQROQPNMNSMNQONOMIPOPOJOQNORNSLLPPLONOQPNPLOSMNOJQQRPOOPNSMOQMIQPLPRTNLPJQQOKO
