@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
tempru	$x_1$ is in the past of/earlier than/before $x_2$ in time sequence, separated by an interval of $x_3$	See {purci}, {temci}	lujvo	before;earlier		MPUPROLOUNVQQRRNNJOMQRMQTLORSTMPPQNQQMQNKKQLMRMOLOLRMNQRNONLNQPMMOONQROPLPKPRPMKOSQQOOLNOOSONUOLQRSQOPKQQLNNOOPIPKMPMPOQOPONMLROPKNKMPLOKOQLIMMMMOQONHNOPRPONONOMOOURMOOPQNLQMMMMNOPQMQIQNKRRMSLNLOPPPOPPRPLRRPPOLMONPVQOMIMRQLORQQNNKRSPPMLQMPQRLNRPMOQOOTRKOLNQPKNMKOLQNNPNPMQNOOMSNPQPLPOPOQLMPQOPLQRKNLNLRQLHPPOLPPPNLLONOOOOMOMPNPOTJUONJMNMKONPRPKNSLTLNQPPNPNQOMNPJLQQLOQOLPSPLRQPPLOQPPN	temci;purci
temsalri	$x_1$ is the differintegral of $x_2$ with respect to time of differintegral order $x_3$ and with starting point/initial condition/point (in time and possibly other inputs) at which evaluation is taken $x_4$.		lujvo	time derivative;time differintegral;time integral		MNTOQMPOULVPPQNNMLNPQQKRPQOOTPMONQLRPLQOOMRNQRNNJQQQMMQSPQNKLQRNOOOKSNMQLNLIWSPLPPMMMQNRQONOLOSOPPQQNMJTPMOMNNNKPLNOMORNRMIONOSOMMMLMNLMMOPOHNOPMRQNQNKTONOQNNPMJOQMPQPONMLMNOONOKMOTMRMMOIRONRMMJNPQLMORPQMORQPILOOOORMMJIQQSOONPOOMNOVRPMNLKNOPNMUOOOKNRRPMPLNOPIONLOPPOSPORMNLNQQRNOQOMOQPMQQJROKPNRRKNMKPOPONQPMJNNROLMPLQMOMKNJNNMNTNSONKORNMONOSRKPOOPNNPTPOPPPNQROONQONOOONPSLMPRQMONPSRM	temci;salri
temsarxe	$x_1$=$s_1$=$t_1$ has timing / synchronization with $x_2$=$s_2$ in property / aspect / way $x_3$=$s_3$ from time / event $x_4$=$t_2$ to time / event $x_5$=$t_3$.		lujvo	synchronization;timing		QOSQPORMUMVMPPSOOMKQOJNPMQNNTQPRKQNTRMQOPKRMORNPIOLRMLSSPSOJNRNOONNLPOPONQONTOPMLNPPRQNONNOMPSRMPTMNNQJRPKMNNNPKPLNOLOQNQNLLNMTOMNLLMPMNOOPLGNOONRMMONLPOOPQJOPMNQNMOMNOLOLKNNONMKOQUMQMRSIRNLSKONPMQMPRRRQKPPPRJNOQNQROMNLNQOLOMNMOOLQQPROIJNPQRNPRPMLOPNQRPOMNMPIMOJOMQLMSOQNOOOSNRPPTNJOOOLQPLRQMPKPRKOLOOQSMMOOOLQPSMNNPMSNOMNPKLOQNSNQPMMPJOONPSONNNPMUOMPPPOPOQOPPSLJUQPNMOOOOPLOPSNSPQSPO	temci;sarxe
temsaxygau	$x_1$ synchronizes $x_2$ and $x_3$	from {temci} + {sarxe} + {gasnu}	lujvo	synchronize		NMRPPOPISMVOTNSQLQKOLLMPRPKPQQOLNQOSQMSOMGQNNRMQKMKRLPRTPQNMOSOPPNMPPUNOOPMPQNKLMOPNOQLMOMSPORPOQSLOQQLOOLMOMORISMLRMQQMSNOLMLQOOPNKNSKOMOQNIPMNNQPRPNNQNRSQLPONKOMNNMNPOPKMNPQNPJOOOMNLONLQPJQMQNNMPPOSOSPLMNONOOOONROPMOKMQMLONNONNOPNLTNJKPPPTQOQRMOSPPPPQPPOKPJPKOPLRMNRQOKNINQNMKQSRLPKNMRNMQTLPPQSMNMOMNQOLOROKOQUMOPRMPNONKNMLNNNTLOLOQNNOONLRRNQPROSMMSMNMPNPOPORLNTSKMMOMSKRJOOQQQSQQPN	temci;sarxe;gasnu
temsepcau	$c_1$=$s_1$ is immediately next to $s_2$ in time.	Cf. {temci}, {sepli}, {claxu}, {sepcau}, {zi}.	lujvo	immediate		OOSQPPOOVNXOQRQNOLNNQPNPPOMOURMONQNTQNQNMIOMPSPPLMKPLORUNOOLNRQOOPNOQUPOMQMNUOQPMOPPNPMONNPKOSNMQQMNORKQPKOMPNPJOMMQKNQOOQMNPNSOLNNLKOMPMPOKHQKMOQONMLKNPPOONPLNLOMOPOOOMPLNQMMMOMRQQPOLPRHTPMQOMMOPRPOOSPONRNPSMMPPQOUMNMHPSQIOROOONMPRPRMKLMQQSMNSQLMOOQTRLPKMNOJMLLONTMLSNOMOLPONSOQPMMOPOMQOMPPNPKSTHNIONRSLKPMMJORQNNLQMOOOOOPMNOPNRMTQOLKOOJNQPTPLLQNRONOPNNOMQOOOOMKRQNOONMPQOLQQPNKPQTRO	temci;sepli;claxu
temtagji	$x_1$ is pressed for time; the time from now to when $x_1$ can no longer come closer to completion is short	See {temkluza}, {temci}, {mo'ulno}	lujvo			MNSPQRONVOUNPOQMMKKMQQNSNNLMTQLPPPORONQMKKPPORMMMPJQMOSRNPNONPNNQOOLNUOPLRNOTOONPPOQKOMQQNOLNUNMRQJOOSKMNMONOOPJQMMRJMPPPPJLMOTONOLLNQMPJONJINLLQSNPPLMOQPPONOMQLOLNQOPOLOKOOMQKKOQQONQLPPJQPLTNPQMORPONQNOKRMRQNNNMSNSLNNGMTOLOQPMPPKOVNONLQNNQUNOSRHJPORRPNNLLKOMPMOMPRMOQOQNOOQRLTPOOMMPOOMSPPPRRPMTTJPMOLPQLNQOMMPPTOMMQOPOOOOOKSPPOSMTOOPNNNLPOPOQMJQMTLMQPOOONQPNOQMKRNMRPLOQOQLQRORMPQQNO	temci;tagji
temtcu	$x_1$ takes/needs $x_2$ amount of time to be/do $x_3$	See also {temci}, {nitcu}, {temyzi'e}.	lujvo	take time		NORPRKQLTPRKPRRPQLNNRNNPLOLORQMRRSPUPLPONNQOOONMNOJQLOSRNPMMISPOOQNMNUMSJQMKTPNNMPOOLNMOOLSNNQPOORLPKQOOLNRPNRRHPNPRLOPQQRLKNKUOMQNOLOORNLQMINRMPPPNRKNQPNSOMONOGPOMOQPNLRJRNNPLMPQOSPPLRNMRRJQPQPMQROMNLONJRMNQOMMNRMTJNMIORMMONNOSSLPPSSIJNMNPTNMSQPMNLSPOOOLMMRLPMULPQKLPMPPKLORMOOQNOJNOPPOOMNQMPNPRMOJPNOPMMNNNKPROLQQQPSNOONRKQNOPSNTPNRNONNMOONOMNNNRLLPPMORJNPNPPQOTOLKPPNRLNNQTRPOORQQO	temci;nitcu
temymapti	$x_1$=$t_1$=$m_1$ is a time appropriate for event $x_2$=$m_2$ in aspect $x_3$=$m_3$; it's time for $x_2$; it's time $x_2$ happened.	See {temci} {mapti}.	lujvo			POTQSOQNUNUMQRSNNMKPOMNPMOPOTRNPKQNSQMQNNKQNPRPNLOMQOMSSOPOINTPNMONMPSPPMPMOUNOSOOQOOPKQPNOORSPNORNONQLQOLNMONQJQLORKONONPLMNJTOMNJLNPMPOMOKHNNQNSNNNLMQOOQOLONNMNOONPNNKQKMONNLKJQQUOSNQQKRPLSNNMPOQOQQQQNKSPPSMKPNMPUMMOJOSNLOMRLONLPPRRKJKMPOPOMTOMLNOQRQOPKMLQLMOKOLRLKSMPNOPNOLSPRSOLMQNNQQKQPMPMQTIOKQOQQNLOONKQRSLLLOORPOPRPKLMPMTMROKOLMNLOQQQNMMPLTNKPPNOQLPNOORMMTPOPOOONOOLRRQPPMQTPN	temci;mapti
temymoi	$x_1$ is the $x_2$-th one timewise to satisfy property $x_3$ among $x_4$.		lujvo			OOTQQOTKTOSMTPTPOMNPPMPPMMMMTPMSKRQPSNQRMKSKLPNPMNOQNPSQOOMIQSNMRONMMTRMLQNPTNOMIOQNOPMMRQPPRROLONOQLRNQOMNKRMOJQOJNKOOKRPNNOKSOQNOJMOLPKOPRJQOOQPQOMLMNMLPQMPNRKOLSNQPPPMPMQNNOINQNQOQINSLRPKPQMMOMSNPRMNQLRMQQLNPPOSTMOOLLSLOONNQPPKQNNPOKLMPSRKNRPLQQLPNPMOMMLNMMPNMPNLPTROPMNOQOTOPRQNOPQTNTNMNKOMPOKLKQOOROLRNNJLSNOPNONLNOMKPJPLRPRNRSOQNLNMLRPPPLOPPQPRQNSPRMOQPLROKSPLOONLLPQLLROQOLRQRO	temci;moi
temymre	$x_1$=$m_1$ is a timer measuring $x_2$=$m_2$ (e.g. event) as $x_3$=$m_3$=$t_1$ long / elapsed time units / time-duration / interval / period from time / event $x_4$=$t_2$ to time / event $x_5$=$t_3$ on scale $x_6$=$m_4$, with accuracy $x_7$=$m_5$; $x_1$ is a timer for $x_2$.		lujvo	timer		NNORNNSOVLULRPOMNNMNRNNRMOLNUSNQNQMRRLPOOKSNOUMNGSPSNMRROPNKMPOOMPMLRNMOQRMJROQONNOOPPQQOMPOPSOOPSMNNNJROLNNQMPJOLRRKPRONOJJOPROLOMLNPMPNNPPIRRNQQPJPNMRQPOPJOPOKNNJQQOMNNNNNMOMPNROTOSNQRJROLROPPPPQNOPTONLSNLTKONNMOROOKLNOPIOOQNPOLQQOQMNLLOOPNMQRLJMPQQPPNNKQOMLQKNLSNOQNRNNNMQMQROPLLMPOKQTJSNNNMPSMMILLNOPLNNOJNQRNONPLQNOMOQJOPNMTOTMMMOMPPQPSPPKMRMVMMOPPPNPMMPQPLJSQNNNNOOQMNNROKNOPTPN	temci;merli
temyzi'e	$x_1$ has time to do $x_2$; $x_1$ is free to spend time on $x_2$	See also {ziftei}.	lujvo	free;to have time		KRPQTOSLTPRKRNRNNNMLPLOPOONOSPOSNROTQNLNLMOQPQLLNNNQLOSRLNMNLQPPOPLROSMRNQMMSQNPPONPLOJMRMSPRQNLPSHRORNQMNROOOOLQNMQIJQSPPMNMJPONPNJOPKQJMROIORMRRQPQNMPMLPLNOMPLRNPMQMOKNLNQMNLMMRQONQMQQMONLOONONOPRMSMQLNPNOSPLMMRLTJOMKONLOOOMNNPOPRPQKMMOTPQRMRPONNLPMRMQOMIOMLJPMMQMLPMQMLQMUKQMOQQMQNQNLPPNRPNNNRGNKROPNLMPONMQQQLOQQLUOONMQNRJOORQTMLRPOROOPROQNIOORQPQNMNPMOMOOQQOSMLNNNNOOPKQTQQOQUPOO	temci;zifre
tempura	$x_1$ is a tempura containing $x_2$		fu'ivla			NOOSNMULSNWHROQKPLONORNQPROPQRKQNOQSNMPQNLRPRQNOLMKOLRMOONLRPTPOOMMPOOPRPTJPWJOPLNPQOQNKNNRPOQNQOPNNMOKPKNQLTNKJNLKNMNONMONPPMPORPPMONMLLNMNGTPQKRPNKTOMMPPNJQPMLRNOLQNQTNRPQQNMMKPQQPONOROQKOMPNMMORNMQUPPMRNNPNKQNNPROQOMMONJOOPNOLKPPNNOLMJOQSTMOLOMONRQPMOMLKOLLOHQPRLRUPPPLOPSIOMTOJONLSNPONOPOROQRKNMMMOQRNQNMTMMSQNNQNQSOPKPNOOPPUPSSNOLKOPOMQPOMORMQPMNMOOPORONNRNNRPNMSNNPOPOKMOQONQQQO
te mu'i	{mukti} modal, 3rd place                            motivated/motivating per the volition of ...		cmavo-compound	intentionally;motive of person		QNOLOPSMROQNOQUMRQKOSKROROQOSORQRNNQKPMROORNNNQOMMONKONPQTPNSQMPRNPLMQVKPKPOPPOONQNSLKLMPQMOQONRMPOSMTIQRLIONPIOOMPSOQOONNPPNLMONOQQLLNQPQPQRSRNKNNQTQNLMMPNIPSOOKOOMNPQMOQNOROLNTQOWNONKQOLPPNRNKOMORLQLJNNNLQMNMOMNQOHQQRNOQKOOOQLROLHNTJMSSNNOOMOSQILRPPMNOPOLMNUNQMPMQROLQSNPPPOMSRMNJRMOPQOOOLSMMONMKOPOPMMMONOLONRRKNPOQPOMQMTOOPNNOPONMSMTPMNRRKMOQMRPRPQMMMNMNNNQPQUOONPOMLLMQOONOHOPQOM		BAI*
te mu'u	{mupli} modal, 3rd place                            as an example out of the set of ...		cmavo-compound	example out of set		RQNONPSOSOPNSJTNPQLNRNOPPNMPROKPPMQRMQNRNPSMOROMQKOPKPOPNONKQQNPSINRKPOPQPOUSOROOMOROLMKPQIKSOTPRPQSOVPMNMMKRJPONMOLQOOMLPPNNPROLMPNQNLOMSPJTRPQPOMOPRMLNQQLMNRQNOTPQLQPQNPQRPNPQQLRPQONOPPPNPPRLOKKORMQJPONONMLNPNPOPRKPNLONLLOLTPIRNQKQSMQPJONNKLPOKNRPQMMJKLMNRNPQMMRPQNUOPOOSRLJMQRMMORQOPORQPIRMOLNKJKSPNNMNOOPONRNMLQRPTNOMPRPNNQQLLMONNRMOQKOLPNPNRNPNOQRQOPOKRPMIJMSOMLNOJKPOOQONLKPLQPS		BAI*
tenfa	$x_{1}$ is the exponential result of base $x_{2}$ to power/exponent $x_{3}$.	See also {dugri}, {te'a}	gismu	exponential	tef;tenf;tenfa	NPOROMPPVQULRSSPJONSSPLORNNMTOMNNQQSRNRNMKRMNPNPNNOOLPSORMNOOQPKOOQMLSLKMQKOSNQQMMPRQQOMOOOPPSQLOPNOOQMOKKPQSMOLLMMQLNLPRRKROLROMTQLORHOKRQQOOPOMPPOQOMQLOPRMOQNMLMMRORPOOPONNPJQIQPPPQMLTOPPJQPKKNNPPQOVPOMNONUKNRLSOMMPPLLPNLOKQKMMORMOOONKNOONLNONOMPOSKQRPMNMPKNMPQPMNSRQNQONORMPNMPPOLONQQQJQNOQKKQJPJPNMRLMRNHOMQQNLJNLKOONPRKRLRNQMQMOORONMOPNPPLNRMSMMQPPOLMSOPPQJMTMOOOPNRQMMNQLOMOQQRM
tengu	$x_{1}$ (property-ka) is a texture of $x_{2}$.	See also {rufsu}, {xutla}.	gismu	texture	teg;te'u;teng;tengu	OPSPOOVMRNUMQPSQONMOOQSMRTQOTOOONOQSNLQSOLQMQQNMNMNNLNPPOQRQPSOROOOMNOQMPRMPROPMJNOOOVMIMNQMLRLNOOMPOONQLKNKPOLLJKKNMNOMRLOQQLQOOOQLNJMKIROQEONSPMONORNPJPQNNQPPQSIMMPOSOMONONSKMKQPNROOQQMONOTOMLOOONPTPNQKOPOSKPPNKQQMSNJOMKLOPNPSMJSTNPONNKORONPOMPNPLQPOONOLMNLMQMIQPNQQNOTLRMTLROOTMQORPLNONQQNQKPQNQPMNQQOOOLQSMNPRLOPKRPOKLOHMNQORLORLQMMMROPQMQLNPMSNONMQRQOQMNRPLLROQNPOOPOKOONQQPLOOON
te'o	digit/number: exponential e (approx 2.71828...).		cmavo	exponential e		PRMOLNRSQPOMPQNKMMNQRPQMQMOMQNPNPPOLNMLOMNROPLNQNNPPJNSMQLNRSPPKNNQHMOMNMPPLLOPQOMQOPNTVRNNLORPRNSMPOSLOLNSRONOLLPMKOQOTRTPQNPQOLQPNPQJOOPMQTPRLOQNJRNPQMPNPTOQOQNOLTPRPORRPONVNUOOOOPPOSSPOQRQKNPOLNQOKRKNNOONTMNNMQNKPQPSMNMMOJSMROPQOPOQPRNNMMSPMPNNPQSMNOMIKOQLMRPOMNPROQNPRNMSQKOMRMRNQNQSPMLINNIOOJMLLONQMNROIPORNMLLSOJPORQTMUNROPMSKMQPMOMOQMNQMMPNRLKNMMOHKOPNNPIPPOPOLMMQQMNOMMLMTSONN		PA5
tengau	$g_1$ extends $t_1$ to range $t_2$ [interval/extent] in dimension $t_3$ from relaxed range $t_4$.		lujvo	extend		PPSPOQQOOKTNQORPPLKPQSPOQNPPTSNSOQQROQQNPNSOMOMLLKNSOPNOJNRKOPPLKNKQNSKOKQMORMQOOMOOQRLKMPTMLVNHPNOONOJONOOKQLPHPJMOKQPLPRLQNOQONQOPOPLNLMQSJMRQRTNNNNMRNMPNIPJQOPOPOPNNMNQOROOQLMPPPNPJOPOTLLOPPLLMQSQRPQMLPMOPOLPLPLOOONGKPONOSRLMLNSTLPMOPNMPPKLPQLOSPQPSNNNILPPNPLOOONOTPPSNKMONUSNROLPKRMRPONQOLMOPOMKORNQPMNQMNPQSOPNNMNPOKNKLQLPPRPPNPOQLNPORMQPMNMIOQOSPTRMNPPNPNMPRQNRQRQPOQLLRMTNONPNP	tcena;gasnu
tenguar	$x_1$ is Tengwar alphabet	Cf. {jbopomofo}	obsolete cmevla			LMROMPQPRNUNTQOMMMMINSPNQPLORQLROSOQPNNPLJTNPRLRNQONKOSONNLNNSLQNPOOLPPNNRIQUKQPOQROMQMMMNOLRRKPNQGPPQPOMNRORKNNLKMOOOMRLLKPLMQOPQPLNMNPJOPNIQPMOPMNOQPMPPOPOROMKOKMONPPRNJNRQOKNJRRNPTMSQLQOMRQOOMMQQONRSPNSNNPLQMPPORLNKKMSNKOKPKNKMTSNNNQNLQOTTMQQONNOSRPOQMLNSLLONLNPPPTOPNLNORLQNNRONONNOPNNPPPQKORKQJPNPPRLOJQPMRSQQPQQOOONLPNOONIRPSOHQOMPOOQNSRNKSNONPOPLNLQTNPOROOSPNRNNLQPNMNOMNMOQRQL
