@rowCount	5743
w	d	n	t
sibilant	[object Object]	(phonetics: a hissing sound)	n
sibling	irmão, irmã	(person who shares same parents)	n
Sicilian	[object Object]	(language)	prop
Sicily	Sicília	(island)	prop
sick	[object Object]	(slang: very good, excellent)	adj
sick and tired	fed up	(frustrated and annoyed)	adj
sickle	[object Object]	(agricultural implement)	n
sickle cell anaemia	sickle-cell anemia	(sickle cell anaemia)	n
sickle-cell anaemia	sickle-cell anemia	(sickle-cell anaemia)	n
sickle-cell disease	sickle-cell anemia	(sickle-cell disease)	n
sickness	[object Object]	(the quality or state of being sick or diseased; illness; disease or malady)	n
side	tomar parte, aliar-se	(ally oneself)	v
sidebar	[object Object]	((computing) information placed at the side of a webpage)	n
sideburn	{sideburns}		n
sideburns	[object Object]	(facial hair reaching from the top of the head down the side of the face to the side of the chin)	n
sidedish	{side dish}		n
side effect	[object Object]	(medicine: an adverse effect)	n
sidekick	[object Object]	(assistant)	n
side order	side dish	(accompaniment to main course)	n
sideproduct	{byproduct}		n
sidereal	sideral, sidéreo	(of or relating to the stars)	adj
side-straddle hop	{jumping jack}		n
side-striped jackal	[object Object]	(side-striped jackal)	n
sidewalk	[object Object]	(paved footpath)	n
sidewalk cafe	[object Object]	(an outdoor portion of a restaurant)	n
sidewards	{sideward}		adv
Sidon	Sídon, Sidon, Sidom	(city state of Phoenicia)	prop
siege	sitiar, cercar, assediar	(to assault with the intent of conquering by force or attrition)	v
siemens	[object Object]	(derived unit of electrical conductance)	n
Sierra Leone	Serra Leoa	(Republic of Sierra Leone)	prop
siesta	[object Object]	(an afternoon nap)	n
sieve	coar, peneirar	(to strain, sift or sort using a sieve)	v
sievert	[object Object]	(SI unit of radiation dose)	n
sift	discernir, cindir	(to sieve or strain (something))	v
sigh	suspirar	(to make a sound like sighing)	v
sight	ver	(visually register)	v
sigil	[object Object]	(seal, signature or signet)	n
sigma	[object Object]	(letter of the Greek alphabet)	n
sign	gesticular, gestualizar	(transitive: to communicate using sign language)	v
signal	[object Object]	(indication)	n
signature	[object Object]	(person’s autograph name)	n
signed	com sinal	((mathematics, computer science) having both positive and negative varieties)	adj
signet ring	anel de sinete	(signet ring)	n
significance	[object Object]	(meaning)	n
significant	significativo	(having noticeable effect)	adj
significantly	significativamente, notavelmente	(in a significant manner: notably)	adv
significant other	[object Object]	(romantic partner, regardless of marital status)	n
sign in	{log in}		v
sign language	[object Object]	(sign language)	n
Sikh	[object Object]	(an adherent of Sikhism)	n
Sikhism	[object Object]	(religion)	prop
Sikkim	[object Object]	(state in eastern India which has Gangtok as its capital)	prop
silane	[object Object]	(a silicon hydride that is analogous to alkanes)	n
silence	silenciar	(To make something silent)	v
silence is golden	o silêncio é ouro	(proverb)	proverb
silencer	[object Object]	(something that silences another thing)	n
silent	[object Object]	(that which is silent)	n
silent miscarriage	{missed abortion}		n
Silesia	[object Object]	(region)	prop
Silesian	silesiano	(inhabitant of Silesia)	n
silhouette	[object Object]	(representation of the outlines of an object filled in with a black color)	n
silicon	[object Object]	(non-metallic element)	n
silicon dioxide	dióxido do silicone	(SiO[2])	n
silicone	[object Object]	(any of a class of inert compounds of silicon)	n
Silicon Valley	[object Object]	(nickname for region in San Francisco)	prop
silk	[object Object]	(fiber)	n
silk-screen printing	{screen printing}		n
silkworm	[object Object]	(caterpillar)	n
silky	sedoso	(similar in texture or appearance to silk)	adj
sill	[object Object]	(horizontal member bearing the upright portion of a frame)	n
silly	semiconsciente, aéreo	(semiconscious)	adj
silo	[object Object]	(vertical building for storing grain)	n
silt	[object Object]	(fine earth deposited by water)	n
silt up	assorear	(become filled or clogged with silt)	v
silver	[object Object]	(metal)	n
silver ball	{pinball}		n
silverfish	[object Object]	(type of bristletail)	n
silver-plate	argentar	(to coat a metal surface with a thin layer of silver)	v
silversmith	[object Object]	(person who makes articles out of silver)	n
silverware	[object Object]	((US) knives, forks and spoons)	n
silver wedding	[object Object]	(anniversary celebration)	n
silvery	prateado	(resembling silver)	adj
silvery-cheeked antshrike	[Brazil] choca-do-nordeste	(Sakesphorus cristatus)	n
Silvia	[object Object]	(female given name)	prop
Silvius	Silvio	(male given name)	prop
SIM card	cartão SIM	(small, removable card which stores mobile phone data)	n
Simferopol	[object Object]	(city)	prop
similar	parecido, semelhante, similar	(Having traits or characteristics in common; alike, comparable)	adj
similarity	[object Object]	(closeness)	n
similarly	similarmente	(in a similar style or manner)	adv
simile	[object Object]	(figure of speech in which one thing is compared to another)	n
simmer	aferventar	((transitive) to cause to cook or undergo heating slowly)	v
Simon	[object Object]	(male given name)	prop
Simone	[object Object]	(female given name)	prop
Simonides	[object Object]	(poet)	prop
simony	[object Object]	(act of buying and selling ecclesiastical offices and pardons)	n
simoom	[object Object]	(hot, dry wind)	n
simple	simples	(uncomplicated)	adj
simple past	[object Object]	(the simple past)	n
simpleton	[object Object]	(simple person lacking common sense)	n
simplicity	[object Object]	(weakness of intellect; silliness; folly)	n
Simplified Chinese	[object Object]	(Chinese written using simplified characters)	prop
simplify	simplificar	(to make simpler)	v
simulacrum	[object Object]	(image or representation)	n
simulate	simular	(to model, replicate, duplicate the behavior)	v
simulated	simulado	( made to imitate )	adj
simulation	[object Object]	(something which simulates)	n
simultaneity	simultaneidade	(the quality or state of being simultaneous)	n
simultaneous	simultâneo	(at the same time)	adj
simultaneously	simultaneamente	(occurring at the same time)	adv
simultaneousness	simultaneidade	(the quality or state of being simultaneous)	n
sin	pecar	(to commit a sin)	v
Sinai	[object Object]	(peninsula)	prop
Sinaic	sinaíta	(of or relating to Mount Sinai)	adj
since	desde, a partir de	(from (time))	prep
sincere	[object Object]	(earnest)	adj
sincereness	{sincerity}		n
since when	desde quando?	(from what time)	adv
sine	[object Object]	(trigonometric function)	n
sinecure	[object Object]	(a position that requires no work but still gives a payment)	n
sine qua non	sine qua non	(prerequisite)	n
sinew	{tendon}		n
sinful	pecaminoso		adj
sing	cantar	(to produce harmonious sounds with one’s voice)	v
Singapore	[object Object]	(Republic of Singapore)	prop
Singaporean	[object Object]	(a person from Singapore)	n
singe	chamuscar	(to burn slightly)	v
singer	[object Object]	(person who sings)	n
singeress	{songstress}		n
singer-songwriter	cantautor	(singer-songwriter)	n
Singh	[object Object]	(surname)	prop
single	thin out	(farming: to thin out)	v
single celled	unicellular	(consisting of one cell)	adj
single-minded	[object Object]	(intensely focused)	adj
singlet	[object Object]	(a sleeveless shirt)	n
single ticket	{one-way ticket}		n
singleton	[object Object]	(math: set)	n
singular	singular	(grammar: form of a word that refers to only one thing)	n
singularity	[object Object]	(peculiar state or occurrence)	n
Sinhala	{Sinhalese}		prop
Sinhalese	[object Object]	(the language)	prop
sinicization	[object Object]	(process of sinicising)	n
Sinitic	sinítico	(relating to the group of Chinese languages)	adj
sink	submergir	(submerge)	v
sinker	chumbo, chumbinho, chumbada	(weight used in fishing)	n
sinless	imaculado	(without sin)	adj
sinner	[object Object]	(person who has sinned)	n
Sino-	sino-	(relating to China or Chinese)	prefix
sinology	[object Object]	(study of China)	n
Sino-Xenic	{Sino-Vietnamese}		adj
sinus	[object Object]	(pouch or cavity in any organ or tissue)	n
sinusitis	[object Object]	(inflammation)	n
sinusoid	{sinusoidal}		adj
sinusoidal	senoidal	(in the form of a sine wave)	adj
Sioux	siú	(tribes)	prop
sip	bebericar, sorver	(To drink slowly, small mouthfuls at a time)	v
siphon	[object Object]	(a bent pipe or tube with one end lower than the other)	n
sir	[object Object]	( man of a higher rank or position)	n
siren	[object Object]	(nymph of Greek mythology)	n
sirensong	{siren song}		n
Sirius	[object Object]	(Sirius)	prop
sirup	{syrup}		n
siskin	[object Object]	(small European finch)	n
sissy	sis	(sister)	n
sister	[object Object]	(woman or girl having the same parents)	n
sister-in-law	[object Object]	(wife's sister)	n
Sisyphus	[object Object]	(figure)	prop
sit	estar sentado	(of a person, be in a position in which the upper body is upright and the legs are supported)	v
sitar	[object Object]	(musical instrument)	n
sit down	sentar-se	(to assume a sitting position from a standing position)	v
site	sítio	( region where chemical reactions take place)	n
site map	[object Object]	(webpage that lists the contents of a website)	n
sit on it	{sit on}		v
sitting room	{living room}		n
situation	[object Object]	(state of affairs)	n
situation comedy	[object Object]	(episodic comedy television program, see also: sitcom)	n
sit-up	[object Object]	(exercise in which the abdominal muscles are contracted)	n
six	seis	(cardinal number)	num
six hundred	[object Object]	(cardinal number 600)	num
six o'clock	[object Object]	(the start of the seventh hour)	n
six of one, half a dozen of the other	trocar seis por meia dúzia	(two alternatives are equivalent or indifferent)	proverb
sixsome	[object Object]	(group of six)	n
sixteen	dezasseis, dezesseis	(cardinal number 16)	num
sixteenth	[object Object]	(the ordinal form of the number sixteen)	num
sixteenth note	semiquaver	(sixteenth note)	n
sixth	[object Object]	(person or thing in sixth place)	n
Sixth Commandment	[object Object]	(the divine law against murder)	prop
sixth grade	[object Object]	(period in school that comes after fifth grade and before seventh grade)	n
six thousand	seis mil	(6000)	num
sixth sense	[object Object]	(extrasensory perception)	n
sixtieth	[object Object]	(person or thing in the sixtieth position)	n
sixty	sessenta	(cardinal number)	num
sixty-eight	sessenta e oito	(cardinal number)	num
sixty-five	sessenta e cinco	(cardinal number)	num
sixty-four	sessenta e quatro	(cardinal number)	num
sixty-nine	meia-nove	(sex position)	n
sixty-one	sessenta e um	(cardinal number)	num
sixty-seven	sessenta e sete	(cardinal number)	num
sixty-six	sessenta e seis	(cardinal number)	num
sixty-three	sessenta e três	(cardinal number)	num
sixty-two	sessenta e dois	(cardinal number)	num
sizable	{sizeable}		adj
size	[object Object]	(dimensions or magnitude of a thing)	n
skandha	agregado	(any of the five aspects constituting the sentient being in Buddhism)	n
skate	patinar	(to move along a surface (ice or ground) using skates)	v
skateboard	andar de skate	(to use a skateboard)	v
skater	[object Object]	(person who skates)	n
skating	[object Object]	(action or sport)	n
skeeter	{mosquito}		n
skein	{winning streak}		n
skeletal	esquelético	(of, or relating to the skeleton)	adj
skeleton	[object Object]	(system that provides support to an organism)	n
skeleton key	[object Object]	(a key that opens a range of locks)	n
skeptic	[object Object]	(someone who habitually doubts beliefs and claims)	n
skeptical	[Brazil] cético, [Portugal] céptico	(related to skepticism)	adj
skepticism	[object Object]	(general disposition to doubt)	n
sketch	rascunhar	(to create a sketch)	v
skewer	empalar	(to impale on a skewer)	v
skewness	[object Object]	(property of being skew)	n
ski	esquiar	(to move on skis)	v
skiascope	{retinoscope}		n
skid	derrapar	(to slide in an uncontrolled manner)	v
skidmark	freada	(black mark left on a road surface from tires)	n
skier	[object Object]	(someone who practices skiing)	n
skilful	habilidoso	(possessing skill, skilled)	adj
skill	[object Object]	(capacity to do something well)	n
skillet	[object Object]	(pan for frying)	n
skillful	talentoso	(possessing skill)	adj
skim	ricochetear	(ricochet)	v
skim milk	[object Object]	(milk with removed cream)	n
skin	esfolar, descascar	(to remove the skin of)	v
skin and bones	pele e osso	(emaciated; very skinny)	n
skin cancer	[object Object]	(malignant growth on the skin)	n
skinflint	[object Object]	(one who is excessively stingy or cautious with money)	n
skinhead	[object Object]	(someone with a shaved head)	n
skin mag	{skin magazine}		n
skinny	magro	(thin)	adj
skip	saltitar	(to move by hopping on alternate feet)	v
skipping rope	[object Object]	(rope for play or exercise)	n
skip rope	jump rope	(to jump over a rope)	v
ski resort	[object Object]	(resort for skiers)	n
skirmish	[object Object]	(brief battle between small groups)	n
skirt	rodear, contornar, beirar	(to be on or from the border of)	v
skitrack	{ski track}		n
Skopje	{Macedonia}		prop
Skopostheorie	Skopos theory	(idea that translating and interpreting should take into account function)	n
skua	[object Object]	(predatory seabird of the family Stercorariidae)	n
skull	[object Object]	(death's-head, skull)	n
skullcap	[object Object]	(flowering plant)	n
skullduggery	skulduggery	(deceptive activities)	n
skunk	marijuana	(skunkweed)	n
sky	[object Object]	(specific view, condition)	n
sky blue	[object Object]	(colour)	n
