@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
banturu'o	$x_1$ is the language with ISO 639-3 code ''tro'' (Tarao Naga).	Tarao Naga language	fu'ivla	KMNNLLTLNOUNMRQOMPOLSPPQRPQPTQIRRQNTLNPOMMRMOOMQOMMOJOOLOOMQNRQQRNNONMMOPSJSUPOMOPRRQSLOPQQQRONPPSMPPPMOOMOJQNKNNMNOLOPQLQLNPLROQTPKMKMLHQMKKORQOPOOORMMNUOMLQNOMPMINLMSTNKRMNOKQMKQONQHRNPPNMRPQLKLUMOOQQMNQLOPLOOPQQRLPQMOMMNOOSKMHLRSOPRMPPTNRQPQPNJPONQPPQPNMSNJOONPSNPSMNPONLVMSLRPMLOPOMMLNROQOJPNMPNOMQSPMPNNPPNUONQROOOONLPLQQNMQQRPMOPMMSPNOPNKLQORNMPNPMOQQLQNTMNROROLMJPPNMOOPMNNRONM
banturupu	$x_1$ is the language with ISO 639-3 code ''trp'' (Kok Borok).	See also {bangu}	fu'ivla	JNNMOLROPKVMNLPPNMQMPOPSSPPQTPLTRPQUMLOPLNQNQQLPKNLPNPOKNRPQNSRQRNMMOOMNNRKPTPOMNOORQQMOOQOORRJRPRMQNOPOMLPLQMNIOJOQLOOQOOMNMMRORRQKLJNLHPOKKPQONPPNPOMPPTOMORPOMPLKLMKSRLLPPOOMOLLPPPTJPPOPOORQNLMNRMLOTSMLOKMQJMNNOQRNOQJMONLONQKMINTQPPOMNPVOOROOPNMRNQPPQQNOMVMKPOMNPNMRNOQMNKVOQNPSKOMNPLPPPOORMIMNMRONKQQOMPQQPPLSQNPSOQPOPKPNRPNMNNPQMOPLNROMROQMIROTPMPNQORROMNTRLMPPQNLNLNOMPRQNLNNQRQN	Kok Borok
bantururu	$x_1$ is the language with ISO 639-3 code ''trr'' (Taushiro).	See also {bangu}	fu'ivla	MLNNMMRNRKWNONQNLLRMOPORTOOPTONQSPPRMLOOLMSNOPNNLOKPMQPNPNMOMROOOPNMOOMOPSKRROOMNPORSQMNQPOQPQKQRRLPPPONLMNLQLMKNLPPOOOQNOOLOMPOOUNNNKKLHPOKIQSPOQPNORNNOTPLMQORMOOMLMMSSMMPQORJPMMOPNRJQPOQOOSQOKNLRPMNTTNMMLONJONOOSSNPONNNOLOMPLLHNSSONSLNOVOSQNOPLKSNPTOROLOORMKPOOOROPRMMPKNKVJRMPRLKPNNOPNONNPLKRONRONLQPNNOONONNTPNPTPPOONKOLORNMQOPPLONOMSPOQQRMKSOTOKQMNNOSRJQQUMKQQQLKMLONOOPPONMPSQQN	Taushiro
banturusu	$x_1$ is the language with ISO 639-3 code ''trs'' (Chicahuaxtla Triqui).	Chicahuaxtla Triqui language	fu'ivla	NKNNKMRMRNWMQOOMMLPLQPORRQMOUOMRRRPQOMQRJMSNNOKOMNNPOQMMPOMRMTRQOOJMOOMNMTMOUMNNMPQTPQKPPOOOSRJRQPNNRPMOONPMSLMMOKJSNOPNOQKNPKPONSONMKNKIPNMHQPTNNPONPPORUQNQQPQNPMNNOLUTONOQOPLNNNQPQQKQPNQONROOKMMROKOTQOLNLPONMNPPOQNNPMPNOMOMPLMJKRRPOPLNOSQRRMQMNKPNOSOQNMONRLKPNNNPMOSOPOJMOVKPPSQJNOLNPNOPQMQNKPPLNNNKNOONNPPQOLWOOORPNPOLLLKPSNOQOQPLPONMSRPPQOOJQOSNLOOMLPQOJRPUOHPPOMNOMNMNNPOOMOORRRM
banturutu	$x_1$ is the language with ISO 639-3 code ''trt'' (Tunggare).	See also {bangu}	fu'ivla	KMNQMMRNPLVLOMPPLMOLQQPPTPPNSOMPQSRROMQRKMRNLPNOIOMPNPPJRQNOOTPPOOMNPLLNMTKPUNONMRRRPQKPQOONOUJQSSMOPQLOMLOMPLMKNKNPNOMONQONNLSOPROMKKLMJPOKHPPQNPPNORNOOSSOOQOOONLNKNMQSNMOROOMPMLRQRSLSPPPONSQPKLMPPLOSRNJPMNOKOOMOPQMMOLNLNNONRMMHMRRNPQLLPWNRQPRQOJQMPQOQPOPNSKJQPMOQMNRNPNLOMTMQMRRKMPMNORONNNRQJPPNPOLMPPNNPQNQNOUPNNRONPOLLOLMONOOOSPLPOLKPPPQPSNLUNSOLROPPORPMORTLKRRQMOOLONONNRONNORNQN	Tunggare
banturuxe	$x_1$ is the language with ISO 639-3 code ''trh'' (Turaka).	See also {bangu}	fu'ivla	MNKOLLPLQLVLNLQNNMPKOPOQRONPSONQRQRULLPRKMSNOOMQLOLOMOOJPPNPPSORMMOLNPLNORLPUNNOMROQQRLPNQQOSQLPOQMOOPNNMNOMPNLJPJNSLLOQOMONONROQRPLPKNNHSNMJPOROPMNPQNNOTQNPQOONNLLMOLTTNONPOPKPLOPPRSIPQPPNMSONLNNRNNORSNKOKPPKPPOOPROPOKONLOOMQIKILSSOOQLNPWMQPNPMLMQPPQNRQMPLVKMNNNQRNPSMPNNLJVMRPSTKMONONNNOPNRMKPOJPNLKQQPMNPOPONRPPNRNQPOOJPLNPNOMOQPLONPNRQNRQPNJTOSOLQMPOOQPLOPTNKPORNNMLONNOQONOOORSQM	Turaka
bantusunu	$x_1$ is the language with ISO 639-3 code ''tsn'' (Tswana, Setswana)	See also {bangu}	fu'ivla	IMMOKORKPQULNOQLLMOMRUPRTPNQWRLPRPPSNLMQOOTLNPOOMKNNLMNLOOKQORPQRQKNOONMPQJPTOKMMOQSOPNPONPRSQLQOPOQRNLOLNNMRMMMLNKNMNPRKMNOPNOOQSPKNOMMJPMLKOMQNPPNNQNMNTOMLPQNLOLMNNOSSMMQROPLRNMOPNRKQRPPQJRNSLMLTLMMSUPOQPOQLNMNOPQMROOKLMMOMRIMIHQTORRKSLQMSQPQNLKNLPQOPPLPLQMHNNNPQQRRPOPNKNTMSMSOMOOPQMPOOQNRQLNKNNLPMOPMNNONPSRSQONRNPPOOMQMOQOOPPQNNMPNNPPPQORMMQNTPKQNPPNPOMPMTLMRQSPPLLMOKNOMOPNPQPNK	Setswana;Tswana
bantuxexu	$x_1$ is the language with ISO 639-3 code ''thx'' (The).	This ISO code is deprecated. Use {bangojebu} (Oy language) instead. See also {bangu}.	fu'ivla	MLQNPMQMTMWMQORNLJPMQPPORNMPSONRROTROJMNLLRNNPNMOOMPPNNMORLMNRQQNOJLLNMNMSMOVNQMMPOSPRMNOPRNQSOOQRLQROLQNNPMQKMJOJLPNONLONLPOKRONRQKOLNPHPMLGOQOPRONONPOLUROOQNNOOLMMQLRPOMLRPPMPLMPQOSIOQLMOPSQOMNPORMPTQPKNNQOMOMNORQQPRNNOPKOMRMKKKQTNPPMLOTOQPLQNOMQOPURSONQJTNKNPMMPKMPONPKONVLQOQSKOPLOOPMNOMUMKOQMNNOMQPQNQPPPOQUNOORQTQOLLNKNONOPNQOMOMLKRQNQNQMLROPNMONPNQPRMRNRNKQPPOPOMOMLMROPOOOTQRN	The
banve'u'u	$x_1$ is the language with ISO 639-3 code ''wuu'' (Wu Chinese).	Cf. {jugbau}, {bancumunu}.	fu'ivla	LNOQMOQIPKWLQOOPNMNNQPQPUNNPUQLRSQSPPKORMOUOORNOKONPMSOLQRLOLSSQOOILLLOMORNQTMOMNRPRPRKONOMOPRNQRRKNRQMMOPNOPNOLLJNONQLNMMMMNKQOPQNKNJPOJONNJQOPNNONQPNMNSPNMPNPLMKONPNRRPNORPNJPKNOQQRIRPMPLLQSMLNOOOLNSPNKPLQNMNNPMPPPOPLNPNOOLQLIJIRSMNPLPQRORROSPLJPNQRMRPMOLRMLNOMNQMMTRPNLLQRLQQOQMMPMOPPOLRPSOIQQLPLMMQNQPOPQOPQTMONROOOOJLPKNPMOQNTQKNNLLPSQPPRNJSOQMLPNOOQPQKQPSMKPTPNLQMOLMMQQNOOOQSQN	Chinese Wu;Shanghainese;Wu Chinese
banvu'olu	$x_1$ is the language with ISO 639-3 code ''vol'' (Volapük).	See also {bangu}	fu'ivla	LOOMKNPLRLUMONQKNPNMSROOVPNQUOOOQQQSMKORKMRNOQLNLNMPOQOIPPOPMTQQLNNLNLNNNQLPTLPNOSMUPRMOOOONSSMOOPLPNPLOMNOLQLOKMKNPMOMQNMLMNLTOOQPMLMNOIONMIRMRQONMQNPPNSRKORNONPMOMONRQNLMROOKQMMPPPSJOQOPMORPRKMMRMMNPPKLOLSOJMMOQPROOPNMOMLOMQJNJMSTLROLMPVOPRPTNOJQOOROQPNPKSOKRMMOOMORPNPNPLUMQPPRLNRLMMRONQPQOIROPKKKNPPOOPPOOOPUONNTNOPONMPMPNNQOQTPMMQOOUQRPQRLJSOPNKSQONMQRLQMSKLQQRPMMMMNLOOPNMNNTRPN	Volapük
banvu'otu	$x_1$ is the language with ISO 639-3 code ''vot'' (Votic).	See also {bangu}	fu'ivla	LMOMMMPNSKVNOMQNMMPMQROOUQMPVNORSRQROIMTLPRONPLPLNMOMQOMQRNONUOPLONNNMMOMRLPSLOLQQNSRQLOQPLNQSLOQPMQQOLPMNPNSMLKPIMPMONQNOLMOLQOQRQMKNNNIMOJIRPPOPNNOQMOPQRMNQMPOOMONMMRQNKLQNOLOLMQQQSLPPONNNSROMKKRQKOQNMNONPPJMOMPPTNPQMMNMMOLRLNHLRSMMNKOMUNPPPSNLLQOOSORONPMSONSOMMOMPQNOQLNKULRQQQLNRMONOMOOOSQIPRPQMLMPPPMOOOONOTOPMSPQROLMOLPLPNQPSONLQNNRQSQQRNIRNQNMPRPLMRQLQOUMKPQPPMMKOPNOQPOMONRQRM	Votic
banxe'atu	$x_1$ is the language with ISO 639-3 code ''hat'' (Haitian, Haitian Creole).	See also {bangu}	fu'ivla	NNONQOPLSNWNNLRNNOPMSRPQSOOOTONRQQNSPMQQJLRKPOLQKMPPOOMOOPQQNQSRMOMNLNNMPRNPTMOPLSQQMPJRNNLQQRPPPRNPSOLNPNPLRMMILLNOOPNQNMLJMMROOTPMQMNNHRQNFTLQMONMONPPPSPMNQMNOLLMPNLSRMMPMOPLQLQMMNSLLRNPPLSNRLOQRLOMRRPPQOSNLQNPNOOONPLMNNKOMTKMMLVSPOOIORQPPQOSMKMQMQOPOOOQOQLKMPONQKOPPOOINNPNOQMQIOPNNNNSQPONPKSNKOKLMMPPMLLONOOSPOMRJOQOQNRMNPMNPOOOMLNNMSRNQQRNLOQSQMPQMMNONIRNTOLNOPQOMNPNKPPOOQPMPRRJ	Creole;Haitian
banxe'a'u	$x_1$ is the language with ISO 639-3 code ''hau'' (Hausa).	See also {bangu}	fu'ivla	NMLOMPQLPNVOOKRMLMQMRRPRTPOOTNLPUPQRMIOPLLQPNPOPMNMQMNMKNOPQMURONLNLMONNOQMPUOPPNQQTQRLOOONORQMOOSNORPNNNNOJSLMKMJLPOLLNNMRLOJNOOQPLLJLOIPMLJPOPQPOOOOPOPUROOQPLOOKLLPLRPPOOQORJOMKPRPRKRQOPNMQQOOMOSPONPQMMOMQNMOOQNRRNMQOKRLMOLPJLKKTTLPRJNOTPRPNRMNMOMPSMRPJNKRLIPONNROQSOQOLMNTLQOQPLONOOMNPOPNRNKQPLPLNNOQPOLMOQNPSPPOSNQNOMLPJPOMOQPQQNKPMNTRPRQOPLQOQPLPPPMNORLPPUNJQPTPMNJOONMPOQNRPTSPO	Hausa
banxe'inu	$x_1$ is the language with ISO 639-3 code ''hin'' (Hindi).	Cf. {xinbau}.	fu'ivla	KMNOMMQJQLWNPNSNMNMLQRORSMPPROPSSPORMLNPMMTMQOLNNMKONOOJOPMTNSPOPNNKMNNOOPLNSQOMPRQSNQLOMNOQQRKOOQLQPOJOLMPMTMOMNJLONMPOJOPKMKOOQRQKKJPMLLPKIOPPPOMONNOOOSQONQQOOPKMNOMRPOOMOQPLOPMQPPQMRNNOMKOPNMQNRNPMRSLORQSQPQQNOPPMNQONPMOOQRIKLLSSNOOMQNUORSOSNPJOOMQROONKKRMJOMNNONPRPOOLLNUMRNPQNPOMONPPLSROQHOMNRJNMRQPPNNNRPQRPMOTPQPOMINKPQONPOQPKNLKQTPPQRQNMPOQOKNOQLORTLRPTMMOQQOLNJPNMNPQOPQPVSPP	Hindi
banxenuju	$x_1$ is the language with ISO 639-3 code ''hnj'' (Mong Njua, Hmong Njua)	See also {bangu}	fu'ivla	LQPNMNRKPNTMOPRNLONNTPQQTRRTROMRSPQRPKQPJNSOPNLOMNMMPOPLLSPQMROQPMLNJNNNONLQSMPOOOQSNRLPOONOQOLOPSLRTPOOPQPPTNKMLMLQPOOOMMNJOMNORSRKMJMMJNMNKPMONONSOOONMTRNORNMNNMLMLNNSMMROPPKPPKOMMQKPSPPOOQPQKLOSNPOQRNNPPROONNNOQQKOSNNOJKOMQMMJJTTNLPJRPQPQRQRNMKSNPQOOQNNLRLKOOOOOKNSNPNMOLQPPOOQMNOPNMOQPQPOOIQNNPNMLNNNOMKPPNRQJNQVLPMOMIPKPSNLRPRRLMNMNTQPPPRNNQQTPJMROMOONMOMSMJQPOPONHONNMQQQNPQUQOL	Hmong Njua;Mong Njua
banxesulu	$x_1$ is the language with ISO 639-3 code ''hsl'' (Hausa Sign Language).	See also {bangu}	fu'ivla	NLMOLOPMQLUOQNTNKNPLQPOSROQPTPLPTRPSOINOMKRPOQMPLMOOONLLMOPPNUQNNNOKNPKLPPPOUNQMMONSQQKOPOLPPOMOQTNPRQNONMMJRKMLMLMQNNOMNNQLNKMOOSPLLKMNJPPLKQOQPOLOOOOPOTRPOPPMONLLMNOQROMOQQSJQLKOPORKQTMQLNRQQPLNRNOPPRKLPQQQLOOQOPRMLNNMSNOOKPLNIKTRMPTKNQRPRQNRMPOQLOSNPPLPOPMFNOMMRNQRPSOMNOTLPMNPMMQLNOOPQQNQOLRONRMMMPQOMLLQPONRPPNUNPNONLOINPNOSQNPNLNMMTPOQOQPNPQUOIPORMOQQJQTTNLPNRPNOJNMOMOQQNSPUQOP	Hausa Sign Language
banxe'ucu	$x_1$ is the language with ISO 639-3 code ''huc'' (=/Hua).	See also {bangu}	fu'ivla	LMNOOMRJQLYNPNRPLMPMQPPQRNNSRNORTQSRQHNPLNRPNOLMLMNPMOPMOQNPKTPOMNNKMNNNORMNTOONMQNRQRLNOONOQQOOQSJPQPKMOMQMQMMJMKLOMNLONNMNNJROQRPMMMPOKNNNIPPOPOOOMONNNRNLPQNNPPKONPNSQOONQPNLNMNNQSRKPOMOOMRQNKNOPQMMQRMLNNQQLOOOOQRPNQMNPMNOMPMLGLSSNPPKPLUOORPVMMMPPPSNROLMKSLLOOMNOMORPPPNLMVLPQPQKNNMPQLRNPQRMHPOLPMMJQQQMONPNOPTOOPSORPOLLPKNONNRORPLMMMPURQPPRPJRNSOMPLONRRRKRRTLKOSPOLPMPNNLPPQMNPTTQP	=/Hua
banxe'u'e	$x_1$ is the language with ISO 639-3 code ''hue'' (San Francisco Del Mar Huave).	See also {bangu}	fu'ivla	ONQNNORJSNWNQLRQLLOMQONQRPORRONSUQQRQHMTKNRQOOKNNLOPOQPOQQNQLSQPLPMMKKOPOROPTPMLMQORPQJOPOLROQNOPOKPRQLMMMNNPLPJNMLPMOMMNMJLLKQOQSNMNKQOIMPLHPQPNOMNOOOMOTPNQQLQROLLNONTRPNOPPPIPKMOOQRJOMMNROSPPLNPSOONQPMMNNROMOOQORTOLQLOQKLOKPLMJKTSONNLOMSOQSMSMLNQNPRMOOLMLSMMOLMRPLOPLQMLMNVNMRNOMOMMNPMQNQQQOKRNMQKMLPPSNMMQOONRPPNSMPOONJNMOMOOQQQOMMNMQUROPSPNKQMPOMQNNLRSPLQNTOKQQNONNMPOOOPPPNPPSRRO	Huave
banxu'alu	$x_1$ is the language with ISO 639-3 code ''xal'' (Kalmyk, Oirat)	See also {bangu}	fu'ivla	MNMNONSLSLUMPNROLMNNSOROSQOPUNOSSQQSNKMQKLQONPLOKOKOLNQIOPMQPUPSOOMJLMLMNRLQUNNMOQOROQLQPQPQRQOOSOMQQQMQKKNLNMMINKNQNPONOMMPNMPOPTPKLJONIPOMJQNQNNNQRQOQNUQMNPNMMOJOLNMRSLNMPOMLQLMPNRQLOROONJSPPKMLPPMNTPNMNOQOMQONNPPQOSLLONMONQMNLLSUNPRKPOTORTORLPLPOPRONOMNMSNKQPKQPPORPONMOLUNPMQTLNQPNMRNPNORNJPMKQNMLROOOMPPPPRSPMOTOQROMJOKPNOOPMQNMNOLMTQOQORLKRORQLNPQOMPSKPPSLKPRROLNLMPMNQOMOQNRQQL	Kalmyk;Oirat
banxukuje	$x_1$ is the language with ISO 639-3 code ''xky'' (Uma' Lasan).	See also {bangu}	fu'ivla	MMMMNMPKSNWNOOPQMLNPSQPPSOPPSPPQRQQROHOQKLSOONKNONNOKOOJOQLONUPRNNKLLNMLORMOUPONOSNRMQKNPQOQQQOOSPNPQQMNKMOMPLMKMJKOMNNNMNLOOLPOPSNJMKNLJQPMINOPQONPPRPNNTPMNQLOMNJONNNSSOOOQNMLQLMNORQJOQMMNLSPPIMORPMNSROKOORQNPNNOSPOOQMLPNNONOMMLKSSMQOLMMUQSRPRMMLPONRNPONOKTLIOPMPRNOTPPNLOMSLQOPSMOPOOOPOOONQNLSOKPLOMOOOOPPQORQTKNPRNOPOKKOKNPNPPMROLMNNPVQPPQQMJTNUOMPONNOPRIQMTMLQPQPMNLQNLLPOOPPNSRPM	Uma' Lasan
