@rowCount	5744
w	d	n	t
Guaraní	[object Object]	(South-American language)	prop
guarantee	garantir	(to make something certain)	v
guard	guardar, proteger, defender	(to protect from some offence)	v
guardian	[object Object]	(law: person responsible for incompetent person)	n
guardian angel	[object Object]	(spirit)	n
Guatemala	Guatemala	(country in Central America)	prop
Guatemalan	[object Object]	(person)	n
guava	[object Object]	(tree or shrub)	n
Guayaquil	Guaiaquil	(largest city in Ecuador)	prop
gudgeon	[object Object]	(Fish, Gobio gobio)	n
Guelph	[object Object]	(member of a medieval Italian faction that supported the Pope in a long struggle against the Ghibellines and the German emperors)	n
Guernsey	Guernsey	(island)	prop
guess	adivinhar	(to reach an unqualified conclusion)	v
guesstimate	chutar	(estimate based on insufficient or unreliable data)	n
guest	[object Object]	(recipient of hospitality)	n
guesthouse	[object Object]	(small house for visitors)	n
guest worker	[object Object]	(guest worker)	n
guffaw	[object Object]	(a boisterous laugh)	n
Guianan slaty antshrike	[Brazil]: choca-bate-cabo	(bird)	n
guide	guiar	(to steer or navigate a ship)	v
guide book	[object Object]	(book that provides guidance)	n
guide dog	[object Object]	(dog that is trained to be of assistance to a blind person)	n
guideline	[object Object]	(non-specific rule or principle)	n
Guido	[object Object]	(person of Italian descent)	prop
guild	[object Object]	(association of tradespeople)	n
guilder	{gilder}		n
guile	[object Object]	(astuteness, cunning)	n
Guillain-Barré syndrome	[object Object]	(Disease of the nervous system)	n
guillotine	[object Object]	(machine used for capital punishment)	n
guilt	[object Object]	(the fact of having done wrong)	n
guilty	[object Object]	(responsible for a dishonest act)	adj
guinea	guinea fowl	(bird of the family Numididae)	n
Guinea	Guiné	(Republic of Guinea)	prop
Guinea-Bissau	Guiné-Bissau	(Republic of Guinea-Bissau)	prop
guinea fowl	[object Object]	(bird)	n
guinea pig	[object Object]	(rodent)	n
guise	[object Object]	(way of speaking or acting)	n
guitar	[object Object]	(musical instrument)	n
guitarist	[object Object]	(person playing or performing on the guitar)	n
Gujarat	[object Object]	(state in India)	prop
Gujarati	[object Object]	(person)	prop
gulch	{glutton}		n
gules	goles, vermelho	(red colour (noun))	n
gulf	[object Object]	(geography)	n
Gulf of Bothnia	[object Object]	(arm of the Baltic)	prop
Gulf of Finland	[object Object]	(arm of the Baltic Sea)	prop
Gulf of Mexico	[object Object]	(gulf between USA and Mexico)	prop
Gulf of Riga	[object Object]	(inland body of water that is part of the Baltic Sea in eastern Europe and is near Latvia and Estonia)	prop
gull	[object Object]	(seabird)	n
gullet	[object Object]	(the throat or esophagus)	n
gullible	crédulo	(easily deceived or duped, naïve)	adj
gulp	gole	(usual amount swallowed)	n
gum	[object Object]	(sticky substance exuded by certain plants)	n
gum arabic	goma-arábica	(substance from acacia trees)	n
gumbo	[object Object]	(okra)	n
gummi	gummy	(gelatinous candy)	n
gumption	[object Object]	(energy of mind and body)	n
gun	acelerar	(speed something up)	v
gunboat	[object Object]	(small armed vessel)	n
gun cotton	{nitrocellulose}		n
gunfighter	{gunslinger}		n
gunk	[object Object]	(dirt or grime; any vague or unknown substance)	n
gunnel	{gunwale}		n
gunpowder	[object Object]	(explosive mixture)	n
gunsmith	[object Object]	(person skilled in the repair and servicing of firearms)	n
Guoyu	{Mandarin}		prop
guru	[object Object]	(spiritual teacher)	n
gust	[object Object]	(a strong, abrupt rush of wind)	n
Gustav	Gustavo	(given name)	prop
Gustave	{Gustav}		prop
gut	[object Object]	(intestines of an animal used to make strings of a tennis racket or violin, etc)	n
gut feeling	[object Object]	(an instinct or intuition)	n
guts	[object Object]	(entrails)	n
gutter	channel	(to cut or form into small longitudinal hollows)	v
guttural	gutural	(sounding harsh and throaty)	adj
guy	[object Object]	(man)	n
Guy	Guido	(male given name)	prop
Guyana	[object Object]	(country)	prop
guyline	{guy}		n
gym	[object Object]	(sporting facility specialized for lifting weights and exercise)	n
gymnasium	[object Object]	(type of school)	n
gymnast	[object Object]	(one who performs gymnastics)	n
gymnastics	[object Object]	(a sport)	n
gymnosperm	[object Object]	(plant whose seeds are not in an ovary)	n
gynaecologist	[object Object]	(specialist in diseases of the female reproductive system)	n
gynecologist	{gynaecologist}		n
gynecology	[object Object]	(branch of medicine specializing in the problems of women)	n
gypsum	[object Object]	(mineral)	n
gypsy	Rom	(member of the Rom people)	n
Gypsy	Romani	(the language of the Romani people)	prop
gyrfalcon	[object Object]	(Falco rusticolus)	n
gyro	{gyroscope}		n
gyroscope	[object Object]	(apparatus)	n
gyrus	[object Object]	(anatomy)	n
ha	ka	(a representation of laughter.)	interj
Habacuc	{Habakkuk}		prop
Habakkuk	[object Object]	(book of the Bible)	prop
haberdashery	[object Object]	(a shop selling such goods)	n
habit	[object Object]	(long piece of clothing worn by monks and nuns)	n
habitable	{inhabited}		adj
habitat	[object Object]	(natural conditions in which a plant or animal lives)	n
habitation	[object Object]	(the act of inhabitating)	n
habitué	{devotee}		n
hacienda	[object Object]	(homestead)	n
hack	pickaxe	(miner's pick)	n
hackamore	[object Object]		n
hackberry	[object Object]	(shrub of the genus Celtis)	n
hacker	[object Object]	(one who uses a computer to gain unauthorized access to data)	n
hackle	[object Object]	( an instrument with pins)	n
hackneyed	banal, trivial, batido	(repeated too often)	adj
hacksaw	[object Object]	(saw)	n
had best	{had better}		v
haddock	[object Object]	(marine fish)	n
Hadean time	{Hadean}		prop
Hades	[object Object]	(from Greek mythology)	prop
Hadrian	Adrian	(male given name)	prop
Hadrian's Wall	[object Object]	(fortification)	prop
hadron	[object Object]	(particle)	n
haematology	[object Object]	(scientific study of blood and blood-producing organs)	n
haemophilia	[object Object]	(any of several hereditary illnesses that impair the body's ability to control bleeding)	n
haemorrhage	[object Object]	(heavy loss of blood)	n
haemorrhoids	[object Object]	(a pathological condition)	n
hafnium	[object Object]	(chemical element)	n
hag	[object Object]	(a witch, sorceress, or enchantress; also, a wizard)	n
haggis	[object Object]	(dish)	n
haggle	pechinchar, regatear, barganhar	(to argue for a better deal)	v
Hagia Sophia	[object Object]	(a former basilica, now a museum in Turkey)	prop
haha	haha, kkk	(representation of laughter)	interj
haiku	[object Object]	(poem of similar structure)	n
hail	saudar	(to greet)	v
Hail Mary	{Hail Mary pass}		n
hailstone	[object Object]	(single ball of hail)	n
hair	[object Object]	(the collection or mass of filaments growing from the skin of humans and animals)	n
hairbrush	[object Object]	(a brush used in hair care)	n
hair-brush	hairbrush	(a brush used in hair care)	n
hair conditioner	[object Object]	(cosmetic product)	n
hair curler	hair roller	(a small tube that is rolled into a person's hair)	n
haircut	[object Object]	(way hair is cut)	n
hairdo	[object Object]	(hairstyle)	n
hairdresser	[object Object]	(professional for haircutting or hairstyling)	n
hair dryer	hairdryer	(an electrical device used for drying hair)	n
hairdryer	[object Object]	(electrical appliance for drying hair)	n
hairless	careca [destitute of scalp hair], calvo [id.], despelado [destitute of body hair]	(destitute of hair)	adj
hairnet	[object Object]	(net designed to keep hair up)	n
hairstyle	[object Object]	(the style in which someone's hair has been cut and arranged)	n
hairy	[object Object]	(of a person)	adj
haitch	aitch	(name of the letter H)	n
Haiti	Haiti	(A country in the Caribbean)	prop
Haitian	[object Object]	(person from Haiti)	n
Haitian Creole	[object Object]	(language spoken in Haiti)	prop
hajduk	[object Object]	(outlaw, highwayman or freedom fighter in the Balkans)	n
hajj	[object Object]	(pilgrimage to Mecca)	n
halal	halal	(fit to eat according to Muslim religious customs)	adj
halant	{virama}		n
halberd	[object Object]	(hand weapon)	n
hale	sadio, saudável	(health, welfare)	n
half	{halve}		v
half a dozen	meia dúzia	(six)	num
half-ass	feito nas coxas [informal], meia-boca [informal]	(produced in an incompetent manner)	adj
half brother	[object Object]	(a male sibling)	n
half-cell	{half cell}		n
half dozen	[object Object]	(6)	n
half-hour	[object Object]	(time)	n
half-life	[object Object]	(time in physics)	n
half-moon	[object Object]	(the moon in its first or last quarter)	n
half note	{minim}		n
half past	uma e meia	("half past one" as example of usage in other languages)	n
half sister	[object Object]	(maternal half sister)	n
half-staff	{half-mast}		n
half-yearly	{semiannual}		adj
halibut	[object Object]	(fish of genus Hippoglossus)	n
halitosis	[object Object]	(condition of having foul-smelling breath)	n
hall	[object Object]	(principal room of a secular medieval building)	n
hallelujah	aleluia	(general exclamation of gratitude)	interj
hallmark	[object Object]	(a distinct characteristic)	n
hall of fame	[object Object]	(collection of memorabilia relating to a specific field which honors among other things people of great importance to that field)	n
hallow	santificar	(to sanctify)	v
Halloween	[object Object]	(31st of October)	n
hallows	hallow	(plural of hallow)	n
hallucinate	alucinar	(seem to perceive what is not really present)	v
hallucination	[object Object]	(sensory perception of something that does not exist)	n
hallux	{big toe}		n
halo	aureolar	(encircle with a halo)	v
halo-	halo-	(salt)	prefix
halogen	[object Object]	(any element of group 7)	n
halophile	[object Object]	(organism that thrives in high-salinity environments)	n
halophilic	halófilo	(thriving in high-salinity environments)	adj
halt	apeadeiro	(minor railway station)	n
halter	cabresto	(animal's headgear)	n
halva	[object Object]	(confection)	n
ham	[object Object]	(thigh of a hog cured for food)	n
hamartia	{sin}		n
hamate bone	[object Object]	(one of the wrist bones)	n
Hamburg	[object Object]	(state)	prop
hamburger	[object Object]	(sandwich)	n
ham-fisted	desengonçado	(lacking skill in physical movement)	adj
Hamilcar	Amílcar	(given name)	prop
hamlet	[object Object]	(small village)	n
Hamlet	[object Object]	(the main character of the play Hamlet)	prop
hammam	{Turkish bath}		n
hammer	martelar	(to strike repeatedly with a hammer, some other implement, the fist, etc)	v
hammer and sickle	foice e martelo	(symbol of communism)	n
hammered	bêbado, bêbedo		adj
hammock	[object Object]	(swinging couch or bed)	n
hamper	impedir, estorvar, obstruir	(To put a hamper or fetter on; to shackle; to ensnare; to inveigle)	v
ham radio	amateur radio	(ham radio)	n
hamster	[object Object]	(small, short-tailed European rodent)	n
hamstring	{biceps femoris}		n
hand	ajudar, auxiliar, conduzir, guiar	(to lead, guide, or assist with the hand)	v
handbag	[object Object]	(small bag used by women)	n
handball	andebol	(team sport)	n
handballer	andebolista, handebolista	(player of handball)	n
handbook	[object Object]	(a book of reference)	n
handbrake	[object Object]	(hand-operated brake in a car)	n
handcar	draisine	(a light railroad car propelled by a hand-operated pumping mechanism)	n
handcuff	algemar	(to apply handcuffs)	v
handcuffs	[object Object]	(metal rings for fastening wrists)	n
handed	hand in hand	(with hands joined)	adj
handful	[object Object]	(small quantity)	n
hand grenade	[object Object]	(explosive device)	n
handicap	vantagem	(allowance granted in a race to the competitor)	n
handicapped	deficiente	(having a handicap)	adj
handicraft	[object Object]	(trade requiring skill of hand)	n
hand in hand	de mãos dadas	(holding or clasping hands)	adv
handiwork	[object Object]	(work done by the hands)	n
handkerchief	[object Object]	(cloth for wiping the face, eyes, nose or hands)	n
handle	manusear	(to use the hands)	v
handlebar	[object Object]	(bar for steering)	n
handler	[object Object]	(one who handles a specified thing)	n
handless	maneta	(without a hand)	adj
handling	[object Object]		n
hand log	chip log	(simple device for measuring the speed of a vessel)	n
handmade	feito com as mãos	(made by hand)	adj
handmaid	[object Object]	(maid that waits at hand)	n
hand over	entregar, transferir	(to relinquish control or possession)	v
handrail	[object Object]	(rail which can be held)	n
handsaw	[object Object]	(saw small enough to be used by one hand)	n
hands down	com uma mão nas costas	(without much effort, easily)	adv
handshake	[object Object]	(grasping of hands by two people)	n
hands off	tira as mãos, tira a mão	(don't touch!)	interj
handsome	bonito	(of man: attractive)	adj
hands up	mãos ao alto!	(surrender!)	interj
handwork	[object Object]	(work done by the hands)	n
handwriting	[object Object]	(text written by hand)	n
handwritten	manuscrito	(written with a pen or pencil)	adj
handy	à mão, fácil [colloquial]	(within reach)	adj
handyman	faz-tudo	(man who does odd tasks)	n
hang	pendurar	(to place on a hook)	v
hangar	[object Object]	(a large garage-like structure where aircraft are kept)	n
hanger	[object Object]	(a clothes hanger)	n
Hangeul	[object Object]	(Korean phonetic script)	n
hang glider	[object Object]	(aircraft)	n
hanging	[object Object]	(public event at which a person is hanged)	n
hangman	[object Object]	(game)	n
hang on	esperar aí	(wait a minute)	v
hang out to dry	deixar na mão	(to abandon someone in need)	v
hangover	[object Object]	(illness caused by heavy drinking)	n
hangul	{Hangeul}		n
Hangul	hangul	(Korean phonetic script)	prop
hang up	desligar	(terminate a phone call)	v
Hanja	hanja	(Korean phonetic script)	prop
