@rowCount	3536
bangu	w	n	d	t	s	r	g
loglan	naznai	⬅ na(d)z(o)+na(tl)i	«tonight», the current night.	2-Cpx	n		tonight
loglan	naznurpei	⬅ na(d)z(o)+nur+pe(tc)i	B is now «due»/«payable» to (payee) D for (goods/services) V.	2-Cpx	3a		due,payable
loglan	nazu	⬅ na+zu	in this long «interval».	Cpd	av		interval
loglan	nazu	⬅ na+zu	«while», during some long event.	Cpd	c		while
loglan	nazu	⬅ na+zu	«during», in some long interval, with terms.	Cpd	pp		during
loglan	nazu	⬅ na+zu	«in» ..., a long interval, before terms.	Cpd	pp		in
loglan	ne		«one» (1), in math. expressions.	LW	a	ner	one
loglan	ne		«a»/«an»/«any»/«some-one»/«one» (1)/«exactly one» of ..., a description quantifier. E.g. {Ne le mrenu pa kicmu} -- Exactly one of the men was a doctor; {Ne mrenu pa hijra} -- Some one man was here <> {Ne ba ji mrenu pa hijra} -- Exactly one someone x who is a man was here.	LW	a	ner	a,an,any,some-one,one,exactly one
loglan	ne		the «digit one» (1), as in {netote} (123).	LW	af	ner	digit one
loglan	lio ne		«one» (1), the number one, in non math. expressions.		ph		one
loglan	nea	⬅ ne(dz)a	("-") «negative sign»/«minus sign», sign of a negative number.	LW	ms		negative sign,minus sign
loglan	neafre	⬅ ne(dz)a+fre(na)	V just «precede» B in series F.	2-Cpx	3v		precede
loglan	neafre	⬅ ne(dz)a+fre(na)	«preceding»/«previous»/«former», just preceding.	2-Cpx	a		preceding,previous,former
loglan	neafre	⬅ ne(dz)a+fre(na)	a/the «former», a just preceding person/thing.	2-Cpx	n		former
loglan	neapri	⬅ ne(dz)a+pri(re)	V «succeed»/just «follow» B in series F.	2-Cpx	3v		succeed,follow
loglan	neapri	⬅ ne(dz)a+pri(re)	«succeeding»/«successive»/«next»/«following», immediately -ing.	2-Cpx	a		succeeding,successive,next,following
loglan	po neapri		a «succession», an act of just following.		n		succession
loglan	nebcko	⬅ ne(r)b(i)+cko(zu)	N «necessitate» V, make ... necessary for P, nonintentional.	2-Cpx	3v		necessitate
loglan	nu nebcko		a «necessity», that which is made necessary.		n		necessity
loglan	nebcle	⬅ ne(r)b(i)+cle(si)	V «without»/«lacking»/for «want of» B, e.g. {Le nebcle ji ne naldi pa dirlycko le dorja} -- "For want of a nail, the war was lost".	2-Cpx	2av		without,lacking,want of
loglan	nebla	⬅ ISV	B is a «nebula» in F.	S-Prim	2n		nebula
loglan	nebmao	⬅ ne(r)b(i)+ma(dz)o	K «necessitate» B, make ... necessary for V, intentional.	2-Cpx	3v		necessitate
loglan	nu nebmao		a «necessity», that which is made necessary.		n		necessity
loglan	nebmou	⬅ ne(r)b(i)+mo(rd)u	G is more «necessary» for V(1) than J is for V(2).	2-Cpx	4a		necessary
loglan	nedfui	⬅ ned(za)+fu(tc)i	V is «just»/«immediately»+«after» B.	2-Cpx	2v		just,immediately,after
loglan	nedfui	⬅ ned(za)+fu(tc)i	«following».	2-Cpx	a		following
loglan	nedla	⬅ nederlandsch local word	B is the «Dutch» language.	N-Prim	1a		Dutch
loglan	nedle	⬅ nederlandsch local word	B is a «Dutch» place/territory, a region inhabited by Dutch.	N-Prim	1a		Dutch
loglan	nedli	⬅ nederlandsch local word	B is a «Dutch» (person).	N-Prim	1a		Dutch
loglan	nedlii	⬅ ned(za)+(c)li(v)i	B is «adjacent»/«contiguous»/«next door neighbour»/«neighbor» of B.	2-Cpx	2n		adjacent,contiguous,next door neighbour,neighbor
loglan	nedlii	⬅ ned(za)+(c)li(v)i	«neighbor»/«neighbour adjacently», live next door.	2-Cpx	2v		neighbor,neighbour adjacently
loglan	nedlii	⬅ ned(za)+(c)li(v)i	«neighboring», of that which lives next door.	2-Cpx	a		neighboring
loglan	nedlo	⬅ nederlandsch local word	B is an instance of «Dutch» (culture).	N-Prim	1a		Dutch
loglan	nedpao	⬅ ned(za)+pa(sk)o	V is «just»/«immediately»+«before» B.	2-Cpx	2v		just,immediately,before
loglan	nedpao	⬅ ned(za)+pa(sk)o	«preceding».	2-Cpx	a		preceding
loglan	nedprapai	⬅ ned(za)+pra(se)+pa(rt)i	P is a «continuation» of V.	3-Cpx	2n		continuation
loglan	nedsei	⬅ ned(za)+se(tc)i	B are «contiguous»/«side-by side»/«next to one another» by pairs.	2-Cpx	1a		contiguous,side-by side,next to one another
loglan	nedsei	⬅ ned(za)+se(tc)i	«touching», of contiguous sets.	2-Cpx	a		touching
loglan	nedsei	⬅ ned(za)+se(tc)i	in «contact»/«touch», next to each other or Fig.	2-Cpx	ph		contact,touch
loglan	lopo nedsei		«contiguity», the mass of such states.		n		contiguity
loglan	po nedsei		a «contiguity», a state of being -ous.		n		contiguity
loglan	nedza	{damneakaa}, {lisyneafui}, {lisyneapao}, {neafre}, {neapri}, {nedfui}, {nedlii}, {nedpao}, {nedprapai}, {nedsei}, {nilcynea}, {rodnea}, {tovnea}, {tovneagoi}\n⬅ 3/4C dzai | 2/3G naehe | 2/5E next	«next to»/in «contact with» ....	C-Prim	2pp	ned,nea	next to,contact with
loglan	nedza	{damneakaa}, {lisyneafui}, {lisyneapao}, {neafre}, {neapri}, {nedfui}, {nedlii}, {nedpao}, {nedprapai}, {nedsei}, {nilcynea}, {rodnea}, {tovnea}, {tovneagoi}\n⬅ 3/4C dzai | 2/3G naehe | 2/5E next	B «adjoin» B, be next to ....	C-Prim	2v	ned,nea	adjoin
loglan	nedza	{damneakaa}, {lisyneafui}, {lisyneapao}, {neafre}, {neapri}, {nedfui}, {nedlii}, {nedpao}, {nedprapai}, {nedsei}, {nilcynea}, {rodnea}, {tovnea}, {tovneagoi}\n⬅ 3/4C dzai | 2/3G naehe | 2/5E next	«contiguous»/«adjacent»/«touching», of contiguous objects.	C-Prim	a	ned,nea	contiguous,adjacent,touching
loglan	nedza	{damneakaa}, {lisyneafui}, {lisyneapao}, {neafre}, {neapri}, {nedfui}, {nedlii}, {nedpao}, {nedprapai}, {nedsei}, {nilcynea}, {rodnea}, {tovnea}, {tovneagoi}\n⬅ 3/4C dzai | 2/3G naehe | 2/5E next	«against», next to/adjacent to ....	C-Prim	av	ned,nea	against
loglan	po nedza		a «contiguity», a state of being -ous.		n		contiguity
loglan	nefe	⬅ ne+fe	«fifteen» (of) ..., a quantifying operator.	Cpd	a		fifteen
loglan	nefe	⬅ ne+fe	«fifteen», the number 15, in math. exp.	Cpd	n		fifteen
loglan	lio nefe		«fifteen», the number 15, non math.		n		fifteen
loglan	nefi	⬅ ne+fi	«firstly», in the first place.	Cpd	av		firstly
loglan	nefo	⬅ ne+fo	«fourteen» (of) ..., a quantifying operator.	Cpd	a		fourteen
loglan	nefo	⬅ ne+fo	«fourteen», the number 14, in math. exp.	Cpd	n		fourteen
loglan	lio nefo		«fourteen», the number 14, non math.		n		fourteen
loglan	negda	{negdyfoa}, {negdykua}, {negdypro}\n⬅ 2/2E egg | 3/4H anda | 2/3C dan	B is an «egg»/«ovum» of F.	C-Prim	2n		egg,ovum
loglan	negda	{negdyfoa}, {negdykua}, {negdypro}\n⬅ 2/2E egg | 3/4H anda | 2/3C dan	«ovular», pert. to eggs.	C-Prim	a		ovular
loglan	negdyfoa	⬅ negd(a)+y+fo(rm)a	G is more «oval» than J, of shapes/forms.	2-Cpx	2a		oval
loglan	negdyfoa	⬅ negd(a)+y+fo(rm)a	an «oval», an oval thing.	2-Cpx	n		oval
loglan	negdykua	⬅ negd(a)+y+ku(vg)a	K «brood»/«incubate» D, as a clutch of eggs.	2-Cpx	2v		brood,incubate
loglan	negdykua	⬅ negd(a)+y+ku(vg)a	«brooding»/«incubating», pertaining to -ing.	2-Cpx	a		brooding,incubating
loglan	negdykua	⬅ negd(a)+y+ku(vg)a	«brooder»/«incubator», one/that which -s.	2-Cpx	n		brooder,incubator
loglan	negdypro	⬅ negd(a)+y+pro(ju)	K «ovulate», produce eggs.	2-Cpx	1v		ovulate
loglan	lp po negdypro		«ovulation», mass term of acts.		n		ovulation
loglan	po negdypro		an «ovulation», a spec. act/event of -ing.		n		ovulation
loglan	po nengoi		an «entrance», an act/event of going in.		n		entrance
loglan	nengoicibra	⬅ nen(ri)+go(dz)i+cibra	B is a «jetway», the bridge connecting a plane with the terminal building.	3-Cpx	1n		jetway
loglan	nengoiketpi	⬅ nen(ri)+go(dz)i+ketpi	B is an entrance «ticket» to event D.	3-Cpx	2n		ticket
loglan	nengoikru	⬅ nen(ri)+go(dz)i+kru(ma)	B is an/the «entrance hall»/«hall» of F.	3-Cpx	2n		entrance hall,hall
loglan	nengoisia	⬅ nen(ri)+go(dz)i+si(tf)a	B is an «entry»/«entrance» to F.	3-Cpx	2n		entry,entrance
loglan	nengoista	⬅ nen(ri)+go(dz)i+sta(di)	B is a «porch»/«veranda»/«stoop», a platform at the entrance of a building.	3-Cpx	1n		porch,veranda,stoop
loglan	nengozlei	⬅ nen(ri)+go(d)z(i)+le(tc)i	K «admit» D into B, «let enter» (into) ....	3-Cpx	3v		admit,let enter
loglan	nengozlei	⬅ nen(ri)+go(d)z(i)+le(tc)i	an «admitter», one who lets ... enter ....	3-Cpx	n		admitter
loglan	po nu nengozlei		«admittance»/«admission», an event of being -ed.		a		admittance,admission
loglan	pu nengozlei		«admissible», can be admitted, conv. form.		a		admissible
loglan	nengozliu	⬅ nen(ri)+go(d)z(i)+li(tn)u	K «bar»/«exclude»/«shut out»/«keep out» B from D.	3-Cpx	3v		bar,exclude,shut out,keep out
loglan	nengozliu	⬅ nen(ri)+go(d)z(i)+li(tn)u	«exclusive», of one who/that which excludes.	3-Cpx	a		exclusive
loglan	nengozliu	⬅ nen(ri)+go(d)z(i)+li(tn)u	«exclusively», in an excluding way.	3-Cpx	av		exclusively
loglan	nu nengozliu		«excluded»/«shut out»/«barred», excluded/shut out, conv. form.		a		excluded,shut out,barred
loglan	nenhanco	⬅ nen(ri)+hanco	B is the «palm» of F, the inside of the hand.	2-Cpx	2n		palm
loglan	neni	⬅ ne+ni	«ten» (of) ..., a description quantifier. E.g. {Teni le fumna pa merji} -- (Some) Ten of the women were married; {Teni fumna pa hijra} -- (Some) Ten women were here independently. Cf., {tenicu}.	Cpd	a		ten
loglan	neni	⬅ ne+ni	«ten», the number 10, in math. exp.	Cpd	n		ten
loglan	lio neni		«ten», the number 10, non math.		n		ten
loglan	nenimo	⬅ ne+ni+mo	«ten» thousand (of) ..., a quantifying operator.	Cpd	a		ten
loglan	nenimo	⬅ ne+ni+mo	«ten» thousand, the number 10000, in math. exp.	Cpd	n		ten
loglan	lio nenimo		«ten» thousand, the number 10000, non math.		n		ten
loglan	neniri	⬅ ne+ni+ri	a/the «tenth» term/member of series ..., ordinal predicate.	Cpd	2n		tenth
loglan	neniri	⬅ ne+ni+ri	one «tenth», of 10th members.	Cpd	a		tenth
loglan	neniri	⬅ ne+ni+ri	one «tenth», the 10th term in series ....	Cpd	n		tenth
loglan	nenjao	⬅ nen(ri)+ja(gl)o	B is the «interior corner» of F (e.g. a room).	2-Cpx	2n		interior corner
loglan	nenkaa	⬅ nen(ri)+ka(ml)a	K «come out of»/«issue forth»/«emerge» from S.	2-Cpx	2v		come out of,issue forth,emerge
loglan	po nenkaa		an «emergence», a spec. act of -ing.		n		emergence
loglan	nenmerji	⬅ nen(ri)+merji	B is «married» to fellow group member B.	2-Cpx	2v		married
loglan	nenmou	⬅ nen(ri)+mo(rd)u	G is more «concentrated» in/on B(1) than J in/on B(2).	2-Cpx	4v		concentrated
loglan	nenmou	⬅ nen(ri)+mo(rd)u	«concentrated»/«intense», of -ed substances/energies.	2-Cpx	a		concentrated,intense
loglan	nu nenmou		a «concentrate», that in which ... is -ed.		n		concentrate
loglan	pu nenmou		an «intensity»/«concentration», a prop. of a -ed thing.		n		intensity,concentration
loglan	pu nu nenmou		a «concentration», a prop. of a -trate.		n		concentration
loglan	nenmuo	⬅ nen(ri)+mu(vd)o	D «input»(s) B.	2-Cpx	2v		input
loglan	nu nenmuo		an «input» (from ...).		n		input
loglan	po nenmuo		an inst. of «input» (of ...).		n		input
loglan	nenpantu	⬅ nen(ri)+pantu	B is a pair of «briefs»/«shorts»/«pants» (U.K.).	2-Cpx	2n		briefs,shorts,pants
loglan	nenpetri	⬅ nen(ri)+petri	B «diffuse»/«dissolve» into F.	2-Cpx	2		diffuse,dissolve
loglan	nu nenpetri		«solvent» of ....		n		solvent
loglan	po nenpetri		an instance of «diffusion»/«dissolution» (into ...).		n		diffusion,dissolution
loglan	nenri	{bermacnei}, {botnei}, {cmenenkaa}, {fanynensea}, {felnengoi}, {flenensea}, {flinenpuo}, {flinensea}, {foirnengoi}, {fusynensea}, {hasnei}, {hosynencea}, {hosynensea}, {lisynensea}, {livmidspanei}, {midspanei}, {mucnei}, {mutneicko}, {mutnencea}, {mutnenmao}, {neigli}, {neiklo}, {neikra}, {neikro}, {nenbacbiu}, {nenbei}, {nenbeible}, {nenbeicte}, {nenbromao}, {nendertre}, {nendeu}, {nenfagflo}, {nenfoldi}, {nengoi}, {nengoicibra}, {nengoiketpi}, {nengoikru}, {nengoisia}, {nengoista}, {nengozlei}, {nengozliu}, {nenhanco}, {nenjao}, {nenkaa}, {nenmerji}, {nenmou}, {nenmuo}, {nenpantu}, {nenpetri}, {nenrua}, {nenrue}, {nensea}, {nensucmi}, {nensui}, {nenvia}, {nenzvobatmi}, {rarnurnei}, {sminynei}, {tcanei}, {trenei}\n⬅ 3/3C nei | 2/2S en | 2/3E inner | 2/3G inner | 3/7F interieur	B is «in»/«inside» F.	C-Prim	2pp	nen,nei	in,inside
loglan	nenri	{bermacnei}, {botnei}, {cmenenkaa}, {fanynensea}, {felnengoi}, {flenensea}, {flinenpuo}, {flinensea}, {foirnengoi}, {fusynensea}, {hasnei}, {hosynencea}, {hosynensea}, {lisynensea}, {livmidspanei}, {midspanei}, {mucnei}, {mutneicko}, {mutnencea}, {mutnenmao}, {neigli}, {neiklo}, {neikra}, {neikro}, {nenbacbiu}, {nenbei}, {nenbeible}, {nenbeicte}, {nenbromao}, {nendertre}, {nendeu}, {nenfagflo}, {nenfoldi}, {nengoi}, {nengoicibra}, {nengoiketpi}, {nengoikru}, {nengoisia}, {nengoista}, {nengozlei}, {nengozliu}, {nenhanco}, {nenjao}, {nenkaa}, {nenmerji}, {nenmou}, {nenmuo}, {nenpantu}, {nenpetri}, {nenrua}, {nenrue}, {nensea}, {nensucmi}, {nensui}, {nenvia}, {nenzvobatmi}, {rarnurnei}, {sminynei}, {tcanei}, {trenei}\n⬅ 3/3C nei | 2/2S en | 2/3E inner | 2/3G inner | 3/7F interieur	«inner»/«inside»/«interior», pert. to the inside of something.	C-Prim	a	nen,nei	inner,inside,interior
loglan	nenri	{bermacnei}, {botnei}, {cmenenkaa}, {fanynensea}, {felnengoi}, {flenensea}, {flinenpuo}, {flinensea}, {foirnengoi}, {fusynensea}, {hasnei}, {hosynencea}, {hosynensea}, {lisynensea}, {livmidspanei}, {midspanei}, {mucnei}, {mutneicko}, {mutnencea}, {mutnenmao}, {neigli}, {neiklo}, {neikra}, {neikro}, {nenbacbiu}, {nenbei}, {nenbeible}, {nenbeicte}, {nenbromao}, {nendertre}, {nendeu}, {nenfagflo}, {nenfoldi}, {nengoi}, {nengoicibra}, {nengoiketpi}, {nengoikru}, {nengoisia}, {nengoista}, {nengozlei}, {nengozliu}, {nenhanco}, {nenjao}, {nenkaa}, {nenmerji}, {nenmou}, {nenmuo}, {nenpantu}, {nenpetri}, {nenrua}, {nenrue}, {nensea}, {nensucmi}, {nensui}, {nenvia}, {nenzvobatmi}, {rarnurnei}, {sminynei}, {tcanei}, {trenei}\n⬅ 3/3C nei | 2/2S en | 2/3E inner | 2/3G inner | 3/7F interieur	«inside», in the inner part.	C-Prim	av	nen,nei	inside
loglan	nenri	{bermacnei}, {botnei}, {cmenenkaa}, {fanynensea}, {felnengoi}, {flenensea}, {flinenpuo}, {flinensea}, {foirnengoi}, {fusynensea}, {hasnei}, {hosynencea}, {hosynensea}, {lisynensea}, {livmidspanei}, {midspanei}, {mucnei}, {mutneicko}, {mutnencea}, {mutnenmao}, {neigli}, {neiklo}, {neikra}, {neikro}, {nenbacbiu}, {nenbei}, {nenbeible}, {nenbeicte}, {nenbromao}, {nendertre}, {nendeu}, {nenfagflo}, {nenfoldi}, {nengoi}, {nengoicibra}, {nengoiketpi}, {nengoikru}, {nengoisia}, {nengoista}, {nengozlei}, {nengozliu}, {nenhanco}, {nenjao}, {nenkaa}, {nenmerji}, {nenmou}, {nenmuo}, {nenpantu}, {nenpetri}, {nenrua}, {nenrue}, {nensea}, {nensucmi}, {nensui}, {nenvia}, {nenzvobatmi}, {rarnurnei}, {sminynei}, {tcanei}, {trenei}\n⬅ 3/3C nei | 2/2S en | 2/3E inner | 2/3G inner | 3/7F interieur	an «interior», the inside of ....	C-Prim	n	nen,nei	interior
loglan	lo nenri		«insides», the mass of inner parts.		n		insides
loglan	no nenri		«out», not inside something.		a		out
loglan	no nenri		not «inside of» ..., neg. form.		pp		inside of
loglan	nu nenri		«contain», conv. of inside of.		vt		contain
loglan	nenrua	⬅ nen(ri)+ru(tm)a	B is on the «way»/«enroute» to D from S.	2-Cpx	3v		way,enroute
loglan	nenrua	⬅ nen(ri)+ru(tm)a	on the «way», enroute to ... from ....	2-Cpx	av		way
loglan	nenrue	⬅ nen(ri)+(b)ru(t)e	K «breathe in»/«aspire» B.	2-Cpx	2v		breathe in,aspire
loglan	lopo nenrue		«aspiration», mass term.		n		aspiration
loglan	po nenrue		an «aspiration», a spec. instance of -ing.		n		aspiration
loglan	nensea	⬅ nen(ri)+se(tf)a	K «put»/«insert»/«deposit» B in/at D.	2-Cpx	3v		put,insert,deposit
loglan	nensea	⬅ nen(ri)+se(tf)a	a «depositor» (of ... in ...), one who -s.	2-Cpx	n		depositor
loglan	no nensea		«omit»/«leave out» ... in/at ....		3v		omit,leave out
loglan	nu nensea		an «insertion»/«deposit» (by ... in ...), that which is -ed.		n		insertion,deposit
loglan	po nensea		an «insertion», a spec. act of -ing.		n		insertion
loglan	nensu	⬅ 2/2J su | 3/4E nest | 3/4G nest | 3/5C yen wo | 2/6R gnezdo	B is a/the «nest» of F, e.g. a bird.	C-Prim	2n		nest
loglan	nensucmi	⬅ nen(ri)+sucmi	K «swim» (around) in B.	2-Cpx	2v		swim
loglan	nensucmi	⬅ nen(ri)+sucmi	a «swimmer», one who/that which swims in ....	2-Cpx	n		swimmer
loglan	po nensucmi		a «swim», a spec. act/event of -ing in ....		n		swim
loglan	nensui	⬅ nen(ri)+su(nd)i	K «import» B into D from S.	2-Cpx	4v		import
loglan	nensui	⬅ nen(ri)+su(nd)i	an «importer», one who/that which -s.	2-Cpx	n		importer
loglan	lopo nensui		«importation», mass term of acts.		n		importation
loglan	nu nensui		an «importation»/«import», that which is -ed.		n		importation,import
loglan	po nensui		an «importation»/«import», an act of -ing.		n		importation,import
loglan	nenvia	⬅ nen(ri)+vi(zk)a	K have an «insight» into V.	2-Cpx	2v		insight
loglan	lopu nenvia		«insight», mass property of having ....		n		insight
loglan	nenzvobatmi	⬅ nen(ri)+zvo(to)+batmi	K «invert»/«evert»/«turn inside out» B.	3-Cpx	2v		invert,evert,turn inside out
loglan	po nenzvobatmi		«inversion», an act of turning something inside out.		1n		inversion
loglan	neo		«nu», Greek lower case letter, one of a pool of symbols.	LW	l		nu
loglan	neodhimio	⬅ ISV	B is some «neodymium», element 60 (Nd).	Bor.	1n		neodymium
loglan	neolhiti	⬅ ISV	B is «neolithic», pert. to the new stone age.	Bor.	1a		neolithic
loglan	neonho	⬅ ISV	B is some «neon», element 10 (Ne).	Bor.	1n		neon
loglan	neozhoika	⬅ ISV	B is «neozoic», pert. to the Neozoic period, after the Paleozoic.	Bor.	1a		neozoic
loglan	la Neozo-ik		the «Neozoic», the period, after the Paleozoic.		na		Neozoic
loglan	neptunio	⬅ ISV	B is some «neptunium», element 93 (Np).	Bor.	1n		neptunium
loglan	nera	⬅ ne+ra	an «individual»/«unit»/«monad»/«one member subset» of set ..., a cardinal predicate.	Cpd	2n		individual,unit,monad,one member subset
loglan	nera	⬅ ne+ra	«individual»/«monadic»/«specific»/«sole», pert. to individuals.	Cpd	a		individual,monadic,specific,sole
loglan	lopu nera		«individuality», mass term of props.		n		individuality
loglan	pu nera		an «individuality»/«specificity», a spec. property.		n		individuality,specificity
loglan	nerbekti	⬅ ner+bekti	B is an «individual», pertaining to a single object, e.g. an individual portion.	1-Cpx	1a		individual
loglan	nerbi	{banynerbi}, {lodnerbi}, {nebcko}, {nebcle}, {nebmao}, {nebmou}, {nornebmao}, {nornerbi}\n⬅ 4/8E necessary | 2/5C bi yao | 4/10R neobkhodim yi | 2/5F necessaire | 3/8S necesari o	N is a factually necessary «condition»/«demand» for event/process V.	C-Prim	2n	neb	condition,demand
loglan	nerbi	{banynerbi}, {lodnerbi}, {nebcko}, {nebcle}, {nebmao}, {nebmou}, {nornebmao}, {nornerbi}\n⬅ 4/8E necessary | 2/5C bi yao | 4/10R neobkhodim yi | 2/5F necessaire | 3/8S necesari o	«necessary»/«required»/«demanded»/«essential»/«indispensible»/«vital» for ..., of factual conditions.	C-Prim	a	neb	necessary,required,demanded,essential,indispensible,vital
loglan	nerbi	{banynerbi}, {lodnerbi}, {nebcko}, {nebcle}, {nebmao}, {nebmou}, {nornebmao}, {nornerbi}\n⬅ 4/8E necessary | 2/5C bi yao | 4/10R neobkhodim yi | 2/5F necessaire | 3/8S necesari o	a «necessity»/«precondition»/«prerequisite», a factual precondition.	C-Prim	n	neb	necessity,precondition,prerequisite
loglan	lopu nerbi		«necessity», factual, mass term.		n		necessity
loglan	no nerbi		«unnecessary»/«needless», referring to the condition.		a		unnecessary,needless
loglan	pu nerbi		a «necessity», factual, a spec. property.		n		necessity
loglan	nerbuu	⬅ ner+bu(kc)u	B is an «issue»/«number» of magazine/periodical F.	1-Cpx	2n		issue,number
loglan	nercea	⬅ ner+ce(nj)a	K «unify»/«unite»/«integrate»/«coalesce»/«coagulate»/«clot»/«run together»/become «one».	1-Cpx	1v		unify,unite,integrate,coalesce,coagulate,clot,run together,one
loglan	nercea	⬅ ner+ce(nj)a	«united»/«coagulated»/«clotted», having become one.	1-Cpx	a		united,coagulated,clotted
loglan	lopo nercea		«unity», mass term of states.		n		unity
loglan	po nercea		a «coalescence»/«coagulation»/«unity», a specific state of being one.		n		coalescence,coagulation,unity
loglan	nercelsidza	⬅ ner+cel(hu)+sidza	B is a «spore» of S.	2-Cpx	2n		spore
loglan	nercko	⬅ ner+cko(zu)	N «unite»/«unify»/«integrate» B, make into one, non intentional.	1-Cpx	2v		unite,unify,integrate
loglan	lopo nercko		an «integration», mass term of acts.		n		integration
loglan	nu nercko		«united».		a		united
loglan	po nercko		a «unification»/«integration», a spec. act of -ing.		n		unification,integration
loglan	nercti	⬅ ner+cti(fu)	C is a «pure» quantity of B, only one component.	1-Cpx	2n		pure
loglan	nercti	⬅ ner+cti(fu)	«pure», composed of one chemical substance.	1-Cpx	a		pure
loglan	pu nercti		«purity».		1n		purity
loglan	nerctimao	⬅ ner+cti(fu)+ma(dz)o	K «purify»/«refine» P from S.	2-Cpx	3v		purify,refine
loglan	nerctimao	⬅ ner+cti(fu)+ma(dz)o	«refined», made pure.	2-Cpx	a		refined
loglan	nerdedjo	⬅ ner+dedjo	B is the first «finger» of F in culture N, may be the thumb for some, and index for others.	1-Cpx	3n		finger
loglan	nerdei	⬅ ner+de(nl)i	B is a «Monday» of week/month F.	1-Cpx	2n		Monday
loglan	la nerdei		«Monday» (the 2nd day of the week).		na		Monday
loglan	nerdja	⬅ ner+dja(no)	K «identifies»/«recognizes» B as a certain individual.	1-Cpx	2v		identifies,recognizes
loglan	nu nerdja		«identified»/«recognized» by K as a certain individual.		a		identified,recognized
loglan	po nerdja		an «identification»/«recognition», an event of recognizing ... V (K-B).		n		identification,recognition
loglan	po nu nerdja		an «identification»/«recognition», an event of being recognized by ... V (B-K).		n		identification,recognition
loglan	nerdjo	⬅ ner+djo(ri)	B is a/the «sole»/«unique» member of class F.	1-Cpx	2n		sole,unique
loglan	nerdjo	⬅ ner+djo(ri)	«single»/«unique»/«only», unique in its class.	1-Cpx	a		single,unique,only
loglan	nerdjo	⬅ ner+djo(ri)	«merely»/«solely»/«uniquely»/«just», only.	1-Cpx	av		merely,solely,uniquely,just
loglan	lopu nerdjo		«uniqueness», mass term of properties.		n		uniqueness
loglan	pu nerdjo		a «uniqueness», a spec. property.		n		uniqueness
loglan	nerduo	⬅ ner+du(rz)o	K do «nothing else while doing»/be «only doing» V to D with B.	1-Cpx	4v		nothing else while doing,only doing
loglan	nerduo	⬅ ner+du(rz)o	«single minded», does things singly.	1-Cpx	a		single minded
loglan	nerduo	⬅ ner+du(rz)o	«only»/«just»/«singly»/«solely»/«merely»/«exclusively»/«single mindedly», single mindedly.	1-Cpx	av		only,just,singly,solely,merely,exclusively,single mindedly
loglan	nerduo	⬅ ner+du(rz)o	«nothing but», as 'he did nothing but swim'.	1-Cpx	ph		nothing but
loglan	lopu nerduo		«single mindedness», mass term.		n		single mindedness
loglan	pu nerduo		a «single mindedness», a spec. property.		n		single mindedness
