@rowCount	12099
dekuma logaritmo	common logarithm
dekuma nombrosistemo	decimal notation
dekumi	to decimate
dekumigi	decimalize
dekunu	eleven
dekuri	to run off, run away
dekutimigi	to break of a habit, teach
dekutimigxi	to break oneself of a habit, get out of a habit, unlearn
Del.	Delegito
delasi	to abandon
delaso	abandonment, drop
delavaria	Delawarean
delavariano	Delawarean
Delavario	Delaware
Delavaro	Delaware
delegacio	delegation
delegado	delegation, deputation
delegato	delegate, deputy, representative
delegi	to delegate
delegitaro	delegation, deputation
delegitino	(female) delegate
delegito	delegate, local representative
delego	assignment
delekti	to delight
delfa	Delphic
Delfeno	Delphinus
delfeno	dolphin
delfinio	larkspur
Delfio	Delphi
Delfo	Delphi
delfta	Delft
Delfto	Delft
Delhio	Delhi
delico	delight, bliss
delicumi	to delight in
delikata	delicate, fine, refined, gentle, sensitive, fragile, dainty, awkward
delikatajxo	delicacy
delikate	delicately
delikateco	tact, tenderness
delikatmove	with a delicate movement
delikattusxe	with a light touch
delikto	offence, misdemeanor
deliktulo	delinquent
delikveska	deliquescent
delinkvento	delinquent
delira	delirious
deliradi	to be delirious, be crazy
delirajxo	crazy talk, madness, delirium
delire	deliriously
deliri	to be delirious, wander, rave
deliro	delirium
delkredero	guarantee
deloga	wheedling
delogi	to beguile, seduce, decoy, lead astray
delogisto	cajoler, wheedler
delogiteco	infatuation
deloka instrukcio	shift instruction
deloki	to displace
delokigo	(proper) motion, (proper) movement, displacement
delokigxo	displacement
delonga	long-standing
delonge	for a long time
deltametalo	iron brass
deltaplano	hang glider
delto	delta
deltoido	deltoid, kite
demagogeco	demagogy
demagogio	demagoguery, demagogy
demagogo	demagogue
demamigado	ablactation
demamigi	to ablactate, wean
demamigo	ablactation
demanda	interrogative, interrogatory
demandado	questioning
demandante	while asking
demandanto	enquirer
demandaro	questionnaire
demandi	to ask, inquire, demand, interrogate, question
demandi al si	to ask oneself, wonder
demandi sin	to ask oneself, wonder
demandilo	form
demando	inquiry, query, question
demando-protokolo	question log
demandoekzerco	question exercise
demandoprotokolo	question log
demandosigna	question mark
demandosigno	question mark
demandsigno	question mark
demargxenigi	to indent
demargxenigo	indentation
demarkacii	to demarcate
demarkacio	demarcation
demarsxo	advance
demenca	demented
demence	dementedly
demenco	dementia
dementi	to officially deny, repudiate
demetebla disko	removable disk
demeti	to put down, take off, put off, lay (eggs)
demeti dosiersistemon	to unmount a file system
demeti la armilojn	to lay down one’s arms
demeti la regxecon	to abdicate
demeti ovojn	to lay eggs
Demetro	Demeter
demilitarigita	demilitarized
demilitarigita zono	DMZ, demilitarized zone
demimondo	demimonde
demisia	under resignation
demisii	to resign
demisiigi	to dismiss, oust, remove
demisiigo	dismissal, removal
demiurgo	demiurg
demografia	demographic
demografie	demographically
demografiisto	demographer
demografio	demography
demografo	demographer
demokrata	democratic
demokrataro	democracy
demokrate	democratically
demokratia	democratic
demokratiana	democratic
demokratiano	democrat
demokratie	democratically
demokratiigi	to democratize
demokratiigxo	democratization
demokratio	democracy
demokrato	democrat
demokrito	Democritus
demona	demonic
demone	demonically
demonhavanta	possessed (by a demon)
demoniako	demoniac
demono	demon
demonologiisto	demonologist
demonologio	demonology
demonologo	demonologist
demonomancio	demonomancy
demonstra	demonstrative
demonstracii	to demonstrate
demonstracio	demonstration, proof
demonstrajxo	demo version
demonstranto	demonstrator
demonstrativa	demonstrative
demonstrativo	demonstrative, demonstrative pronoun
demonstre	demonstratively
demonstrebla	provable, demonstrable
demonstreble	provably, demonstrably
demonstri	to demonstrate, prove, show
demonstro	demonstration, proof
demoraliza	bad for morale
demoralizi	to demoralize
demoralizo	demoralization
demordi	to bite off
Demorganaj legxoj	de Morgan's laws
demoskopio	public opinion research
demotika	demotic
demotiko	demotic
denaro	denarius
denaska	congenital, inborn, innate, native
denaska lingvo	native language, mother tongue
denaske	congenitally, inherently, innately
denaskeco	inherence
denaskulo	native
denaturi	to denature
dendrito	dendrite
denombrado	enumeration
denombri	to enumerate
denominacio	denomination
denominatoro	denominator
denonci	denounce
denonco	denunciation
denova	another
denove	again, anew, once again
densa	compact, concentrated, dense, thick, condensed
densa alspiro	rough breathing
dense	densely, thickly
denseco	density
densejo	thicket
densiga	compressed, compression, condensed (font)
densigi	to condense
densigilo	compression tool
densigo	compression
densigregximo	compression mode
denso	density
densometro	densitometer
denta	dental, jagged, toothed
dentalo	dental
dentalveolo	socket
dentaro	teeth
dentbroso	toothbrush
dentdoloro	toothache
dentego	tusk
denteto	baby tooth
dentgrincado	grinding of the teeth
denti	to indent, tooth
dentigi	to indent, tooth
dentingo	tooth socket
dentino	dentin, dentine
dentisto	dentist
dentkarno	gingiva, gum
dentkuracisto	dentist
dentligneto	toothpick
dento	tooth, cog, prong
dentobroso	tooth-brush
dentodoloro	toothache
dentokarno	gum, gums
dentopasto	toothpaste
dentopikilo	toothpick
dentopinglo	toothpick
dentorado	gear
dentpasto	tooth-paste
dentpikilo	toothpick
dentpingilo	toothpick
dentpinglo	toothpick
dentradeto	sprocket, sprocket-wheel
dentrado	cogwheel, gear
dentskrapi	to gnaw off, pick
denudi	to expose
denuncado	tirade
denuncanto	accuser, denouncer
denunci	to accuse, denounce, impeach, inform against
denuncisto	informer, snitch, snout, whistleblower
denunco	accusation, denouncement, denunciation
denuncoado	denunciation
depaganta	tributary
depago	contribution, tribute, rent, toll
departementa	departmental
departemento	(administrative) department
dependa	dependent
dependa de	dependant on
dependa variablo	dependent variable
dependajxo	dependent
dependajxoj	dependency
Dependas de tio, cxu ....	It depends on whether ....
depende de	according to
depende de la kunteksto	depending on context
depende je	depending on, according to, as a function of
dependeco	dependence
dependi	to depend
dependi de	to be dependent on, depend on
dependogramatiko	dependency grammar
dependulo	addict
depesxi	to dispatch
depesxigi	to hand in
depesxo	dispatch, message
depincxi	to pinch off
depingli	to unpin
deploji	to deploy
deplojo	deployment
deponajxo	deposit
deponanto	depositor
deponatesto	warrant
deponbanko	depository bank, custodian bank
deponejo	depository
deponi	to deposit, dump, bank, file, lodge, store
deponitajxo	deposit
deportado	deportation
deporti	to deport
depost	since, ever since
depost kiam	since
depost konservo	since saving
depost tiu tempo	since that time
depoto	depot
depozicii	to attest to, testify
depozicio	testimony
depravacio	depravation
depreci	to deprecate
depremi	to depress, press, push
depreni	to deduce, deduct, take away, take off, subtract
depreni de	break into
depreno	deduction, demand, sale, subtraction
depresajxo	print, imprint
depresia	depressive
depresio	depression
deprezi	to write off
deprimi	to depress
deprimigxi	to depress
deprimita	depressed
deprimiteco	dejection, depression
deprimo	depression
deprunti	to borrow
depruntinto	borrower
deprunto	loan
depusxi	to knock off, push down, push off, thrust down
depusxo	shove
deputado	delegation, deputation, delegate, deputy, representative
deputato	delegate, deputy, representative
deputi	to depute
deputilaro	delegation, deputation
deputitaro	assembly, deputation
deputito	delegate, deputy, representative
derazi	to shave, shave off
Derbio	Derby
Derio	Derry, Londonderry
deriso	derris
deriva	derivative
derivago	derivative action
derivajxo	derivation, derivative
derivarbo	parse tree
derivebla	differentiable
derivi	to derive, differentiate
derivilo	inference engine
derivmotoro	inference engine
derivregulo	production
dermapteroj	dermaptera
dermatito	dermatitis
dermatologiisto	dermatologist
dermatologio	dermatology
dermatologo	dermatologist
dermatozo	dermatosis
dermito	dermatitis
dermo	dermus
dermologio	dermatology
derompajxo	wreckage
derompi	to break, break off
derompigxi	to break, break off
deruladi	to roll away, roll aside
deruli	to roll off, roll away, roll aside
deruligxi	to roll off
dervisxo	dervish
des	all the more, so much the more
des pli	to all the more
desalti	to dismount, jump down, jump off, leap down
desaponti	to disappoint, disabuse, set straight
desapontigxi	to become disillusioned
descendi	to descend, go down
descendo	descent
desegna papero	construction paper
desegnado	design
desegnajxo	design, drawing
desegnarto	design, drawing
desegnejo	plot area
desegni	to design, depict, draw, sketch
desegnigxi	to be outlined, stand out
desegnilo	plotter
desegnisto	draughtsman
desegno	design, drawing
desegnofilmo	animated movie
desegnopapero	drawing-paper
desegnotablo	drawing table
desegnozono	plot area
deseligxi	to dismount, get out of a saddle
desertforko	dessert fork
deserto	dessert
desfili	to cover, defilade
desinfektajxo	disinfectant
desinfekti	to disinfect
desinfektilo	disinfector
desino	pattern
desintegratoro	disintegrator
deskampsio	hair-grass
deskrapi	to erase
deskui	to remove by shaking, shake off
deskvamigxi	to flake off, peel off, scale off
desmandosigno	question ark
desmodio	telegraph-plant, tick trefoil
desoksiribonuklea acido	deoxyribonucleic acid, DNA
despota	despotic
despote	despotically
despoteco	despotism
despotismo	despotism
despoto	despot
destini	to assign, consign, designate, destine, dispose, earmark, ordain
destini por	to destine for
destinita al malsukceso	destined for failure
destinita por	intended for
destinita por morto	destined for death
destinito	recipient
destino	destiny, fate
destinprojekto	development plan
destrojero	destroyer
destruado	destruction
desuba	bottom-up
desubismo	bottom-up strategy
desubtrahata nombro	minuend
desucxilo	hood, suction apparatus
desupra analizo	top-down analysis, top-down parsing
desupra konstruado	top-down development
desupra projektado	top-down design
desuprismo	top-down strategy
desxargxi	to unload, discharge
desxirajxo	tear (a rent)
desxiri	to pick, pluck, tear off
desxiri sin de iu	to get rid of someone
desxovi	to abdicate, indent
desxovo	displacement, indent, indention, offset, paragraph break
desxtatigo	privatization
detala	descriptive, detailed, elaborate, retail (trade)
detalado	specification
detalajxo	detail, retail
detale	(by) retail, in detail
detale vendi	to sell by retail
detaleco	prolixity
detalemo	attention to detail
detaleto	details, minutiae
detali	to detail, enumerate
detaligi	to detail, go into detail(s)
detaligo	detailing, going into detail
detalisto	retailer
detalkomercisto	retailer
detalkomerco	retail
detalo	detail
detalvendisto	retailer
detavolajxo	flake
detavoligxi	to exfoliate
detavoligxo	exfoliation
detektebla	detectable, discoverable
detekti	to detect
detektilo	detector
detektivo	detective, private eye, investigator
detektoro	detector
detemigxi	to stray from one’s subject, wander from one’s subject
detemigxo	digression, straying, wandering from the point
detempe	since (the time of)
detempe de	since
detempro	distemper, tempera
detenebla	preventable
detenema	abstinent
deteni	to abstract, restrain, detain
deteni sin	to abstain
deteni sin de	to abstain from
detenigxo	abstention
deteno	abstinence
detenregximo	hold mode
detenstato	hold status
detergajxo	detergent
detergento	cleanser, detergent
determinajxo	determinant
determinanto	determinant
determini	to decide, determine, fix, set, settle
determinilo	determiner
determinisma	deterministic
determinisme	deterministically
determinismo	determinism
deterministo	determinist
determino	determination, setting
detiri	to pull out, disengage, extract, remove
detonacii	to detonate
detonacio	detonation
detondi	to cut off
detrancxajxo	cut
detrancxi	to carve, cut (off), amputate, clip off
detrancxigxo	abscission
detrancxo	abscission, cut, cutback, cutting, slash
detriki	to cast off
detroni	to depose, dethrone
detronigi	to depose, dethrone
detrua	destructive
detrua povo	destructive power
detruado	destruction, havoc, mayhem
detruanta	subversive
detruante	subversively
detruanto	destroyer
detrue	destructively
detruegi	to demolish
detruemo	vandalism
detrui	to destroy, quash
detruigxi	to be destroyed
detruigxo	devastation
detruilo	instrument of destruction
detruo	destruction
detrupovo	destructiveness
deturna manovro	diversion, red herring, smoke screen
deturni	to avert, lead astray, turn away, ward off, detour
deturni iun de la gxusta vojo	to lead someone astray
deturnigxi	to turn
deturnigxo	divergence, diversion
deturno	diversion
deuxterio	deuterium, heavy hydrogen
deuxterono	deuteron
devaluti	to devalue (currency)
devalutigxi	to devalue
devaluto	devaluation
devanagara	Devanagari
devanagara skribo	Devanagari script
devanci	to overhaul, overtake, pass
devao	deva
devas esti	to (there) must be
devena	coming
devena de	a native of, coming from
deveni	to come (from), derive (from), originate, result (from)
deveni de	hail from
devenigado	derivation
devenigi	to derive
devenigiigxi	to originate
deveno	beginning, origin, extraction, lineage, source, parentage, pedigree
devenurbo	hometown
deversxi	to pour off, strain off
devi	to be obliged to, have to, must, ought to, should
devia	deviant
deviacio	deviation
devianta	aberrant
devie	deviantly
deviga	obligatory, mandatory, binding, compulsory
devigata	compulsive
devigate	compulsively
devigebla	forcible
devigeble	forcibly
devigi	to compel, force, coerce, oblige
devigo	coercion, compulsion, constraint, force, pressure
devii	to deviate, turn
deviigi	to deflect
devio	aberrance, aberration
devisxi	to wipe off
deviznegoco	currency trade
devizo	device, motto, watchword, slogan, rallying cry; draft on foreign bank
devo	duty, obligation
devojigi	to sidetrack
devojigxanta	aberrant
devojigxi	to go astray, stray off
devojigxo	detour, deviation from a path or way
devoligi	obligate, commit, oblige
Devonio	Devonian
Devono	Devon, Devonian period
devontigi	to obligate
devontigo	determination, liability, resolve, resolving
devota	devoted, obsequious
devote	devotedly, obsequiously
devoteco	piety
devotulo	zealot, churchy person, pietist
dez.	deziras
dezajno	design
dezerta	desolate, dreary, gaunt
dezerteco	abandonment, bleakness, void
dezertigi	to devastate
dezertigxi	to become deserted, become a wasteland
dezertigxo	desertification
dezerto	desert, wilderness
dezertulo	anchorite
dezinfekti	to disinfect
deziregi	to ache, hanker, yearn
dezirego	strong, feverish desire
deziregoado	yearning
deziri	to desire, wish, want
dezirinda	desirable
deziro	desire, want, wish
DHCP-efikigado	DHCP enforcement
DHCP-kliento	DHCP client
DHCP-servilo	DHCP server
dia	divine
Dia volo	God’s will
dia-projekciilo	slide projector
dia-reproduktilo	slide copy attachment
diabeta	diabetic
diabeto	diabetes
diabetulo	diabetic (person)
diabla	devilish, diabolical, damned, diabolic, satanic
Diabla Insulo	Devil’s Island
diablajxo	devilry
diable	diabolically
diable!	darn!
diableca	devilish
diablece	devilishly, fiendishly
diableto	imp, little devil
diablino	she-devil
diablo	devil
diablosigno	devil’s mark
diabolo	diabolo, yo-yo
diademo	diadem
diafana	diaphanous, pellucid, semi-transparent, translucent, transparent
diafaneco	transparency
diafilmo	film strip
diafizo	diaphysis
diafonio	dissonant
diafragmo	diaphragm
diagnoza	diagnostic
diagnoze	diagnostically
diagnozi	to diagnose
diagnozo	diagnosis
diagonala	diagonal, transverse
diagonala matrico	diagonal matrix
diagonalado	diagonalization
diagonale	diagonally
diagonaligebla	diagonalizable
diagonaligo de matrico	matrix diagonalization
diagonalo	diagonal
diagramdatumoj	chart data
diagramo	diagram
diagramzono	chart area
diajxo	deity
diakilo	adhesive plaster
diakilono	adhesive plaster, diachylon, lead-plaster
diaklazo	diaclase
diakoneco	diaconate
diakonino	sick-nurse
diakono	deacon
diakrita	diacritical
diakrita signo	accent, diacritical mark
diakritajxo	accented letter
diakriti	to add a diacritic
diakritilo	diacritic mark
diakrito	accent, accent mark
diakrona	diachronous
dialektikisto	dialectician
dialektiko	dialectic(s)
dialekto	dialect
dializi	to dialyze
dializilo	dialysis equipment
dializo	dialysis
dialoga procezo	foreground process
dialoga sxelo	interactive shell
dialogado	interaction
dialogi	to hold a dialogue
dialogkomputado	conversational mode
dialogo	dialog
dialogujo	dialog box
diamagneta	diamagnetic
diamagnetismo	diamagnetism
diamagneto	diamagnet
diamanta	diamond
diamanteca	adamantine
diamanti	to adorn with diamonds
diamanto	diamond
diamanttajlisto	diamond cutter
diametro	diameter
dianetiko	dianetics
Diano	Diana
dianto	carnation (flower), pink
diapazono	tuning fork, diapason
diapozitiv-tenilo	slide tray
diapozitiva	slide
diapozitivo	slide, transparency
diapozitivtenilo	slide tray
diaprojekciilo	slide projector
diarea	loose
diareo	diarrhea
diareproduktilo	slide copy attachment
diartro	diarthrosis
diartrozo	diarthrosis
diasporo	diaspora
diastazo	diastase
diastola	diastolic
diastolo	diastole
diaterma	diathermal
diatermo	diathermy
diatezo	diathesis, disposition, predisposition
diatomeo	diatom
diatona	diatonic
diatribo	bitter criticism
dibocxa	dissolute, ribald
dibocxado	abandonment
dibocxajxo	excess, (act of) debauchery
dibocxeco	abandonment, debauchery
dibocxejo	bawdy-house, house of ill repute
dibocxema	abandoned
dibocxeto	binge
dibocxi	to debauch, revel, wallow
dibocxigi	to corrupt, debauch
dibocxo	dissipation, debauchery
dibocxoajxo	ribaldry
dibocxulino	wanton
dibocxulo	dissolute person, swinger, debauchee, profligate
dicentro	bleeding heart
didaktika	didactical, pedagogical
didaktike	didactically, pedagogically
didaktiko	didactics, pedagogy
didelfo	kangaroo, opossum
dido	dodo (extinct bird)
die	in a god-like manner
die tiu tempo	since that time, since then
dieco	divinity
dielektrika	dielectric
dielektriko	dielectricum
dierezo	diaeresis
diesa	sharp (musical)
dieso	grid, hash, number sign, pound sign, sharp (music)
dieta	dietary
dieti	to be on a diet
dietisto	dietitian
dieto	diet
difavoro	grace
difekta	broken, out of order, defective
difektado	damaging
difektajxo	damage, imperfection, injury
difekteto	defect
difekti	to damage, harm, hurt, impair, injure, mutilate, spoil, mar
difektiga	injurious
difektigxadi	to deteriorate
difektigxema	perishable
difektigxi	to break down, deteriorate
difektigxinta	broken (down)
difektigxo	deterioration
difektita	broken, damaged
difekto	damage, flaw, defect, imperfection
difektoajxo	defect
difektohava	defective, faulty, deficient
diferenca	different
diferenca ekvacio	difference equation
diference	differently
diference de	unlike
diferenci	to be different, differ, disagree
diferenciala	differential
diferenciala ekvacio	differential equation
diferenciala ekvacio en partaj derivajxoj	partial differential equation
diferenciala formo	differential form
diferenciala kalkulo	differential calculus
diferencialado	differentiation
diferencialebla	differentiable
diferenciali	to differentiate
diferencialkvociento	differential quotient
diferencialo	differential
diferencigi	to differentiate
diferencigo	differentiation, distinguishing
diferencigxi	to differ
diferenco	difference
diferencodosiero	diffs file
diferencoperatoro	difference operator
diferencoregistrada	differencing
difina	defining, determining
difina artikolo	definite article
difina modulo	definition module
difinebla	definable
difineble	definably
difini	to allot, define, determine
difinita	definite
difinita de uzanto	user-specified
difinita integralo	definite integral
difinita por	to be appropriate for
difinitiva	affirmative, decided, decisive, definite, definitive, final, firm, positive
difino	definition
difinvortaro	glossary
difrakta	diffractive
difrakti	to diffract
difrakto	diffraction
difraktometro	diffractometer
difterio	diphtheria
difterito	diphtheria
diftongo	diphthong
diftonog	diphthong
difuza	diffuse
difuze	diffusely
difuzi	to diffuse
difuzilo	diffusor
difuzo	diffusion
digestado	digestion
digestebla	digestible
digesti	to digest
digestiga	digestive, facilitating digestion
digesto	digestion
digestosistemo	digestive system
digi	to stop, dam up, form an embankment, halt
digitalino	digitalin
digitalo	foxglove
digitoksino	digitalin
digna	dignified
digneco	dignity
digno	dignity, respect, self-worth, self-respect, worth
digo	dam, dike, embankment, jetty, mound
digramo	digraph
digxesta	digest
digxesto	digest
digxita	digital
digxitaj datenoj	digital data
digxite	digitally
digxitigo	digitizing
dihxotomia	dichotomy
dihxotomio	dichotomy
diigi	to deify
diigo	apotheosis
diino	goddess
diismo	deism
diisto	deist
dika	thick, corpulent, fat, stout, plump
dika fingro	thumb
dika intesto	large intestine
dika tiparfasono	boldface
dikacxa	bloated
dike	thickly
dikeco	bulk, plumpness, stoutness, thickness, volume
diketa	plump
dikfigura	buxom
dikfingro	thumb
Dikfingrulo	Tom Thumb
dikhauxta	thick-skinned
dikhauxtulo	pachyderm
dikhornsxafo	bighorn, mountain sheep
dikiga	bold
dikigi	to fatten, thicken
dikigita	bolded
dikigxi	to thicken
dikintesto	large intestine
dikkorpa	squat, thick-set
diklina	diclinous
diklitera	bold, boldface
diklorido	dichloride
diko	thickness
dikpuga	steatopygous
diksilandjxazo	Dixieland (jazz)
Diksilando	Dixie, Dixieland
diktado	dictation
diktafono	Dictaphone
diktajxo	dictation
diktamno	dittany
diktato	dictation
diktatora	dictatorial
diktatore	dictatorially
diktatoreca	dictatorial
diktatorece	dictatorially
diktatoreco	dictatorship
diktatorema	dictatorial
diktatoreme	dictatorially
diktatoro	dictator
diktatura	dictatorial
diktaturo	dictatorship
dikti	to dictate
dikto	dictate
diktrunka	squat
dikulo	fat person
dikventra	fat (stomached)
dikventro	paunch
dikventrulo	chubby, fatso
dikvocxe	thickly (voiced)
dilatanto	extensor (muscle)
dilati	to dilate, expand
dilatigxi	to expand
dilatigxo	expansion
dilatilo	dilator (instrument)
dilato	expansion
dilemo	dilemma
dileta	amateurish
diletanta	amateurish, dilettantish
diletanteca	amateurish, small-time
diletanteco	amateurism, dilettantism
